cell_type,n_regions,n_pairs,n_cells,n_blocks,omega_s0_mean,omega_s0_median,omega_s1_mean,omega_s2_mean,omega_s3_mean,s2_obs_mean,s2_null_mean,s2_null_sd,s2_p_value,s2_SES
Astrocyte,108,5778,155025,606,82.7482460243405,73.36590930436685,14.15466752125931,61.771188743234866,11.19161721495267,61.771188743234866,50.88769727711893,3.7347339856297057,0.004975124378109453,2.914127621402972
Oligodendrocyte precursor,107,5671,105723,604,40.6182991233601,36.731455512191495,6.199574875525019,30.313165716544628,5.1173955272393865,30.313165716544628,25.982977789465348,1.01627813419811,0.004975124378109453,4.260829571518821
Choroid plexus,6,15,7643,22,37.756091796470805,33.15293912578377,8.570806633383908,27.95035469492218,6.362667752847381,27.95035469492218,28.883634410516542,5.230874480921358,0.5621890547263682,-0.17841753209684677
Oligodendrocyte,108,5778,490246,606,37.054413640720455,34.276200229188504,6.410101917080657,22.30840493402736,5.012635829133835,22.30840493402736,23.375866469278115,0.9502695107966336,0.8756218905472637,-1.1233250389732858
Committed oligodendrocyte precursor,52,1326,4118,317,28.8386733198317,26.69716925199181,7.318478563461513,19.40498529407317,5.648440951748207,19.40498529407317,16.10889262862908,0.7642214681341299,0.004975124378109453,4.3130071620359
Microglia,107,5671,91826,596,24.30984686096646,21.614527347384755,3.7432234305819914,14.162083337066534,3.084017480586682,14.162083337066534,15.13068953883801,1.6925887281689724,0.7960199004975125,-0.5722631763117701
Ependymal,40,780,5779,146,22.97685975883077,21.314819277561664,4.425621401942956,13.369851147715844,3.3777284291771243,13.369851147715844,12.562918045332367,0.893908188761444,0.16417910447761194,0.9027024391638299
Fibroblast,83,3403,8897,470,18.183008091415875,15.605693333044991,3.1471906686123665,12.27323177291025,2.658515228293876,12.27323177291025,11.457866873928626,0.4395211151331661,0.01990049751243781,1.8551211100167162
Vascular,82,3321,9586,464,13.558538233542956,12.44956787022566,2.543097104550886,7.7574457438405835,2.2878567323158947,7.7574457438405835,7.188651859135728,0.29021094542941384,0.03482587064676617,1.959932572023544
Bergmann glia,7,21,7965,42,13.555116164434796,12.234463770308057,1.8459630445033088,9.460731294853705,1.7029801142109438,9.460731294853705,15.11103536452279,3.568842770269479,0.9800995024875622,-1.583231437579537
