cell_type,comparison,donor,n_cells_a,n_cells_b,k_n,k_f,omega,raw_js,perm_P,null_mean,null_sd
B cells,stim_vs_ctrl,101,107,135,0.009437260212654026,0.24358852512700213,25.811360462476653,0.014290467406858827,0.000999000999000999,15.908640171035266,1.8419053834161279
B cells,stim_vs_ctrl,1015,453,341,0.0055976708510102535,0.18630350409333019,33.282325640798724,0.011073485228863903,0.5174825174825175,39.54959601161891,28.433095958275985
B cells,stim_vs_ctrl,1016,126,116,0.008409894216032249,0.16825621692086082,20.006936187152586,0.010789665908529172,0.000999000999000999,7.3370559045952435,0.5359037518967175
B cells,stim_vs_ctrl,1244,116,93,0.009220959772630512,0.2021855958015609,21.926740901926994,0.01078378863804926,0.000999000999000999,7.238374620165032,0.6158847485768456
B cells,stim_vs_ctrl,1256,216,208,0.00634116540732292,0.19180224058457299,30.24715935702851,0.011327038196084951,0.4785214785214785,27.81309982543397,18.82014283996887
B cells,stim_vs_ctrl,1488,218,279,0.00655052613983848,0.17066701418048458,26.05393987248371,0.011650166349584441,0.7152847152847153,28.653276061698573,4.3266204501888845
B cells,donor_vs_donor_ctrl,101|1015,107,453,0.004767150249961823,0.06960351691690159,14.60065516446833,0.0029716076558642737,,,
B cells,donor_vs_donor_ctrl,101|1016,107,126,0.00684551578966902,0.04863201626840082,7.1042150456791475,0.0034541975007398567,,,
B cells,donor_vs_donor_ctrl,101|1244,107,116,0.006978696222148969,0.04970135737668496,7.121868583266731,0.003774676090695003,,,
B cells,donor_vs_donor_ctrl,101|1256,107,216,0.0050505721062100856,0.04084718018533144,8.087634296935695,0.0023966295209736374,,,
B cells,donor_vs_donor_ctrl,101|1488,107,218,0.005364500396102668,0.06559637990816644,12.227863745862052,0.0036532764088667378,,,
B cells,donor_vs_donor_ctrl,1015|1016,453,126,0.0036653444576276954,0.05125749125162853,13.98435859008015,0.002788743908083934,,,
B cells,donor_vs_donor_ctrl,1015|1244,453,116,0.004540033475731972,0.0639503632520567,14.08587923280593,0.0033949678286215824,,,
B cells,donor_vs_donor_ctrl,1015|1256,453,216,0.0024332389197583766,0.06927552574885895,28.470498801547237,0.0019932340464021256,,,
B cells,donor_vs_donor_ctrl,1015|1488,453,218,0.002390027843512944,0.028670837368426835,11.996026509166299,0.0016831039651547248,,,
B cells,donor_vs_donor_ctrl,1016|1244,126,116,0.007027484872546331,0.05991611559606675,8.525968633548523,0.003154079097964714,,,
B cells,donor_vs_donor_ctrl,1016|1256,126,216,0.004929467265523832,0.03748736322221437,7.604749398458731,0.0021647633123364138,,,
B cells,donor_vs_donor_ctrl,1016|1488,126,218,0.004221088736954965,0.07874746890887116,18.6557245810659,0.0029841745393148888,,,
B cells,donor_vs_donor_ctrl,1244|1256,116,216,0.004398241951263542,0.039587672930496524,9.000794719609194,0.002493254304098376,,,
B cells,donor_vs_donor_ctrl,1244|1488,116,218,0.0052097825556181,0.08757756900886932,16.810215795749066,0.003266899640848516,,,
B cells,donor_vs_donor_ctrl,1256|1488,216,218,0.0032396714892137333,0.05939547942285266,18.333796997814712,0.00257145035580311,,,
B cells,donor_vs_donor_stim,101|1015,135,341,0.0034513777164258716,0.0329647633479644,9.551189715074587,0.002050932216795105,,,
B cells,donor_vs_donor_stim,101|1016,135,116,0.005987058160278221,0.06853360647318882,11.446958529296136,0.004234784293675813,,,
B cells,donor_vs_donor_stim,101|1244,135,93,0.005379121838994862,0.07158003420413778,13.307011134277108,0.00402244948124718,,,
B cells,donor_vs_donor_stim,101|1256,135,208,0.00403180368125053,0.05815521082683424,14.424117696325046,0.0028652300633075314,,,
B cells,donor_vs_donor_stim,101|1488,135,279,0.003733796893643929,0.05797902568709438,15.528168065540072,0.0030851059183717193,,,
B cells,donor_vs_donor_stim,1015|1016,341,116,0.004855643053052974,0.06896470718757505,14.203001833961757,0.00356206118318463,,,
B cells,donor_vs_donor_stim,1015|1244,341,93,0.004439275436174266,0.06636271245260232,14.948996386174496,0.0037266073139947432,,,
B cells,donor_vs_donor_stim,1015|1256,341,208,0.002819442535914192,0.05406448434482318,19.175593634609406,0.0023080585778937003,,,
B cells,donor_vs_donor_stim,1015|1488,341,279,0.0024026515846683966,0.052927309874958806,22.028707871209548,0.0026148682194636072,,,
B cells,donor_vs_donor_stim,1016|1244,116,93,0.007445792793371257,0.06209588035436951,8.3397271556699,0.0039225031244889816,,,
B cells,donor_vs_donor_stim,1016|1256,116,208,0.00517526797692628,0.12963067582392274,25.048108890568717,0.0040503553942548625,,,
B cells,donor_vs_donor_stim,1016|1488,116,279,0.004316443429919413,0.045342162326941195,10.50451907064324,0.002473000463994521,,,
B cells,donor_vs_donor_stim,1244|1256,93,208,0.00506414388104259,0.11820953555200914,23.342452017313644,0.0049596256083075715,,,
B cells,donor_vs_donor_stim,1244|1488,93,279,0.004582942689316052,0.0513676202364408,11.208436089805607,0.002588052667004289,,,
B cells,donor_vs_donor_stim,1256|1488,208,279,0.0030168322734572825,0.08989203433668339,29.796828656194176,0.0033965854361160323,,,
B cells,split_half,101|ctrl,53,53,,,6.460015743680153,,,,
B cells,split_half,101|ctrl,53,53,,,7.079993681172169,,,,
B cells,split_half,101|ctrl,53,53,,,7.583406217614454,,,,
B cells,split_half,101|ctrl,53,53,,,6.738695944512658,,,,
B cells,split_half,101|ctrl,53,53,,,6.732750020881855,,,,
B cells,split_half,101|ctrl,53,53,,,6.170252680281666,,,,
B cells,split_half,101|stim,67,67,,,16.429162734299204,,,,
B cells,split_half,101|stim,67,67,,,16.060353238657708,,,,
B cells,split_half,101|stim,67,67,,,14.171559926651089,,,,
B cells,split_half,101|stim,67,67,,,15.590299858619426,,,,
B cells,split_half,101|stim,67,67,,,18.21706142108099,,,,
B cells,split_half,101|stim,67,67,,,15.01049354312339,,,,
B cells,split_half,1015|ctrl,226,226,,,46.610454589454775,,,,
B cells,split_half,1015|ctrl,226,226,,,50.15049942073382,,,,
B cells,split_half,1015|ctrl,226,226,,,52.30265902326618,,,,
B cells,split_half,1015|ctrl,226,226,,,48.99695674574453,,,,
B cells,split_half,1015|ctrl,226,226,,,48.15245199526761,,,,
B cells,split_half,1015|ctrl,226,226,,,34.36289348306173,,,,
B cells,split_half,1015|stim,170,170,,,32.46746120937095,,,,
B cells,split_half,1015|stim,170,170,,,32.050274630756746,,,,
B cells,split_half,1015|stim,170,170,,,33.24149394780389,,,,
B cells,split_half,1015|stim,170,170,,,29.76563137288191,,,,
