ct,n_pairs,mean_omega,mean_kf,mean_kn,omega_rank,kf_rank,kn_rank,well_sampled
hepatocyte,1,8.570095581771694,0.12654681883149124,0.014766091885912226,1,13,17,False
b cell,1,9.361019298679116,0.054396614070393645,0.005810971255883349,2,5,8,False
"cd8-positive, alpha-beta t cell",6,9.934637737517894,0.03657957675047783,0.004536476872904941,3,1,6,True
plasma cell,6,10.201852644396025,0.11683431349732822,0.012018384561679009,4,11,14,True
hematopoietic stem cell,1,11.121931829419841,0.07881892315571887,0.0070868014985693666,5,7,9,False
smooth muscle cell,1,12.220701350323528,0.1664249002304528,0.013618277336107792,6,14,16,False
neutrophil,6,14.215749426598018,0.12104758114669197,0.011728317220085605,7,12,13,True
monocyte,1,15.192958511749932,0.07590022625165804,0.004995750247916383,8,6,7,False
macrophage,15,15.492895244082364,0.10847848460799521,0.007341345589090775,9,10,10,True
"cd4-positive, alpha-beta t cell",1,16.71048331805287,0.051804499459268176,0.0031001197555609967,10,4,3,False
nk cell,10,17.28052275623328,0.07955870495147734,0.004511347960864956,11,8,5,True
classical monocyte,1,17.50473616015987,0.051422629296151504,0.002937640923328368,12,3,2,False
naive b cell,1,21.062589651574168,0.0835019512998881,0.00396446746013719,13,9,4,False
intermediate monocyte,1,21.781299252589477,0.2747014985179493,0.012611804986118599,14,17,15,False
memory b cell,1,22.361170863569043,0.03840646593872443,0.0017175516511658377,15,2,1,False
endothelial cell,3,26.24637796675464,0.20052360855278284,0.007646663139387743,16,15,11,False
erythrocyte,3,29.359679224257835,0.2241414705496446,0.009000215760284815,17,16,12,False
