comparison,category,omega,kn,kf,p_value,null_mean,null_std,cohens_d,n_cells_A,n_cells_B
C: hepatocyte (Liver),C_control,12.160541196524413,0.0002611905502561486,0.003176218446532775,0.4155844155844156,11.985710608266931,5.749179525365755,0.030409658888910656,199,200
C: endothelial cell (Heart),C_control,6.573117104966837,0.000315434122764663,0.0020733854278346155,0.7132867132867133,7.2458428871342395,1.3851174384292917,-0.4856814039755838,568,569
C: B cell (Spleen),C_control,6.338449726974334,0.0002609343483228397,0.0016539192488851289,0.5104895104895105,6.280451500203371,0.9750153964249945,0.05948442146002984,619,619
C: B cell (Marrow),C_control,5.2235289873951345,0.0001668094906296483,0.000871334209676585,0.9630369630369631,7.047950695908574,1.4773684717108475,-1.2349131198127512,924,924
C: fibroblast (Heart),C_control,8.147909714276535,0.00010735045338074555,0.0008746818019329671,0.3106893106893107,7.1999337676457476,2.05890110692334,0.46042811062808564,1026,1026
C: neutrophil (Marrow),C_control,1.5938021561002569,0.00022563424602391847,0.00035961634780297706,0.993006993006993,6.019338721360311,2.493326983283268,-1.7749523407605412,299,300
S: B cell (Marrow vs Spleen),S_same_ct,42.77281069131156,0.004038247063923984,0.17272717718996533,0.000999000999000999,7.269397159647568,1.7073250045730648,20.794759894319014,433,245
S: B cell (Spleen vs Lung),S_same_ct,8.801141886364023,0.008679542362026968,0.07638988383690648,0.008991008991008992,6.190561054378246,1.0344117900379353,2.523734606592254,245,27
S: endothelial cell (Heart vs Lung),S_same_ct,19.180924380311975,0.015752115537098373,0.30214013694702124,0.000999000999000999,7.25927478294005,1.5130312663153782,7.87931476551983,286,248
S: natural killer cell (Marrow vs Liver),S_same_ct,14.468215669078914,0.006056283304190077,0.08762361299806389,0.000999000999000999,6.746113464153544,0.9065950247389675,8.51769753220162,48,28
D: hepatocyte vs endothelial cell of hepatic sinusoid (Liver),D_diff_ct,30.090668804712532,0.020690155153700075,0.6225806062481051,0.014985014985014986,11.6950588882111,5.718868324819489,3.2166521192078807,157,162
D: B cell vs neutrophil (Marrow),D_diff_ct,37.77019606899375,0.017290504228512686,0.6530657348426896,0.000999000999000999,8.08433383527351,2.188124627971498,13.566805955308189,433,161
D: endothelial cell vs fibroblast (Heart),D_diff_ct,61.715322165279055,0.01001859722509486,0.6183009553909,0.000999000999000999,10.126512488545448,5.222601146709195,9.87799148882739,286,590
X: hepatocyte(Liver) vs B cell(Marrow),X_cross,31.64671105425795,0.018462487457399847,0.5842770059071944,0.000999000999000999,8.314766545294209,3.0425505148324947,7.668547948578024,157,433
X: cardiac muscle cell(Heart) vs neutrophil(Marrow),X_cross,22.96491256365046,0.034046211818622635,0.7818682775381918,0.03196803196803197,9.401410097583408,4.879182144882813,2.779872130884103,36,161
