cell_type,n_pairs_crossregion,omega_crossregion,omega_rc_lo,omega_rc_hi,baseline_class,baseline_lo,baseline_hi,omega_cal_class,omega_cal_class_lo,omega_cal_class_hi,omega_cal_mouse,omega_cal_brainglobal,divergent_mouse,divergent_brainglobal,divergent_class,divergent_class_combinedCI
Microglia,5671,24.30984686096646,21.807144014557306,26.98366722161984,7.583479650558371,7.234410822730524,8.223578226717885,3.205632240231109,2.9700104063366153,3.379942010518229,3.644654701794072,2.4994532139148613,True,True,True,True
Vascular,3321,13.558538233542956,12.341309125633957,14.82475756566031,8.258732593674173,7.709014699667438,8.624133930537262,1.6417214239298898,1.5704450623348207,1.7555373541956047,2.032764352855016,1.3940413593567649,True,True,True,True
Oligodendrocyte precursor,5671,40.6182991233601,37.20307758072934,44.38382536611226,9.073497165923081,8.503810584301139,9.558730028104225,4.476586963173185,4.2575411927573805,4.760356302380739,6.089700018494768,4.176231091387527,True,True,True,True
Bergmann glia,21,13.5551161644348,9.087701153623858,19.35245039702157,9.083307774260964,8.782590270745176,9.384025277776752,1.4923105658541522,1.2537345561273434,1.8051184947760928,2.032251299015712,1.3936895142102472,True,False,True,True
Astrocyte,5778,82.7482460243405,76.04755731910622,89.5201563752668,9.264667070026997,8.237031680089922,10.335421214558624,8.93159413057024,8.016915078267132,9.99687119305644,12.406033886707721,8.507884506810628,True,True,True,True
Oligodendrocyte,5778,37.054413640720455,34.4236905395671,39.8078130890344,9.553633094459586,8.238382134815447,10.415967031382966,3.878567794508387,3.5581486900101957,4.484920968986229,5.555384353931102,3.8098048825120157,True,True,True,True
Ependymal,780,22.97685975883077,19.683161614929233,26.762773953575397,9.886556789708413,8.625124514028839,11.432795090193329,2.3240507537213504,2.0230797484403467,2.6617172336460424,3.444806560544343,2.3624001540747446,True,True,True,True
Choroid plexus,15,37.756091796470805,27.29693579820933,56.190696218044906,10.662782648813566,8.163179309011504,14.898304970382844,3.540922950415,2.4735702630348713,5.098576418767268,5.660583477731755,3.8819489701138226,True,True,True,True
Fibroblast,3403,18.183008091415875,15.917451362383337,20.6064275578593,11.156529747163008,7.287459538915228,13.730172868254122,1.6298085967134743,1.3350841019165343,2.487694680756291,2.7260881696275674,1.8695131348483751,True,True,True,True
Committed oligodendrocyte precursor,1326,28.83867331983169,24.947086537029524,32.58528551597699,12.523220485717962,10.271569584966292,13.71199055532878,2.302816064982693,2.0772216538001014,2.791416934167448,4.3236391783855606,2.9650912704856274,True,True,True,True
