cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A13,Human A14,0.015261308130050107,0.0006422853608876462,23.76094655023554
Astrocyte,Human A13,Human A19,0.01573928111015298,0.0006104269117669376,25.784055071546835
Astrocyte,Human A13,Human A1C,0.011437613184750157,0.000547761814260303,20.88063257968338
Astrocyte,Human A13,Human A23,0.008375773085651664,0.000421855441776003,19.854604815312626
Astrocyte,Human A13,Human A24,0.01861976332789817,0.0003879339152745138,47.99725570455025
Astrocyte,Human A13,Human A25,0.015183329258062912,0.00042995381055779336,35.31386136191019
Astrocyte,Human A13,Human A29-A30,0.038717783706738104,0.0014400750164502247,26.88594917935399
Astrocyte,Human A13,Human A32,0.016769367234861846,0.0005225702458043441,32.09016848835377
Astrocyte,Human A13,Human A35-36,0.05330405429866544,0.003178890966038645,16.76812915829257
Astrocyte,Human A13,Human A35-A36,0.033806852592048006,0.0008406701945748962,40.214168184163114
Astrocyte,Human A13,Human A35r,0.05235107174939417,0.0012176769251268215,42.99257928694164
Astrocyte,Human A13,Human A38,0.012249646318810887,0.0005485177215893014,22.332270839523975
Astrocyte,Human A13,Human A40,0.013647140309769793,0.0007028803789390576,19.416021159061337
Astrocyte,Human A13,Human A43,0.007064919036541351,0.0004890881535960535,14.445083129893987
Astrocyte,Human A13,Human A44-A45,0.01061599942344955,0.0004991983084232036,21.266096547846598
Astrocyte,Human A13,Human A46,0.014980422579902872,0.000715404475704295,20.939794324259825
Astrocyte,Human A13,Human A5-A7,0.011391254358190472,0.0006548259905601011,17.395849465973452
Astrocyte,Human A13,Human ANC,0.20171752252274416,0.0014851075260508657,135.82688053513726
Astrocyte,Human A13,Human AON,0.013854780869350132,0.000393073644145823,35.24729036325383
Astrocyte,Human A13,Human BL,0.08548264933146463,0.0015665275157270369,54.56823992765394
Astrocyte,Human A13,Human BM,0.0650735861138912,0.0011597346314054088,56.110755298419136
Astrocyte,Human A13,Human BNST,0.1283875283392707,0.0011769157359868834,109.08812280567686
Astrocyte,Human A13,Human CA1-3,0.0656634226773271,0.0013543174396995488,48.48451386101498
Astrocyte,Human A13,Human CA1C-CA3C,0.07704129357870812,0.0008984973367502345,85.74459870672288
