res_threshold,omega_cap,n_strong,microglia,microglia_fold,hypergeom_P,bonferroni_P
0.2,12,1,1,5.6,0.1785,1.0
0.2,15,1,1,5.6,0.1785,1.0
0.2,20,1,1,5.6,0.1785,1.0
0.2,25,1,1,5.6,0.1785,1.0
0.25,12,12,5,2.33,0.0474,0.474
0.25,15,13,5,2.15,0.066,0.6601
0.25,20,13,5,2.15,0.066,0.6601
0.25,25,13,5,2.15,0.066,0.6601
0.3,12,33,13,2.21,0.003,0.0297
0.3,15,39,16,2.3,0.0006,0.006
0.3,20,41,16,2.19,0.0012,0.0115
0.3,25,42,16,2.13,0.0016,0.0156
0.35,12,77,22,1.6,0.0138,0.1381
0.35,15,96,35,2.04,0.0,0.0001
0.35,20,108,39,2.02,0.0,0.0
0.35,25,109,39,2.0,0.0,0.0001
0.4,12,164,47,1.61,0.0004,0.0044
0.4,15,206,75,2.04,0.0,0.0
0.4,20,251,97,2.16,0.0,0.0
0.4,25,259,99,2.14,0.0,0.0
