cell_type,mean,median,count,min_cells
Astrocyte,82.7482460243405,73.36590930436672,5778,10
Bergmann glia,12.533391987769814,11.421691596166745,36,10
Choroid plexus,33.79307126436001,31.304145249131214,21,10
Committed oligodendrocyte precursor,24.124540678093695,21.691550998778773,3486,10
Ependymal,21.918073348455728,20.09928028857142,903,10
Fibroblast,15.874898424623531,13.36884532192784,4753,10
Microglia,24.0695408885879,21.399236720624966,5778,10
Oligodendrocyte,37.05441364072046,34.27620022918802,5778,10
Oligodendrocyte precursor,40.10115677020955,36.365874508665996,5778,10
Vascular,12.103950644381687,11.040213882329224,5050,10
Astrocyte,82.7482460243405,73.36590930436672,5778,20
Bergmann glia,13.555116164434795,12.234463770308055,21,20
Choroid plexus,37.75609179647065,33.15293912578348,15,20
Committed oligodendrocyte precursor,28.8386733198317,26.69716925199181,1326,20
Ependymal,22.97685975883077,21.314819277561668,780,20
Fibroblast,18.183008091415875,15.605693333045,3403,20
Microglia,24.309846860966456,21.614527347384733,5671,20
Oligodendrocyte,37.05441364072046,34.27620022918802,5778,20
Oligodendrocyte precursor,40.6182991233601,36.73145551219141,5671,20
Vascular,13.558538233542956,12.449567870225662,3321,20
Astrocyte,83.72469246805625,74.74536042318503,5671,50
Bergmann glia,20.33780886218649,21.91394883714586,6,50
Choroid plexus,34.40319053331856,32.22854218745735,6,50
Committed oligodendrocyte precursor,35.75226807344735,33.27014874454996,300,50
Ependymal,24.948448583302323,22.737570531460403,435,50
Fibroblast,23.014699533620036,20.00530239775501,1326,50
Microglia,24.575787925084146,21.88936391219146,5565,50
Oligodendrocyte,37.3788085784184,34.65164039517633,5671,50
Oligodendrocyte precursor,40.6182991233601,36.73145551219141,5671,50
Vascular,16.91616993173822,15.83098521295817,1225,50
Astrocyte,83.72469246805625,74.74536042318503,5671,100
Committed oligodendrocyte precursor,36.85633082899025,43.7635388465918,15,100
Ependymal,28.8884355785645,26.101818957751888,105,100
Fibroblast,28.17511468025427,23.969829839231917,325,100
Microglia,25.22275087478127,22.77313827982738,5151,100
Oligodendrocyte,37.3788085784184,34.65164039517633,5671,100
Oligodendrocyte precursor,40.87973185297193,36.98363651296526,5565,100
Vascular,18.162054095351976,17.221144616833442,465,100
