design,cell_type,n_per_condition,rep,donor,omega,perm_P,detected
C1_donor_paired,B cells,50,0,101,19.3308309867915,0.009900990099009901,True
C1_donor_paired,B cells,50,0,1015,10.433166999853636,0.009900990099009901,True
C1_donor_paired,B cells,50,0,1016,13.67387137823656,0.009900990099009901,True
C1_donor_paired,B cells,50,0,1244,14.778625311209597,0.009900990099009901,True
C1_donor_paired,B cells,50,0,1256,12.807782117956348,0.009900990099009901,True
C1_donor_paired,B cells,50,0,1488,16.140841416639013,0.009900990099009901,True
C1_donor_paired,B cells,50,1,101,18.091328378490385,0.019801980198019802,True
C1_donor_paired,B cells,50,1,1015,17.615637126839964,0.009900990099009901,True
C1_donor_paired,B cells,50,1,1016,13.67596765422321,0.009900990099009901,True
C1_donor_paired,B cells,50,1,1244,16.599614900082067,0.009900990099009901,True
C1_donor_paired,B cells,50,1,1256,12.761363592737693,0.009900990099009901,True
C1_donor_paired,B cells,50,1,1488,17.67163683982266,0.009900990099009901,True
C1_donor_paired,B cells,50,2,101,16.969970982037733,0.009900990099009901,True
C1_donor_paired,B cells,50,2,1015,29.12328194012854,0.9405940594059405,False
C1_donor_paired,B cells,50,2,1016,11.434056578850168,0.009900990099009901,True
C1_donor_paired,B cells,50,2,1244,13.670188660467996,0.009900990099009901,True
C1_donor_paired,B cells,50,2,1256,12.880909362403697,0.009900990099009901,True
C1_donor_paired,B cells,50,2,1488,26.159733874167426,0.27722772277227725,False
C1_donor_paired,B cells,50,3,101,15.556676271696,0.009900990099009901,True
C1_donor_paired,B cells,50,3,1015,14.834038803573453,0.009900990099009901,True
C1_donor_paired,B cells,50,3,1016,15.372908798760472,0.009900990099009901,True
C1_donor_paired,B cells,50,3,1244,16.048149448857668,0.009900990099009901,True
C1_donor_paired,B cells,50,3,1256,10.940862933424231,0.009900990099009901,True
C1_donor_paired,B cells,50,3,1488,12.432471356623736,0.009900990099009901,True
C1_donor_paired,B cells,50,4,101,14.854920501754558,0.009900990099009901,True
C1_donor_paired,B cells,50,4,1015,15.507846410226488,0.009900990099009901,True
C1_donor_paired,B cells,50,4,1016,16.211564193644946,0.009900990099009901,True
C1_donor_paired,B cells,50,4,1244,15.485015367633418,0.009900990099009901,True
C1_donor_paired,B cells,50,4,1256,11.026229051986187,0.009900990099009901,True
C1_donor_paired,B cells,50,4,1488,14.781700872990216,0.009900990099009901,True
C1_donor_paired,B cells,50,5,101,14.164498352478146,0.009900990099009901,True
C1_donor_paired,B cells,50,5,1015,31.45991434062506,0.6039603960396039,False
C1_donor_paired,B cells,50,5,1016,15.564508191789837,0.009900990099009901,True
C1_donor_paired,B cells,50,5,1244,14.676302866924674,0.009900990099009901,True
C1_donor_paired,B cells,50,5,1256,14.759389722159762,0.009900990099009901,True
C1_donor_paired,B cells,50,5,1488,14.602291486179112,0.009900990099009901,True
C1_donor_paired,B cells,50,6,101,17.265085927464916,0.009900990099009901,True
C1_donor_paired,B cells,50,6,1015,14.736037999044445,0.009900990099009901,True
C1_donor_paired,B cells,50,6,1016,12.831512425882629,0.009900990099009901,True
C1_donor_paired,B cells,50,6,1244,16.64866382136167,0.009900990099009901,True
C1_donor_paired,B cells,50,6,1256,13.679830780102451,0.009900990099009901,True
C1_donor_paired,B cells,50,6,1488,16.902536912777,0.009900990099009901,True
C1_donor_paired,B cells,50,7,101,14.834288628493798,0.009900990099009901,True
C1_donor_paired,B cells,50,7,1015,15.160330624094918,0.009900990099009901,True
C1_donor_paired,B cells,50,7,1016,13.624089954504342,0.009900990099009901,True
C1_donor_paired,B cells,50,7,1244,16.14823430555709,0.009900990099009901,True
C1_donor_paired,B cells,50,7,1256,11.274753718449935,0.009900990099009901,True
C1_donor_paired,B cells,50,7,1488,16.39131904030483,0.009900990099009901,True
C1_donor_paired,B cells,50,8,101,16.292445942408616,0.009900990099009901,True
C1_donor_paired,B cells,50,8,1015,19.23843645476497,0.9900990099009901,False
C1_donor_paired,B cells,50,8,1016,13.97823196557571,0.009900990099009901,True
C1_donor_paired,B cells,50,8,1244,15.137652236234667,0.009900990099009901,True
C1_donor_paired,B cells,50,8,1256,17.79854760884991,0.9900990099009901,False
C1_donor_paired,B cells,50,8,1488,15.227282185553639,0.009900990099009901,True
C1_donor_paired,B cells,50,9,101,16.096400023366837,0.009900990099009901,True
C1_donor_paired,B cells,50,9,1015,14.16482687186765,0.009900990099009901,True
C1_donor_paired,B cells,50,9,1016,13.119451377789767,0.009900990099009901,True
C1_donor_paired,B cells,50,9,1244,16.63002982971976,0.009900990099009901,True
C1_donor_paired,B cells,50,9,1256,12.694806858620563,0.009900990099009901,True
C1_donor_paired,B cells,50,9,1488,14.361715060132214,0.009900990099009901,True
C1_donor_paired,B cells,50,10,101,16.920386828655147,0.009900990099009901,True
C1_donor_paired,B cells,50,10,1015,12.998684436235212,0.42574257425742573,False
C1_donor_paired,B cells,50,10,1016,12.66833111153912,0.009900990099009901,True
C1_donor_paired,B cells,50,10,1244,16.207892152117704,0.009900990099009901,True
C1_donor_paired,B cells,50,10,1256,14.620437586106792,0.009900990099009901,True
C1_donor_paired,B cells,50,10,1488,24.088978676948305,0.6732673267326733,False
C1_donor_paired,B cells,50,11,101,18.11505922597274,0.0594059405940594,False
C1_donor_paired,B cells,50,11,1015,13.944395485512064,0.009900990099009901,True
C1_donor_paired,B cells,50,11,1016,13.375629455414524,0.009900990099009901,True
C1_donor_paired,B cells,50,11,1244,15.116881890048843,0.009900990099009901,True
C1_donor_paired,B cells,50,11,1256,18.070775610604247,0.6831683168316832,False
C1_donor_paired,B cells,50,11,1488,22.982689358104597,0.8316831683168316,False
C1_donor_paired,B cells,50,12,101,16.850402382814536,0.0891089108910891,False
