scenario,n_genes_shifted,fold,rep,seed,cell_type,is_target,cki_omega,cki_k_n,cki_k_f,meld_auc_within_type,scdist_approx_dist
null,0,0.0,0,42,B cells,False,6.104135748368916,0.006410376008506457,0.0391298053540107,0.5389,5.300021308625047
null,0,0.0,0,42,CD14+ Monocytes,True,36.96203741388374,0.0030718601741759367,0.1135422106881104,0.4943,2.4162429412577673
null,0,0.0,0,42,CD4 T cells,False,43.003873759259136,0.005500514269183083,0.2365434212429528,0.5359,5.1150732570164985
null,0,0.0,0,42,CD8 T cells,False,34.93498725375885,0.007660250824160227,0.26761076490263325,0.5878,5.655961489998206
null,0,0.0,0,42,FCGR3A+ Monocytes,False,62.24139011777939,0.002554973494559249,0.1590251020154483,0.57,10.453086039284207
null,0,0.0,0,42,NK cells,False,6.767711924355482,0.008645428686927355,0.058509770815683225,0.5808,6.3808443398667265
null,0,0.0,1,43,B cells,False,7.313671117159356,0.00614104962471386,0.04491361726931206,0.545,6.450371416753533
null,0,0.0,1,43,CD14+ Monocytes,True,39.40889135905976,0.003609752722160138,0.14225635286067911,0.4906,4.043810552649791
null,0,0.0,1,43,CD4 T cells,False,48.062390494402685,0.005592793527699809,0.26880302648287613,0.5469,3.976452819658645
null,0,0.0,1,43,CD8 T cells,False,31.646780943634123,0.00788422768956775,0.24951042660148517,0.5882,4.042036638245999
null,0,0.0,1,43,FCGR3A+ Monocytes,False,29.179392507404973,0.0026880185805710447,0.07843474922968009,0.5543,7.089568859175135
null,0,0.0,1,43,NK cells,False,31.23802289128569,0.00785602271333416,0.24540661735359282,0.592,6.471578463931884
null,0,0.0,2,44,B cells,False,8.208845499357452,0.0055328237642490894,0.04541809545589409,0.5763,5.567098906796029
null,0,0.0,2,44,CD14+ Monocytes,True,38.332403050979934,0.0032974781959723377,0.12640026325982984,0.527,6.52928773849361
null,0,0.0,2,44,CD4 T cells,False,6.893209096174543,0.005896305513790152,0.040644466801482385,0.5839,8.311669074397166
null,0,0.0,2,44,CD8 T cells,False,5.418727159994509,0.0086888554706997,0.04708253712834734,0.6178,5.813267827884311
null,0,0.0,2,44,FCGR3A+ Monocytes,False,11.72741128161346,0.0029432371561350272,0.03451655262932184,0.5614,4.619301342640036
null,0,0.0,2,44,NK cells,False,29.84011783054459,0.007624675319574988,0.22752120995576286,0.5715,4.073793712518586
null,0,0.0,3,45,B cells,False,7.253848040758888,0.005965521257554678,0.0432729846862185,0.5539,4.888732997313415
null,0,0.0,3,45,CD14+ Monocytes,True,31.573263865646293,0.00304546393324849,0.09615523635776359,0.5269,7.748813478367608
null,0,0.0,3,45,CD4 T cells,False,6.648149368848844,0.0064345433240948,0.042777805138911384,0.5356,3.8454188876169275
null,0,0.0,3,45,CD8 T cells,False,7.200107267747203,0.0071184819333470276,0.051253833503619096,0.5114,4.737348084058744
null,0,0.0,3,45,FCGR3A+ Monocytes,False,49.50228108825884,0.002691872553854544,0.13325383181467682,0.5508,3.2628872359764745
null,0,0.0,3,45,NK cells,False,6.788414765966051,0.00829265824730789,0.056294003695135035,0.5515,4.196729492497163
null,0,0.0,4,46,B cells,False,19.233900375721515,0.006102413509101699,0.11737321348551921,0.5688,5.225270968079265
null,0,0.0,4,46,CD14+ Monocytes,True,9.499082812086234,0.003168998754450458,0.03010258159992303,0.5886,8.000505364902589
null,0,0.0,4,46,CD4 T cells,False,30.272989221497344,0.005729932427655425,0.1734621826223208,0.5697,3.9956008173157596
null,0,0.0,4,46,CD8 T cells,False,6.659364248867687,0.007662581689185028,0.05102792255498695,0.5493,5.312704133394284
null,0,0.0,4,46,FCGR3A+ Monocytes,False,8.086891098308689,0.003068812598203765,0.024817153282791587,0.534,6.388143456431995
null,0,0.0,4,46,NK cells,False,28.71417802367039,0.00807680099787411,0.23191870171471585,0.5097,4.266057572365069
null,0,0.0,5,47,B cells,False,35.46624759730607,0.005744321082986752,0.20372951380763352,0.6104,4.429842630472712
null,0,0.0,5,47,CD14+ Monocytes,True,46.505272339889586,0.0031710850987410897,0.14747217612992003,0.58,9.162798923561125
null,0,0.0,5,47,CD4 T cells,False,5.133115402881682,0.0064101759374693545,0.03290417283980547,0.5887,8.621240872049125
null,0,0.0,5,47,CD8 T cells,False,53.28614162996968,0.0073732905328515435,0.39289420361244193,0.5641,3.7564264087910444
null,0,0.0,5,47,FCGR3A+ Monocytes,False,8.84073506286636,0.0026028044039022287,0.023010704155361408,0.5696,8.24237192957114
null,0,0.0,5,47,NK cells,False,32.50613733416149,0.007425180014530556,0.24136392128320147,0.6191,6.496948738285155
null,0,0.0,6,48,B cells,False,45.47300340132459,0.005960922953127765,0.2710610697226127,0.6286,4.577576055555055
null,0,0.0,6,48,CD14+ Monocytes,True,27.376219667766627,0.00301634157274681,0.08257602948853335,0.6346,6.238830937684753
null,0,0.0,6,48,CD4 T cells,False,26.47005274295734,0.007087992469719158,0.18761953451515057,0.64,15.93183901890823
null,0,0.0,6,48,CD8 T cells,False,6.513536818041851,0.0072766894152161525,0.04739698441946584,0.5916,3.2719108865874573
null,0,0.0,6,48,FCGR3A+ Monocytes,False,8.073244830834318,0.0028378838748668814,0.022910931323277116,0.6548,6.369908828917196
null,0,0.0,6,48,NK cells,False,6.633731387067976,0.00796480875532183,0.05283640183217224,0.6022,4.293585105229037
null,0,0.0,7,49,B cells,False,40.132888034265974,0.005709089482818823,0.22912224899157327,0.6058,4.19518689872504
null,0,0.0,7,49,CD14+ Monocytes,True,8.438603567333761,0.0030175656288162975,0.025464040079992954,0.5319,5.811142890814795
null,0,0.0,7,49,CD4 T cells,False,20.47866560353969,0.006117248730725201,0.125273091170199,0.5803,8.780105046074263
null,0,0.0,7,49,CD8 T cells,False,6.080313691196372,0.0074533405048456645,0.04531864831676158,0.5789,5.103662362573807
null,0,0.0,7,49,FCGR3A+ Monocytes,False,38.11590018723575,0.0032110633249226184,0.1223925691876439,0.5865,12.681550427914567
null,0,0.0,7,49,NK cells,False,6.190257115845792,0.008258944031536743,0.05112498706059246,0.5677,3.0145472869508465
null,0,0.0,8,50,B cells,False,7.513192248466382,0.006178855758082704,0.04642293118601884,0.5566,6.484522917830656
null,0,0.0,8,50,CD14+ Monocytes,True,9.091047545921114,0.0030635384205992613,0.027850773440423963,0.4801,8.034742573953793
