series,rep,omega,k_f,k_n,k_total,cosine,eta
baseline,0,16.0482256429211,0.04756534209817455,0.0029639003810465305,0.0033633316184024523,0.014047105259045178,
baseline,1,13.128054224735099,0.037363942466378655,0.0028461142700020037,0.002955360910778647,0.014153835272475601,
baseline,2,9.8338621351409,0.023197326486571544,0.002358923296644241,0.0023012243271587404,0.011735647781317526,
baseline,3,10.804113327376685,0.02395621904855926,0.0022173239323449415,0.0023595297641563024,0.01094362627747314,
baseline,4,11.29660609177641,0.02607243806105289,0.002307988598454614,0.002334940457482029,0.01142919172997392,
baseline,5,10.910931025293673,0.02832157138157134,0.002595706206547947,0.0025115741609041337,0.012607365159651107,
baseline,6,11.47574852471846,0.027280592669341318,0.0023772386272302532,0.002919607031886138,0.012568556350806337,
baseline,7,14.915072317592967,0.03338644725664695,0.00223843683394456,0.003142386727055054,0.013491030181360997,
baseline,8,9.678818452297032,0.025992377216800946,0.0026854907285333253,0.0028451657490817933,0.012872398230948767,
baseline,9,8.399775188495465,0.02154537150001707,0.002564993826206936,0.0024021559338014606,0.012165766432188474,
baseline,10,9.443617469469535,0.02298568584363628,0.0024339916264024012,0.002431909904851389,0.01148133690800135,
baseline,11,10.078207480705165,0.02273617063355974,0.002255973661694143,0.0021177259745362286,0.010268356621578545,
baseline,12,9.10555636766291,0.02185243765612209,0.002399901419942654,0.0023661637846577785,0.011459395815748619,
baseline,13,14.43017155650134,0.030377406164021778,0.0021051313246747646,0.0026301780696306697,0.011932412668527181,
baseline,14,12.796615227515645,0.03247942315522897,0.002538126104267853,0.0030580706481690544,0.013369395955814656,
baseline,15,8.701843615990708,0.02283735493273529,0.002624427183541754,0.0030459243838925204,0.012553261241429636,
baseline,16,8.302857800606608,0.018866803978417016,0.002272326520759949,0.0023258954048090983,0.01090919959900849,
baseline,17,8.496736949233856,0.021817732630532004,0.002567777814105366,0.002652760114543913,0.012219408989923464,
baseline,18,17.989464924510674,0.04594103635668601,0.002553774475753933,0.003181640029115369,0.013287756123920968,
baseline,19,21.536664372645394,0.04488487964284518,0.002084114738764064,0.0028335853878009723,0.012090669277598609,
