cell_type,n_regions,n_pairs,n_cells,omega_mean,omega_max,omega_std,p_value,null_mean,null_std,cohens_d,ci_95_lower,ci_95_upper,q_value
Astrocyte,108,5778,155025,83.6438,265.7000,45.4039,9.9900e-04,12.5674,0.1918,370.5274,12.1980,12.9564,0.0009
Oligodendrocyte precursor,107,5671,105723,40.8272,127.4848,19.9652,9.9900e-04,11.1457,0.3475,85.4128,10.6942,11.9630,0.0009
Choroid plexus,6,15,7643,37.7561,89.5358,15.4061,9.9900e-04,14.9112,2.1156,10.7984,12.1170,20.7119,0.0009
Oligodendrocyte,108,5778,490246,36.8154,138.4938,16.1311,9.9900e-04,10.5912,0.1330,197.1911,10.3367,10.8429,0.0009
Committed oligodendrocyte precursor,52,1326,4118,28.8387,76.1994,12.5072,9.9900e-04,18.7580,0.8901,11.3256,17.0745,20.5214,0.0009
Microglia,107,5671,91826,24.0670,128.5773,12.4443,9.9900e-04,8.9773,0.1309,115.2385,8.7356,9.2474,0.0009
Ependymal,40,780,5779,22.9769,71.4719,10.1391,9.9900e-04,10.8206,0.3691,32.9330,10.1882,11.5634,0.0009
Fibroblast,83,3403,8897,18.1830,87.2357,9.5927,9.9900e-04,12.0000,0.2120,29.1645,11.6007,12.4279,0.0009
Vascular,82,3321,9586,13.5585,36.2737,4.7770,9.9900e-04,10.0531,0.1584,22.1257,9.7555,10.3829,0.0009
Bergmann glia,7,21,7965,13.5551,25.9085,5.5834,9.9900e-04,8.7611,0.3924,12.2179,8.1665,9.7442,0.0009
