scenario,x,n,rate,CP_95_one_sided_upper,CP_95_CI_low,CP_95_CI_high
δ=1 检出率（任务口径 0/10）,0,10,0.0,0.2589,0.0,0.3085
δ=1 检出率（ω，3 个 module seed 合并 150 次重复）,0,150,0.0,0.0198,0.0,0.0243
δ=1 检出率（k_f，同上）,2,150,0.013,0.0414,0.0016,0.0473
δ=2 检出率（ω，150 次重复）,20,150,0.133,0.1878,0.0834,0.1984
δ=2 检出率（raw JS，150 次重复）,150,150,1.0,1.0,0.9757,1.0
I 类错误（ω，中性 HK 漂移 η=0.25–1，150 次）,0,150,0.0,0.0198,0.0,0.0243
I 类错误（ω，全局过散 ε=0.3–1，100 次）,2,100,0.02,0.0616,0.0024,0.0704
I 类错误（ω，全部中性重复，250 次）,2,250,0.008,0.025,0.001,0.0286
I 类错误（raw JS，中性 HK 漂移，150 次）,83,150,0.553,0.6222,0.4701,0.6345
I 类错误（cosine，中性 HK 漂移，150 次）,87,150,0.58,0.648,0.4968,0.66
