ct,organ_i,organ_j,omega,js_raw,spearman,cosine,marker_jaccard
hepatocyte,Liver,Heart,8.570095787400291,0.013455758261000431,0.2581036515559111,0.4213842749595642,0.9821882951653944
macrophage,Liver,Kidney,20.67585592082427,0.00214829990550457,0.20044382361028856,0.07505559921264648,0.48484848484848486
macrophage,Liver,Heart,5.701664173023908,0.0038957838471980226,0.30638879242364025,0.1420620083808899,0.5714285714285714
macrophage,Liver,Bone_Marrow,15.933329802421806,0.004660449756581893,0.23238744855490312,0.16082251071929932,0.5815602836879432
macrophage,Liver,Spleen,24.57840573092948,0.0030146284505827344,0.16282372540919599,0.09438484907150269,0.6111111111111112
macrophage,Liver,Lung,21.340765843877932,0.005219211270949813,0.17624582883030515,0.1481168270111084,0.6754966887417219
monocyte,Liver,Bone_Marrow,15.192958289022286,0.002594494737091034,0.19692437745602154,0.08675414323806763,0.49624060150375937
endothelial cell,Liver,Kidney,18.122399080976905,0.006816361983076667,0.25766979857306405,0.2996417284011841,0.8165680473372781
endothelial cell,Liver,Spleen,35.23630364313547,0.008517335681636085,0.2615954444252928,0.32464784383773804,0.9159891598915989
nk cell,Liver,Kidney,14.987861142722227,0.002755823230857736,0.19745444200470152,0.11519116163253784,0.5964912280701755
nk cell,Liver,Bone_Marrow,18.450344519310196,0.0033227160643546365,0.22396332632040383,0.14025408029556274,0.5815602836879432
nk cell,Liver,Spleen,22.296147359877164,0.002409061642893619,0.19394067658280512,0.09463882446289062,0.5294117647058824
nk cell,Liver,Lung,19.379062902223946,0.0024590078557792435,0.21132326447017924,0.10090112686157227,0.5239852398523985
erythrocyte,Liver,Bone_Marrow,22.598243942921194,0.007963255962687385,0.35754859449496224,0.20530188083648682,0.5611510791366907
erythrocyte,Liver,Spleen,55.05280514379763,0.005301084578069161,0.2538089847556566,0.15868186950683594,0.49056603773584906
neutrophil,Liver,Bone_Marrow,6.052868610731754,0.010056432171117092,0.6109582638521566,0.31039953231811523,0.7261146496815287
neutrophil,Liver,Spleen,7.034041286692526,0.00771622151137718,0.6263355917912528,0.2435343861579895,0.6394557823129252
neutrophil,Liver,Lung,6.837374354624538,0.006944357954835497,0.6043017711042074,0.24647080898284912,0.6206896551724138
plasma cell,Liver,Bone_Marrow,8.6287664464083,0.004375844621440172,0.3817146763310817,0.20909565687179565,0.6622073578595318
plasma cell,Liver,Spleen,10.049298952638502,0.005152255873044802,0.3684482660038745,0.20307636260986328,0.5714285714285714
plasma cell,Liver,Lung,7.11590789750814,0.004495896172060195,0.30615514545740763,0.184761643409729,0.5347985347985348
b cell,Kidney,Lung,9.361019184128208,0.0016207821999893765,0.2585051937416568,0.07566064596176147,0.31932773109243695
macrophage,Kidney,Heart,10.357691845542305,0.0024406068656056827,0.29436746442552686,0.11035811901092529,0.4189723320158103
macrophage,Kidney,Bone_Marrow,8.392369083728296,0.0030287225496175565,0.21455837515021026,0.10944026708602905,0.4496124031007752
macrophage,Kidney,Spleen,29.12657470619537,0.0026874860033816394,0.1719179091128904,0.08735805749893188,0.5347985347985348
macrophage,Kidney,Lung,12.85457811949581,0.004843280983724439,0.19576077153993343,0.13648366928100586,0.6486486486486487
"cd8-positive, alpha-beta t cell",Kidney,Bone_Marrow,13.071027076964388,0.000881968787113453,0.18653317704393346,0.045916974544525146,0.36734693877551017
"cd8-positive, alpha-beta t cell",Kidney,Spleen,6.295839481098353,0.0045006654327684,0.2030950179664871,0.13449102640151978,0.5915492957746479
"cd8-positive, alpha-beta t cell",Kidney,Lung,10.429995145806028,0.0008762229351481864,0.1812720875649152,0.03979671001434326,0.34024896265560167
nk cell,Kidney,Bone_Marrow,13.828134426918478,0.0011130227168799412,0.19492906802833654,0.05920690298080444,0.44357976653696496
nk cell,Kidney,Spleen,17.852692364605616,0.0015323772917124347,0.2086709413841169,0.06124609708786011,0.4790874524714829
nk cell,Kidney,Lung,12.406028304568963,0.0009989254651457213,0.20181655893435158,0.05023932456970215,0.3870967741935484
endothelial cell,Kidney,Spleen,25.380430201013695,0.0041500583131587245,0.22049293638719758,0.17966163158416748,0.8439306358381503
smooth muscle cell,Heart,Lung,12.220701141976061,0.004526872487688358,0.2552204636785538,0.1746387481689453,0.5915492957746479
macrophage,Heart,Bone_Marrow,4.5041385340566,0.0037844238641002205,0.27497588743640844,0.1391313076019287,0.44357976653696496
macrophage,Heart,Spleen,9.036520289268356,0.004218127803695325,0.30106296776103747,0.14733219146728516,0.6062717770034843
macrophage,Heart,Lung,5.744336355482582,0.0061355672350827855,0.3197500133687988,0.16867053508758545,0.6754966887417219
"cd4-positive, alpha-beta t cell",Bone_Marrow,Lung,16.710484787585862,0.0011898226301175826,0.17353656286663954,0.05653566122055054,0.3539094650205762
"cd8-positive, alpha-beta t cell",Bone_Marrow,Spleen,6.1648046717338385,0.004433422316878796,0.20975944499153354,0.13851100206375122,0.5347985347985348
"cd8-positive, alpha-beta t cell",Bone_Marrow,Lung,17.390793067175455,0.0006074323815948781,0.2083756211296992,0.0313228964805603,0.24561403508771928
plasma cell,Bone_Marrow,Spleen,12.526078484390094,0.003520431224692916,0.26492028116652566,0.12465834617614746,0.5611510791366907
plasma cell,Bone_Marrow,Lung,11.608962822789003,0.002643942560444086,0.2988115247387718,0.10074460506439209,0.5507246376811594
nk cell,Bone_Marrow,Spleen,20.631768784408923,0.0024307169544068403,0.24962936228234578,0.1022106409072876,0.5239852398523985
nk cell,Bone_Marrow,Lung,15.015968596186015,0.0012953196758778566,0.24659701618219465,0.06680464744567871,0.36734693877551017
hematopoietic stem cell,Bone_Marrow,Spleen,11.121931695954274,0.00326376226160532,0.22138276291091608,0.12238234281539917,0.4126984126984127
memory b cell,Bone_Marrow,Spleen,22.361171472510968,0.0007483062514502635,0.15978779426059364,0.030047595500946045,0.27586206896551724
macrophage,Bone_Marrow,Spleen,15.472380911729719,0.004629900291148436,0.2176132726611386,0.15405750274658203,0.5611510791366907
macrophage,Bone_Marrow,Lung,18.029636008297814,0.006197350063525391,0.25971115136064016,0.1803513765335083,0.6622073578595318
naive b cell,Bone_Marrow,Spleen,21.0625886706408,0.0016836704340490061,0.23465476086965298,0.07664614915847778,0.3122362869198312
neutrophil,Bone_Marrow,Spleen,21.99309529197717,0.004257575731547222,0.2795502629958565,0.10328638553619385,0.6666666666666667
neutrophil,Bone_Marrow,Lung,18.871511393470506,0.005238829541438754,0.2617704510414791,0.13155728578567505,0.6842105263157895
erythrocyte,Bone_Marrow,Spleen,10.427989823213833,0.0029268557215418383,0.3267924503607822,0.09060931205749512,0.34024896265560167
neutrophil,Spleen,Lung,24.50560543819646,0.0011066428031831417,0.2886459622155846,0.03216719627380371,0.33333333333333337
classical monocyte,Spleen,Lung,17.50473737231107,0.0016242901074921784,0.1496362770821259,0.05211883783340454,0.360655737704918
plasma cell,Spleen,Lung,11.28210209588038,0.003719137946509055,0.2650417341963318,0.1320628523826599,0.39357429718875503
nk cell,Spleen,Lung,17.957216347220417,0.0015013432045470902,0.20311218309401402,0.06494385004043579,0.40637450199203184
macrophage,Spleen,Lung,30.64518493321857,0.005054356712243385,0.15274388201365663,0.137165367603302,0.6531986531986532
intermediate monocyte,Spleen,Lung,21.78129916371467,0.006916620493071611,0.23259878654632515,0.22936320304870605,0.7538940809968847
"cd8-positive, alpha-beta t cell",Spleen,Lung,6.255367086922622,0.0035433754325625037,0.17748403046954453,0.10425382852554321,0.5294117647058824
