model,covariate,n,events,coef,se,HR,HR_lower,HR_upper,z,p
M1_omega_full,z,271,79,0.05963,0.11125,1.061,0.853,1.32,0.536,0.5919653887976828
M1_omega_full,stage,271,79,0.39429,0.12916,1.483,1.152,1.911,3.053,0.0022684094364568974
M1_omega_full,grade_ord,271,79,0.35128,0.16859,1.421,1.021,1.977,2.084,0.03719015844860363
M1_omega_full,age,271,79,0.02213,0.00989,1.022,1.003,1.042,2.239,0.025177137635376434
M1_omega_full,sex_Male,271,79,-0.19197,0.23855,0.825,0.517,1.317,-0.805,0.4209827637809178
M2_omega_stage_grade,z,271,79,0.00932,0.10981,1.009,0.814,1.252,0.085,0.9323495219745705
M2_omega_stage_grade,stage,271,79,0.43634,0.12668,1.547,1.207,1.983,3.444,0.0005723355210904835
M2_omega_stage_grade,grade_ord,271,79,0.29695,0.16569,1.346,0.973,1.862,1.792,0.07309468190884716
M3_omega_unadjusted,z,293,93,0.07946,0.10536,1.083,0.881,1.331,0.754,0.4507753812274342
M4_kf_full,z,271,79,0.07222,0.12164,1.075,0.847,1.364,0.594,0.5526893851652044
M4_kf_full,stage,271,79,0.39167,0.12911,1.479,1.149,1.905,3.034,0.0024167940268422505
M4_kf_full,grade_ord,271,79,0.32744,0.16996,1.387,0.994,1.936,1.927,0.05403437732751115
M4_kf_full,age,271,79,0.02055,0.00975,1.021,1.001,1.04,2.107,0.03516035125072259
M4_kf_full,sex_Male,271,79,-0.19575,0.23802,0.822,0.516,1.311,-0.822,0.4108401969568942
M5_kn_full,z,271,79,-0.0496,0.08973,0.952,0.798,1.135,-0.553,0.5804278575444555
M5_kn_full,stage,271,79,0.40429,0.12895,1.498,1.164,1.929,3.135,0.0017170154734345022
M5_kn_full,grade_ord,271,79,0.35533,0.16963,1.427,1.023,1.989,2.095,0.03619677887792094
M5_kn_full,age,271,79,0.02271,0.01009,1.023,1.003,1.043,2.25,0.024432532884116842
M5_kn_full,sex_Male,271,79,-0.17596,0.24005,0.839,0.524,1.342,-0.733,0.4635414916117051
M6_tnomega_full,z,270,79,-0.11989,0.11614,0.887,0.706,1.114,-1.032,0.301929393198731
M6_tnomega_full,stage,270,79,0.41192,0.12889,1.51,1.173,1.944,3.196,0.0013945832219626197
M6_tnomega_full,grade_ord,270,79,0.32599,0.16966,1.385,0.993,1.932,1.921,0.05468147904833898
M6_tnomega_full,age,270,79,0.01989,0.00984,1.02,1.001,1.04,2.022,0.04314813823730401
M6_tnomega_full,sex_Male,270,79,-0.19221,0.2374,0.825,0.518,1.314,-0.81,0.418145163897639
