metric,test,comparison,n_total,stat,p
LUAD_omega,Dunn (Holm),EGFR vs KRAS,492,-2.86,0.008467067996592359
LUAD_omega,Dunn (Holm),WT vs KRAS,492,-5.295,3.569276301185198e-07
LUAD_omega,Dunn (Holm),WT vs EGFR,492,-0.852,0.3943482370894955
LUAD_omega,Kruskal-Wallis,WT vs EGFR vs KRAS,492,28.12,7.832510348041664e-07
LUAD_omega,descriptive,WT,311,115.3734,
LUAD_omega,descriptive,EGFR,61,122.2156,
LUAD_omega,descriptive,KRAS,120,136.9436,
LUAD_kf,Dunn (Holm),EGFR vs KRAS,492,-2.817,0.014551186314969655
LUAD_kf,Dunn (Holm),WT vs KRAS,492,-1.973,0.09689304091084106
LUAD_kf,Dunn (Holm),WT vs EGFR,492,1.649,0.09922347139898768
LUAD_kf,Kruskal-Wallis,WT vs EGFR vs KRAS,492,8.386,0.015103980459083927
LUAD_kf,descriptive,WT,311,0.2814,
LUAD_kf,descriptive,EGFR,61,0.2732,
LUAD_kf,descriptive,KRAS,120,0.2919,
LUAD_kn,Dunn (Holm),EGFR vs KRAS,492,0.816,0.41460715420445515
LUAD_kn,Dunn (Holm),WT vs KRAS,492,3.809,0.00041821579040335344
LUAD_kn,Dunn (Holm),WT vs EGFR,492,2.007,0.08945292763862867
LUAD_kn,Kruskal-Wallis,WT vs EGFR vs KRAS,492,16.002,0.0003350859307509108
LUAD_kn,descriptive,WT,311,0.0032,
LUAD_kn,descriptive,EGFR,61,0.0028,
LUAD_kn,descriptive,KRAS,120,0.0027,
LUAD_omega,bootstrap mean diff,KRAS - WT,492,21.5702,"CI95 [14.6650,29.3789]"
LUAD_omega,bootstrap mean diff,KRAS - EGFR,492,14.728,"CI95 [5.5637,24.1338]"
LUAD_omega,bootstrap mean diff,EGFR - WT,492,6.8422,"CI95 [-2.0924,15.1818]"
LUAD_kf,bootstrap mean diff,KRAS - WT,492,0.0105,"CI95 [0.0024,0.0192]"
LUAD_kf,bootstrap mean diff,KRAS - EGFR,492,0.0187,"CI95 [0.0061,0.0326]"
LUAD_kf,bootstrap mean diff,EGFR - WT,492,-0.0081,"CI95 [-0.0213,0.0042]"
LUAD_kn,bootstrap mean diff,KRAS - WT,492,-0.0006,"CI95 [-0.0008,-0.0003]"
LUAD_kn,bootstrap mean diff,KRAS - EGFR,492,-0.0001,"CI95 [-0.0005,0.0002]"
LUAD_kn,bootstrap mean diff,EGFR - WT,492,-0.0004,"CI95 [-0.0007,-0.0001]"
