OK notebooks/06_phase34_tcga.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/06_phase34_v2.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/07_phase34_clinical.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/08a_tcga_bootstrap.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/08a_tcga_permutation.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/83_kf_only_ordering.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/85_tcga_linear_norm_v44.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/06_phase34_v2.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/07_phase34_clinical.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/08a_tcga_bootstrap.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/83_kf_only_ordering.py: RG->KIRC=False, RG->LIHC=True
OK notebooks/85_tcga_linear_norm_v44.py: RG->KIRC=False, RG->LIHC=True
