series,delta,eta,eps,module_size,module_seed,n,omega_mean,omega_sd,omega_power,k_f_mean,k_f_sd,k_f_power,k_n_mean,k_n_sd,k_n_power,k_total_mean,k_total_sd,k_total_power,cosine_mean,cosine_sd,cosine_power,kf_over_kt_mean,kf_over_kt_sd,kf_over_kt_power
baseline,0.0,0.0,0.0,200,42,200,11.61535,4.37869,0.05,0.02866,0.01067,0.05,0.00248,0.00021,0.05,0.00273,0.00046,0.05,0.0124,0.00116,0.05,10.33668,2.58953,0.05
confounded,0.5,0.25,0.0,200,42,50,8.10972,2.3376,0.0,0.02348,0.00746,0.0,0.00289,0.00028,0.5,0.00332,0.00053,0.26,0.01368,0.00124,0.14,6.98967,1.45204,0.0
confounded,0.5,0.5,0.0,200,42,50,5.51596,1.88483,0.0,0.02042,0.0077,0.0,0.00369,0.00037,1.0,0.00421,0.00058,0.96,0.01609,0.00131,0.94,4.78277,1.34873,0.0
confounded,0.5,1.0,0.0,200,42,50,2.10771,0.97255,0.0,0.01309,0.00649,0.0,0.00616,0.00054,1.0,0.00831,0.00079,1.0,0.02628,0.00155,1.0,1.55413,0.69674,0.0
depth,0.25,0.0,0.0,200,42,50,10.78258,3.066,0.0,0.02677,0.00817,0.02,0.00248,0.00022,0.06,0.00275,0.00051,0.06,0.01237,0.0012,0.06,9.66254,1.85798,0.0
depth,1.0,0.0,0.0,200,42,50,12.80255,2.73249,0.0,0.03145,0.00717,0.02,0.00246,0.00022,0.08,0.00444,0.00051,0.98,0.01521,0.00124,0.66,7.03643,1.02973,0.0
dropout,0.25,0.0,0.0,200,42,50,9.93145,2.58558,0.0,0.03254,0.00874,0.06,0.00328,0.00026,0.98,0.00358,0.00053,0.46,0.01566,0.00126,0.82,9.01651,1.62581,0.0
dropout,1.0,0.0,0.0,200,42,50,11.55383,2.34064,0.0,0.03734,0.00741,0.02,0.00324,0.00026,0.96,0.00527,0.00059,1.0,0.01847,0.00133,1.0,7.05831,0.94397,0.0
imbalance,0.25,0.0,0.0,200,42,50,9.06101,2.2577,0.0,0.05591,0.01623,0.48,0.00617,0.00076,1.0,0.00638,0.00101,1.0,0.02908,0.00323,1.0,8.67603,1.43849,0.0
imbalance,1.0,0.0,0.0,200,42,50,8.46702,1.90542,0.0,0.05118,0.01293,0.38,0.00606,0.00075,1.0,0.00803,0.00106,1.0,0.03179,0.00331,1.0,6.32904,1.05635,0.0
