cell_type,n_baseline_regions,n_baseline_splits,baseline_popmean,baseline_two_stage_lo,baseline_two_stage_hi,n_pairs_crossregion,omega_crossregion,omega_cal_class,omega_cal_class_lo,omega_cal_class_hi,divergent_joint_ci
Astrocyte,3,150,9.264667070026997,8.248371397448413,10.324701863256362,5778,82.7482460243405,8.93159413057024,7.831078344849168,10.234792957054005,True
Bergmann glia,2,100,9.083307774260964,8.705422668927575,9.470291404446996,21,13.555116164434796,1.4923105658541518,0.9907350177512991,2.1232616211950512,False
Choroid plexus,3,150,10.662782648813566,8.20361987427546,14.725682395277772,15,37.756091796470805,3.540922950415,2.2616221270867682,5.921613563203801,True
Committed oligodendrocyte precursor,3,150,12.523220485717962,10.321698728639424,14.032222829215666,1326,28.8386733198317,2.302816064982694,1.9151426201277293,2.8662820462383394,True
Ependymal,3,150,9.886556789708413,8.675855207862515,11.414367618962626,780,22.97685975883077,2.3240507537213504,1.883507385596413,2.8207500911539687,True
Fibroblast,3,150,11.156529747163008,7.301400827502052,13.703541094976718,3403,18.183008091415875,1.6298085967134743,1.2483467879335748,2.4487986235888015,True
Microglia,3,150,7.583479650558371,7.202428547290567,8.179143040133283,5671,24.30984686096646,3.205632240231109,2.82273929943352,3.632726231416857,True
Oligodendrocyte,3,150,9.553633094459586,8.263237146139398,10.427446566508834,5778,37.054413640720455,3.878567794508387,3.4295225028064444,4.478665819576133,True
Oligodendrocyte precursor,3,150,9.073497165923081,8.52936032598831,9.539908604046104,5671,40.6182991233601,4.476586963173185,4.038092641663163,4.961616659557198,True
Vascular,3,150,8.258732593674173,7.732749186966094,8.657230846761504,3321,13.558538233542956,1.6417214239298898,1.4780068554114436,1.8267301559120837,True
