cell_type,kn_mean,kn_std,kn_median,kn_min,kn_max,kn_cv,n_pairs
Astrocyte,0.001814570607818739,0.0011442908182091335,0.0015172758635019,0.0001366310184411,0.0104217520053751,0.6306124508346717,5778
Bergmann glia,0.005831417930561376,0.003086793629488361,0.0066985698906641,0.0002754345847353,0.0126110711396298,0.5293384329926089,21
Choroid plexus,0.004147343927326027,0.0017143771744548703,0.0036571971686018,0.0017646346565484,0.0082981896629864,0.413367496039858,15
Committed oligodendrocyte precursor,0.006903759337785165,0.002546016757945946,0.0066743053920062505,0.0010946486548682,0.0157569787927168,0.3687870091315711,1326
Ependymal,0.00666599420527679,0.0036774856431722766,0.0057302168996360495,0.0006190002357471,0.020493080565055,0.5516784938488523,780
Fibroblast,0.0070865067247627535,0.0031115770761490826,0.0066056919835842,0.0014342914202928,0.0223149178021702,0.43908475600201324,3403
Microglia,0.0027724951701440237,0.0016344469319738823,0.0023370898249144,0.0002624328319976,0.0131568764689332,0.5895220123643984,5671
Oligodendrocyte,0.0016365532689521752,0.0011476328151320144,0.00129047858071805,0.0001188282278402,0.0087954444750087,0.7012498993490149,5778
Oligodendrocyte precursor,0.001377018886685959,0.0009141407096052421,0.0011154355477234,9.227964795837782e-05,0.0078570200714584,0.6638548813264898,5671
Vascular,0.009180810467132193,0.003998796195900373,0.0088112081928991,0.0014093525742913,0.0303850537848408,0.4355602601988441,3321
