cell_type,n_pairs,omega_mean,omega_median
Astrocyte,5778,82.7482460243405,73.36590930436685
Oligodendrocyte precursor,5671,40.6182991233601,36.731455512191495
Choroid plexus,15,37.756091796470805,33.15293912578377
Oligodendrocyte,5778,37.054413640720455,34.276200229188504
Committed oligodendrocyte precursor,1326,28.838673319831692,26.69716925199181
Microglia,5671,24.30984686096646,21.614527347384755
Ependymal,780,22.97685975883077,21.314819277561664
Fibroblast,3403,18.183008091415875,15.605693333044991
Vascular,3321,13.558538233542956,12.44956787022566
Bergmann glia,21,13.5551161644348,12.234463770308055
