cell_type,n_pairs,kf_mean,kn_mean,omega_mean
Astrocyte,5778,0.13492770755360456,0.001814570607818739,82.7482460243405
Oligodendrocyte precursor,5671,0.048472947982389596,0.001377018886685959,40.6182991233601
Choroid plexus,15,0.1485483736117244,0.004147343927326027,37.756091796470805
Oligodendrocyte,5778,0.05419889267596461,0.0016365532689521752,37.054413640720455
Committed oligodendrocyte precursor,1326,0.19684934152505443,0.006903759337785165,28.838673319831692
Microglia,5671,0.05901066547466264,0.0027724951701440237,24.30984686096646
Ependymal,780,0.13145208111784926,0.00666599420527679,22.97685975883077
Fibroblast,3403,0.11709729199345903,0.0070865067247627535,18.183008091415875
Vascular,3321,0.11577992283461326,0.009180810467132193,13.558538233542956
Bergmann glia,21,0.06657140740086846,0.005831417930561376,13.5551161644348
