cancer,pair_type,n_pairs,kn_min,kn_median,kn_p05,n_kn_below_floor,frac_kn_below_floor,spearman_omega_kf,omega_median
TCGA-BRCA,NN,5886,0.0002688772370574,0.00171239876838295,0.00057091674678815,0,0.0,0.36282445202251457,160.40266780374012
TCGA-BRCA,TN,2000,0.0007335509194913,0.0045892973945217,0.0020561521033239097,0,0.0,0.2127477276869319,112.02882275166917
TCGA-BRCA,TT,2000,0.0006917325271542,0.0047738743414676,0.0022632897979543254,0,0.0,0.08199750549937637,106.30787308448402
TCGA-KIRC,NN,3321,0.0001623483914999,0.00139673844581,0.0005095614645948,0,0.0,-0.0016967468345586213,203.7658844171416
TCGA-KIRC,TN,2000,0.0005973214618016,0.0045101002227348,0.00204564103230404,0,0.0,0.11794347548586886,115.63611104418118
TCGA-KIRC,TT,2000,0.0005808935999478,0.00518634757823745,0.0016202419875065502,0,0.0,0.09610987352746839,92.97081353738773
TCGA-LIHC,NN,1596,0.0003353645309119,0.00352049759822025,0.001425604628568125,0,0.0,-0.2519185607976183,79.81010765675364
TCGA-LIHC,TN,2000,0.0012246543772299,0.008653603183338101,0.003890233112147525,0,0.0,0.141990447997612,56.471731460153066
TCGA-LIHC,TT,2000,0.0007536249661791,0.00780183126192555,0.00395979534696739,0,0.0,0.10129567032391758,64.66815345371222
TCGA-LUAD,NN,2850,0.0002193549769198,0.0018623662222448998,0.0005086514589781751,0,0.0,-0.15496262029962118,239.75256221151352
TCGA-LUAD,TN,2000,0.0008903067466531,0.0043736094509888995,0.00223766055105741,0,0.0,0.14061305615326403,122.22781369481578
TCGA-LUAD,TT,2000,0.0012353017952345,0.00485225252375175,0.0025033063751880554,0,0.0,0.20959520989880248,103.44780573343093
TCGA-LUSC,NN,1653,0.0002643269433493,0.0019665425153108,0.000656986230674,0,0.0,0.15799163388326956,172.89465643048942
TCGA-LUSC,TN,2000,0.0012315942008421,0.0056462631771346,0.003184538903907025,0,0.0,0.457942111985528,100.53901076482161
TCGA-LUSC,TT,2000,0.0017486066103717,0.0053214286214729005,0.00293623771400585,0,0.0,0.12861922865480716,97.68574852723103
