cell_type,n_cells,log10_n_cells,mean_detected_genes,mean_total_counts,kn_mean,kf_mean,omega_mean,n_pairs,kn_mean_downsampled,omega_mean_downsampled,omega_downsampled_sd
Astrocyte,155025,5.190401740018988,2401.1426092565716,5581.352181906144,0.0018145706078187887,0.13492770755360461,82.7482460243405,5778,0.013126842051733775,19.831436225596416,0.2904615631516791
Bergmann glia,7965,3.9011857801371503,2469.879096045198,5969.083992467044,0.005831417930561417,0.0665714074008685,13.555116164434796,21,0.01019092241095404,11.407428330380498,0.38335631489530386
Choroid plexus,7643,3.8832638595849738,4280.6552400889705,15940.100614941777,0.004147343927326082,0.1485483736117244,37.75609179647065,15,0.005622108321594693,30.686365106159514,1.7808481786094617
Committed oligodendrocyte precursor,4118,3.6146863422820124,2134.484458474988,5034.096891694998,0.0069037593377852145,0.1968493415250545,28.8386733198317,1326,0.0069037593377852145,28.838673319831702,3.552713678800501e-15
Ependymal,5779,3.7618526944663833,2792.0276864509433,6391.572417373248,0.006665994205276841,0.13145208111784928,22.97685975883077,780,0.007839298946609195,20.41364211816308,0.2500902350378288
Fibroblast,8897,3.949243590568265,1880.1983814769023,3681.4953355063503,0.007086506724762803,0.11709729199345907,18.183008091415875,3403,0.013274732896072802,13.17821758141828,0.1680271301959715
Microglia,91826,4.962965666580273,1581.5494195543745,2921.106451331867,0.0027724951701440736,0.05901066547466269,24.309846860966456,5671,0.028561285107885914,8.029641733580217,0.08904589155264135
Oligodendrocyte,490246,5.690414058872173,2166.4001929643487,5136.294176801034,0.001636553268952224,0.05419889267596465,37.05441364072046,5778,0.0170946859238837,10.76064743456377,0.118967795320764
Oligodendrocyte precursor,105723,5.024169478191797,2653.054917094672,6613.930838133613,0.0013770188866860087,0.048472947982389644,40.6182991233601,5671,0.010839155762800277,12.359495476836369,0.186394437644288
Vascular,9586,3.981637424655769,1708.7311704569163,3336.0771959107033,0.009180810467132244,0.1157799228346133,13.558538233542956,3321,0.017400428208630365,10.610268973644343,0.14482578848690558
