rep,astro_over_bergmann_gradient,omega__Astrocyte,omega__Bergmann glia,omega__Choroid plexus,omega__Committed oligodendrocyte precursor,omega__Ependymal,omega__Fibroblast,omega__Microglia,omega__Oligodendrocyte,omega__Oligodendrocyte precursor,omega__Vascular
0,1.8370691663940941,20.280566206508293,11.039631265662232,30.322015932653393,28.8386733198317,20.225954155644516,12.945899327972278,8.032435144092165,11.025448001690787,12.315333863143255,10.628557495421518
1,1.8314232317754353,20.23381782479998,11.048138668190163,29.960684885210597,28.8386733198317,20.220826179271555,13.314504587059853,8.006294435017656,10.973970443369922,12.026292138603047,10.846281131838467
2,1.6198263092530203,19.37171045153444,11.959128173728494,32.75637473672536,28.8386733198317,20.763363577061003,13.18366023128759,8.09440151530288,10.745419690550307,12.02832013112153,10.619439001290164
3,1.7311716955268033,20.237260281264437,11.689920955590802,29.220544699524833,28.8386733198317,20.24728515702123,13.146137976168117,8.247803068316525,10.57560173045245,12.740636029129352,10.723034904395549
4,1.7473624772784964,19.781377595842642,11.320706409268892,33.02933742980951,28.8386733198317,20.620717832669207,13.021717694267556,7.953718146852866,10.707348308368744,12.66150885109222,10.503900778578315
5,1.6524435195770582,19.913525801861265,12.050957001518647,28.441184525302173,28.8386733198317,20.686865477453935,13.230623724534114,8.048471411609302,10.645515008911476,12.489686726389609,10.372516922655231
6,1.6544255063518045,19.565449625208903,11.826129100459127,34.10744851773632,28.8386733198317,20.780929090722964,13.054609956156328,8.034446838524861,10.770632657577869,12.20234124934501,10.490830442170997
7,1.7092976125019241,20.008796328087477,11.705858699937167,33.04409448637515,28.8386733198317,20.320050755810165,13.229975379040887,8.005727249343497,10.570014738512441,12.421112675318556,10.789894251741492
8,1.664222905595215,19.18508715014476,11.527955231023064,32.948061512740516,28.8386733198317,19.94498165203075,13.117113313094514,7.979154611475507,10.742301053281349,12.545247958719589,10.635453008751636
9,1.6527286826911824,19.9036486209097,12.042901432859539,29.78801106874259,28.8386733198317,20.331723171429406,13.07342284559949,7.979113249844063,10.831247457642533,12.338230554887206,10.64759993451197
10,1.8003017932585228,20.065026326306178,11.145368182958226,29.55590495607154,28.8386733198317,20.67426810179247,13.463593519867057,8.04538713710137,10.7588068705483,12.370821157488374,10.868554584930028
11,1.7122050812556717,19.302243434636473,11.273324466763572,30.353356181323615,28.8386733198317,20.59923203500043,13.195791984669718,7.8566788924390165,10.88935418711621,12.408374314403108,10.794016074539256
12,1.776780981594396,20.03471618917298,11.275850201410197,29.593376872391325,28.8386733198317,20.535400821654978,13.007213986472891,8.094940106720202,10.674006325087579,12.560635909726031,10.665176638625788
13,1.676963964794755,19.83813848544819,11.829794141030453,31.251226842905112,28.8386733198317,19.992238580578917,13.358886527256843,8.113983892090316,10.896495608578299,12.154191510547223,10.545333594005246
14,1.782003343255044,19.690135063933027,11.049437779373983,31.21485604876154,28.8386733198317,20.522049470817592,13.224004608115713,7.987902043331078,10.735888070582469,12.19065295020669,10.631683946814807
15,1.8299751618826423,19.91394659729833,10.882085731049626,27.83686396594216,28.8386733198317,20.56724028047433,13.320915489704444,8.135709386254677,10.6678845360172,12.512265935084253,10.594456858865422
16,1.8340176536448132,19.869782203277897,10.83401905308268,29.25485402201819,28.8386733198317,20.3620206881467,13.457145408688863,8.084003911992557,10.62819113026363,12.301363809286354,10.50880331073087
17,1.770390349578342,19.819175619777383,11.194805498401955,32.50834392473422,28.8386733198317,20.206444739383876,12.873539400630573,8.086243985386115,10.828693368421307,12.329110148701064,10.526441225115233
18,1.7864317581804416,19.74508543982402,11.052806998872013,28.285554063695198,28.8386733198317,20.05896188773518,12.955580795298859,7.873518938585374,10.75211693880446,12.24115393985878,10.519926980047305
19,1.7429539613190017,19.86923526609198,11.399747616429119,30.25520745052692,28.8386733198317,20.612288708562414,13.390014872479943,7.932900707324341,10.794012565498065,12.352629683676131,10.293478387857558
