cell_type,donor,n_cells,cki_omega,meld_mean_res_stim,meld_auc_within_donor
B cells,101,242,25.811360462476653,0.5498488825915132,1.0
B cells,1015,794,33.282325640798724,0.4407950395905827,0.9991195872417834
B cells,1016,242,20.006936187152583,0.48345934067454166,0.9984263820470717
B cells,1039,67,,0.5870434415647252,0.9990740740740741
B cells,107,98,,0.5353781289054246,1.0
B cells,1244,209,21.926740901926998,0.4474898445502553,1.0
B cells,1256,424,30.24715935702851,0.48644432460237264,0.9998664529914529
B cells,1488,497,26.05393987248371,0.5553193507929776,1.0
CD14+ Monocytes,101,455,28.355141790709236,0.5467227750034014,1.0
CD14+ Monocytes,1015,1450,28.401656023265783,0.4678532548857139,0.9997646874264648
CD14+ Monocytes,1016,698,30.92171835663029,0.48137209361141575,0.9995881417780743
CD14+ Monocytes,1039,291,30.91548559090407,0.5674885056087399,0.9963443963443963
CD14+ Monocytes,107,378,25.181242852537714,0.4451547991381105,1.0
CD14+ Monocytes,1244,705,28.332885373263437,0.4100409083683745,1.0
CD14+ Monocytes,1256,765,27.464278635757747,0.48649097472864394,0.9998222222222222
CD14+ Monocytes,1488,643,30.02901733553052,0.5346265549673643,1.0
CD4 T cells,101,675,31.366917368231576,0.5511966809235301,0.9977217089862945
CD4 T cells,1015,1582,42.50849006088219,0.4744988703449359,0.9986713408051
CD4 T cells,1016,775,25.927052695571717,0.4469273237095755,0.9971201482217419
CD4 T cells,1039,470,20.38860392147228,0.5833007642135052,0.997119132350449
CD4 T cells,107,344,22.211550401367585,0.523489170586165,1.0
CD4 T cells,1244,1922,35.35267525246219,0.44854537695009833,0.9996250296029261
CD4 T cells,1256,1955,35.54242420039549,0.49728429718501815,0.998817744100763
CD4 T cells,1488,2666,42.723315728204525,0.5510135975577294,0.9992583040303565
CD8 T cells,101,179,34.44223903222461,0.5366058170400895,0.9981981981981982
CD8 T cells,1015,312,26.269043024150847,0.43839372084556427,0.9990759020456168
CD8 T cells,1016,1025,31.55602261789505,0.4761266067203345,0.9968333180722156
CD8 T cells,1039,57,,0.5188049957049448,0.9975186104218362
CD8 T cells,107,35,,0.39114516287478174,0.9933333333333333
CD8 T cells,1244,90,,0.3597233960480847,1.0
CD8 T cells,1256,243,20.82569343165131,0.479733881951355,0.9996592148309705
CD8 T cells,1488,101,,0.437854689690016,0.9983961507618284
FCGR3A+ Monocytes,101,224,26.745703505923576,0.6244600886489265,1.0
FCGR3A+ Monocytes,1015,480,26.321462792436577,0.4890550645487578,0.9996170983013088
FCGR3A+ Monocytes,1016,243,27.778041529627128,0.5331910319713961,0.9995244565217392
FCGR3A+ Monocytes,1039,81,,0.5739794140427243,1.0
FCGR3A+ Monocytes,107,69,,0.5267324487849232,1.0
FCGR3A+ Monocytes,1244,91,,0.38679983506174154,1.0
FCGR3A+ Monocytes,1256,166,31.485757194304483,0.5702324989756878,1.0
FCGR3A+ Monocytes,1488,245,27.90150508997628,0.5751342452468206,1.0
NK cells,101,174,16.13776686543183,0.5617560868736283,0.9990384615384615
NK cells,1015,372,34.8665336736426,0.5490432183883961,0.9987251919455309
NK cells,1016,323,19.900259190973653,0.5821844060002744,0.9956330128205129
NK cells,1039,43,,0.5532185120508187,1.0
NK cells,107,86,,0.5323713735628621,1.0
NK cells,1244,219,18.6688812846458,0.5131394568083625,1.0
NK cells,1256,492,28.135177125784733,0.4933695456906741,0.9945265462506842
NK cells,1488,284,17.45701396436867,0.5820650124852387,0.9988197865353038
