rep,tissue,cell_type,kn,kf,omega,n_half_a,n_half_b
0,Liver,hepatocyte,0.0002611905502561486,0.003176218446532775,12.160541196524413,199,200
0,Heart,endothelial cell,0.00022649676900931778,0.0019131764107799265,8.446815462966807,568,569
0,Spleen,B cell,0.0002294194028798551,0.0017835067269247273,7.774001259425882,619,619
0,Marrow,B cell,0.00015338059998961173,0.0010515521264256012,6.855835265325742,924,924
0,Heart,fibroblast,9.670121321448674e-05,0.0003765634922095625,3.8940927387780673,1026,1026
0,Marrow,neutrophil,0.00020415377205314255,0.0013308103876510467,6.518666661248993,299,300
1,Liver,hepatocyte,0.00038707602742079565,0.011261355341155407,29.093393915901263,199,200
1,Heart,endothelial cell,0.0002617859998838008,0.002101178779826795,8.026322189725375,568,569
1,Spleen,B cell,0.0002658382221276166,0.0017269187399827188,6.49612657713948,619,619
1,Marrow,B cell,0.0001574326501554915,0.0011472635607295502,7.287329277608123,924,924
1,Heart,fibroblast,0.00011577080401261145,0.0007110420847857811,6.141808298302256,1026,1026
1,Marrow,neutrophil,0.00023378946769160672,0.0006286222639490533,2.688839108775735,299,300
2,Liver,hepatocyte,0.0002678574372240055,0.0008432330510323377,3.1480665975578397,199,200
2,Heart,endothelial cell,0.0002735938301601119,0.0018403756568554034,6.72667090401265,568,569
2,Spleen,B cell,0.00027223563714209463,0.0018427193568625556,6.768839583998842,619,619
2,Marrow,B cell,0.000181409850034764,0.0011002796025608164,6.065159098858012,924,924
2,Heart,fibroblast,0.00012823866765071892,0.0010910399808767171,8.507886122525546,1026,1026
2,Marrow,neutrophil,0.00023923538222817508,0.0006741113973852434,2.8177746581912264,299,300
3,Liver,hepatocyte,0.00020096537260382518,0.0009285286244465167,4.620341367350781,199,200
3,Heart,endothelial cell,0.00027233270296206857,0.00207070197407464,7.603574420377469,568,569
3,Spleen,B cell,0.0002622368208422028,0.0017254069728927764,6.579575543020387,619,619
3,Marrow,B cell,0.00015588648167102467,0.0008374497117308579,5.372176616944704,924,924
3,Heart,fibroblast,0.00011572815335820672,0.0009089114452165258,7.853849031905178,1026,1026
3,Marrow,neutrophil,0.0002272331781168041,0.0009183928152922427,4.041631697023414,299,300
4,Liver,hepatocyte,0.00026982778328949847,0.003566125150838813,13.216300809960382,199,200
4,Heart,endothelial cell,0.0002863441695081198,0.002440655368425593,8.523502932216623,568,569
4,Spleen,B cell,0.0003326856428460557,0.0016307805400839475,4.901866296762803,619,619
4,Marrow,B cell,0.00018029697698306605,0.0009288567957375469,5.151815694751152,924,924
4,Heart,fibroblast,0.0001232429102684398,0.000766213663250358,6.217101345476511,1026,1026
4,Marrow,neutrophil,0.00021176910917640674,0.0007095467977347035,3.3505679864934446,299,300
5,Liver,hepatocyte,0.00020742023481171374,0.002826169126671123,13.625329897232955,199,200
5,Heart,endothelial cell,0.0002992144290899018,0.0017166154245043912,5.737074344060519,568,569
