cell_type,n_regions,n_pairs,n_nuclei,omega_mean,omega_median,omega_std,omega_min,omega_max
Bergmann glia,7,21,7965,16.42,14.0,7.33,8.41,35.64
Vascular,82,3321,9586,18.47,16.85,6.9,7.81,48.68
Fibroblast,83,3403,8897,24.26,20.55,13.48,6.46,121.45
Microglia,107,5671,91826,31.99,28.56,16.34,6.02,164.72
Ependymal,40,780,5779,32.33,29.68,14.08,9.31,97.97
Committed oligodendrocyte precursor,52,1326,4118,33.78,31.69,14.59,9.42,87.81
Oligodendrocyte,108,5778,490246,41.08,38.05,16.96,7.15,163.88
Choroid plexus,6,15,7643,48.21,42.49,19.78,26.98,111.64
Oligodendrocyte precursor,107,5671,105723,50.62,45.19,25.13,7.18,160.07
Astrocyte,108,5778,155025,103.08,91.52,56.09,9.41,340.01
