cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A1C,Human A5-A7,38.68881137858048,45.28,0.8545,None
Astrocyte,Human A1C,Human A13,25.75681580486128,41.22,0.6248,Weak
Astrocyte,Human A1C,Human A14,46.203258309052146,71.7,0.6444,Weak
Astrocyte,Human A1C,Human A19,35.525413761394105,48.69,0.7296,Weak
Astrocyte,Human A1C,Human A23,37.687091110733974,45.11,0.8354,None
Astrocyte,Human A1C,Human A24,43.02870165558095,58.21,0.7392,Weak
Astrocyte,Human A1C,Human A25,53.996700304613704,63.25,0.8537,None
Astrocyte,Human A1C,Human A29-A30,24.7880271700427,41.67,0.5948,Weak
Astrocyte,Human A1C,Human A32,72.56557720400279,84.43,0.8595,None
Astrocyte,Human A1C,Human A35-36,20.338879504537907,41.27,0.4928,Moderate
Astrocyte,Human A1C,Human A35-A36,32.45275205615902,58.93,0.5507,Weak
Astrocyte,Human A1C,Human A35r,36.97846865014502,65.65,0.5632,Weak
Astrocyte,Human A1C,Human A38,34.73178629378047,66.58,0.5216,Weak
Astrocyte,Human A1C,Human A40,39.169206351243915,37.62,1.0413,None
Astrocyte,Human A1C,Human A43,52.79772319083366,46.08,1.1457,None
Astrocyte,Human A1C,Human A44-A45,30.01164022650223,38.07,0.7884,None
Astrocyte,Human A1C,Human A46,44.80889632655217,57.08,0.785,None
Astrocyte,Human A1C,Human ANC,157.8635256852656,116.7,1.3527,None
Astrocyte,Human A1C,Human AON,47.68202499156702,70.16,0.6796,Weak
Astrocyte,Human A1C,Human BL,50.35540167293953,61.74,0.8156,None
Astrocyte,Human A1C,Human BM,51.515009394441016,68.71,0.7498,Weak
Astrocyte,Human A1C,Human BNST,86.77502583414595,93.36,0.9295,None
Astrocyte,Human A1C,Human CA1-3,46.69264681716232,61.98,0.7534,None
Astrocyte,Human A1C,Human CA1C-CA3C,84.92773541395896,76.48,1.1105,None
Astrocyte,Human A1C,Human CA1R-CA2R,60.28285171870984,65.5,0.9203,None
Astrocyte,Human A1C,Human CA1R-CA2R-CA3R,45.73296997251448,67.73,0.6752,Weak
Astrocyte,Human A1C,Human CA1U,68.23267614957923,73.57,0.9274,None
Astrocyte,Human A1C,Human CA1U-CA2U-CA3U,44.38039599052933,50.38,0.8809,None
Astrocyte,Human A1C,Human CA2U-CA3U,63.185510529151564,87.39,0.7231,Weak
Astrocyte,Human A1C,Human CA3R,94.28387985903653,75.81,1.2436,None
Astrocyte,Human A1C,Human CA4C-DGC,70.37529528546328,76.62,0.9185,None
Astrocyte,Human A1C,Human CBL,159.31738621204482,139.04,1.1458,None
Astrocyte,Human A1C,Human CBV,148.80773061566117,133.34,1.116,None
Astrocyte,Human A1C,Human CEN,41.02822633777034,55.8,0.7353,Weak
Astrocyte,Human A1C,Human CM,98.76044529798499,104.43,0.9457,None
Astrocyte,Human A1C,Human CM-Pf,123.08068537051167,92.85,1.3256,None
Astrocyte,Human A1C,Human CMN,79.43996499916692,77.22,1.0288,None
Astrocyte,Human A1C,Human CaB,73.1623213989642,79.82,0.9165,None
Astrocyte,Human A1C,Human CbDN,130.2614801571777,137.67,0.9462,None
Astrocyte,Human A1C,Human Cla,61.35371114243062,78.79,0.7787,None
Astrocyte,Human A1C,Human CoA,65.31039800763774,79.76,0.8189,None
Astrocyte,Human A1C,Human DGR-CA4Rpy,77.38006041659618,104.23,0.7424,Weak
Astrocyte,Human A1C,Human DGU-CA4Upy,73.60747150183535,71.5,1.0295,None
Astrocyte,Human A1C,Human DTg,149.91535591983012,106.72,1.4048,None
Astrocyte,Human A1C,Human ETH,119.82608525659293,89.01,1.3462,None
Astrocyte,Human A1C,Human FI,44.65828279773049,55.05,0.8113,None
Astrocyte,Human A1C,Human GPe,103.61831440155709,84.84,1.2214,None
Astrocyte,Human A1C,Human GPi,113.06273734970627,100.13,1.1292,None
Astrocyte,Human A1C,Human Gpe,76.97918730707455,103.88,0.7411,Weak
Astrocyte,Human A1C,Human HTHma,77.33922561300615,66.38,1.1651,None
Astrocyte,Human A1C,Human HTHma-HTHtub,81.30670518127845,55.52,1.4644,None
Astrocyte,Human A1C,Human HTHpo,79.62157863573789,106.64,0.7466,Weak
Astrocyte,Human A1C,Human HTHpo-HTHso,135.68267879322983,110.59,1.2269,None
Astrocyte,Human A1C,Human HTHso,73.98478589235242,96.5,0.7667,None
Astrocyte,Human A1C,Human HTHso-HTHtub,176.73189004080115,163.38,1.0817,None
Astrocyte,Human A1C,Human HTHtub,83.73483317184125,110.92,0.7549,None
Astrocyte,Human A1C,Human IC,168.7300390154883,124.22,1.3583,None
Astrocyte,Human A1C,Human IO,108.05147086715486,95.84,1.1274,None
Astrocyte,Human A1C,Human ITG,38.012112232920224,50.84,0.7476,Weak
Astrocyte,Human A1C,Human Idg,44.90364095522116,72.95,0.6156,Weak
Astrocyte,Human A1C,Human Ig,47.69680034847769,39.62,1.2038,None
Astrocyte,Human A1C,Human LEC,49.42902179217887,70.97,0.6965,Weak
Astrocyte,Human A1C,Human LG,195.70962160038866,128.28,1.5257,None
Astrocyte,Human A1C,Human LP,151.17173136024172,93.18,1.6223,None
Astrocyte,Human A1C,Human LP-VPL,99.4512616122966,103.98,0.9564,None
Astrocyte,Human A1C,Human La,40.59987238010353,60.73,0.6685,Weak
Astrocyte,Human A1C,Human M1C,29.01035803375822,42.71,0.6792,Weak
Astrocyte,Human A1C,Human MD,238.1344287321485,153.21,1.5543,None
Astrocyte,Human A1C,Human MD-Re,111.6193360054228,112.82,0.9893,None
Astrocyte,Human A1C,Human MEC,34.261550970737666,54.83,0.6248,Weak
Astrocyte,Human A1C,Human MG,119.73152903638844,74.34,1.6106,None
Astrocyte,Human A1C,Human MN,64.74401018078105,92.52,0.6998,Weak
Astrocyte,Human A1C,Human MTG,36.63242889439812,56.92,0.6435,Weak
Astrocyte,Human A1C,Human MoAN,158.53836599624321,127.38,1.2446,None
Astrocyte,Human A1C,Human MoRF-MoEN,210.5713237526391,135.83,1.5503,None
Astrocyte,Human A1C,Human MoSR,85.7763495465444,83.31,1.0296,None
