cell_type,region_a,region_b,omega,omega_cal,kn,kf
Astrocyte,Human A1C,Human A5-A7,38.68881137858048,5.8004214960390525,0.0004860755394521,0.0188056848616064
Astrocyte,Human A1C,Human A13,25.75681580486128,3.861591574941721,0.0004346874607033,0.0111961648580193
Astrocyte,Human A1C,Human A14,46.20325830905215,6.927025233740952,0.0006961693827939,0.0321652938200826
Astrocyte,Human A1C,Human A19,35.525413761394105,5.326148989714259,0.0004817975221795,0.017116056324644
Astrocyte,Human A1C,Human A23,37.68709111073397,5.650238547336427,0.0004613593962463,0.0173872936011285
Astrocyte,Human A1C,Human A24,43.02870165558095,6.451079708482902,0.0004868240127106,0.0209474052016998
Astrocyte,Human A1C,Human A25,53.9967003046137,8.095457317033539,0.0004443171888221,0.0239916620850161
Astrocyte,Human A1C,Human A29-A30,24.7880271700427,3.7163459025551275,0.0012742245826429,0.0315855135752897
Astrocyte,Human A1C,Human A32,72.56557720400279,10.87939688215934,0.0004561214185581,0.0330987140127791
Astrocyte,Human A1C,Human A35-36,20.338879504537907,3.049307272044664,0.0025638075438658,0.0521449727075126
Astrocyte,Human A1C,Human A35-A36,32.45275205615902,4.865480068389658,0.0008240101773895,0.0267413979785741
Astrocyte,Human A1C,Human A35r,36.97846865014502,5.543998298372567,0.0013360894425498,0.0494065415651186
Astrocyte,Human A1C,Human A38,34.73178629378047,5.207164361886128,0.0008076684696008,0.0280517686824008
Astrocyte,Human A1C,Human A40,39.16920635124392,5.872444730321428,0.0005665980286503,0.0221931951024119
Astrocyte,Human A1C,Human A43,52.79772319083366,7.915700628310893,0.0002743954162616,0.0144874532326145
Astrocyte,Human A1C,Human A44-A45,30.01164022650223,4.499496285832419,0.0003360400088261,0.0100851118466001
Astrocyte,Human A1C,Human A46,44.80889632655217,6.7179754612522,0.0004565424722496,0.0204571643077021
Astrocyte,Human A1C,Human ANC,157.8635256852656,23.6676950052872,0.0011249358901432,0.1775863457879138
Astrocyte,Human A1C,Human AON,47.68202499156702,7.1487293840430315,0.0004252977986513,0.0202790602641522
Astrocyte,Human A1C,Human BL,50.35540167293953,7.54953548319933,0.0011124677825921,0.0560187620406334
Astrocyte,Human A1C,Human BM,51.515009394441016,7.723389714308998,0.0010011537220647,0.0515744433974453
Astrocyte,Human A1C,Human BNST,86.77502583414595,13.009749000621582,0.0011777291877707,0.102197480694438
Astrocyte,Human A1C,Human CA1-3,46.69264681716232,7.000396824162267,0.0011313123371545,0.0528239673986536
Astrocyte,Human A1C,Human CA1C-CA3C,84.92773541395896,12.732793915136275,0.0006361372564019,0.05402569659867
Astrocyte,Human A1C,Human CA1R-CA2R,60.28285171870984,9.037908803404774,0.0006556742561863,0.0395259139614593
Astrocyte,Human A1C,Human CA1R-CA2R-CA3R,45.73296997251448,6.856517237258543,0.0013147380699963,0.0601268766768651
Astrocyte,Human A1C,Human CA1U,68.23267614957923,10.2297865291723,0.000788557382686,0.0538053805181774
Astrocyte,Human A1C,Human CA1U-CA2U-CA3U,44.38039599052933,6.653732532313243,0.0016322215505681,0.0724386387584891
Astrocyte,Human A1C,Human CA2U-CA3U,63.18551052915157,9.473090034355558,0.000732041277597,0.0462544018533802
Astrocyte,Human A1C,Human CA3R,94.28387985903652,14.135514221744605,0.0012003076569327,0.1131696629201332
Astrocyte,Human A1C,Human CA4C-DGC,70.37529528546328,10.551018783427779,0.0005593611039199,0.0393652028595694
Astrocyte,Human A1C,Human CBL,159.31738621204482,23.885665099257096,0.0018940421047221,0.3017538374998855
Astrocyte,Human A1C,Human CBV,148.80773061566117,22.31000459005415,0.0020290326194764,0.3019357394494374
Astrocyte,Human A1C,Human CEN,41.02822633777034,6.151158371479811,0.0022405992999945,0.0919278152124246
Astrocyte,Human A1C,Human CM,98.760445297985,14.806663462966267,0.0016135732571629,0.1593572133983335
Astrocyte,Human A1C,Human CM-Pf,123.08068537051167,18.452876367393056,0.0011406601001574,0.1403932269021769
Astrocyte,Human A1C,Human CMN,79.43996499916692,11.910039730010032,0.0008458279209171,0.0671925404329784
Astrocyte,Human A1C,Human CaB,73.1623213989642,10.96886377795565,0.0008725346498413,0.0638366604834219
Astrocyte,Human A1C,Human CbDN,130.2614801571777,19.529457294929188,0.0013448719901826,0.1751850160631247
Astrocyte,Human A1C,Human Cla,61.35371114243062,9.19845744264327,0.000675252651295,0.0414292561157168
Astrocyte,Human A1C,Human CoA,65.31039800763774,9.791663869211057,0.0012216956220454,0.0797894273199752
Astrocyte,Human A1C,Human DGR-CA4Rpy,77.38006041659618,11.601208458260297,0.0010640485133356,0.0823361382480993
Astrocyte,Human A1C,Human DGU-CA4Upy,73.60747150183535,11.035602923813396,0.0007409144394952,0.0545368384904483
Astrocyte,Human A1C,Human DTg,149.91535591983012,22.47606535529687,0.0012979315329022,0.1945798677146155
Astrocyte,Human A1C,Human ETH,119.82608525659292,17.964930323327273,0.0015720629338166,0.1883741471362385
Astrocyte,Human A1C,Human FI,44.65828279773049,6.695394722298425,0.0007864774421518,0.0351227320256511
Astrocyte,Human A1C,Human GPe,103.61831440155709,15.534979670398364,0.0011695030700695,0.1211819368080478
Astrocyte,Human A1C,Human GPi,113.06273734970628,16.9509351348885,0.0016987655185371,0.1920670796410996
Astrocyte,Human A1C,Human Gpe,76.97918730707455,11.541107542290039,0.0020027363948256,0.1541690200639763
Astrocyte,Human A1C,Human HTHma,77.33922561300615,11.595086298801522,0.0028967335366732,0.2240311285335306
Astrocyte,Human A1C,Human HTHma-HTHtub,81.30670518127845,12.189910821780877,0.0022558991652272,0.1834197283458271
Astrocyte,Human A1C,Human HTHpo,79.62157863573789,11.937268161280043,0.001210223633346,0.0963599161892902
Astrocyte,Human A1C,Human HTHpo-HTHso,135.68267879322983,20.34223070363266,0.0013093609479876,0.1776576009302107
Astrocyte,Human A1C,Human HTHso,73.98478589235242,11.092171797953887,0.0021251928638548,0.157231939012255
Astrocyte,Human A1C,Human HTHso-HTHtub,176.73189004080115,26.496535238500922,0.0009858065189905,0.1742234493157469
Astrocyte,Human A1C,Human HTHtub,83.73483317184125,12.5539480017753,0.0022852496679335,0.1913549997004244
Astrocyte,Human A1C,Human IC,168.7300390154883,25.29685742361144,0.0010321855456719,0.1741607073924559
Astrocyte,Human A1C,Human IO,108.05147086715486,16.199620819663398,0.0025369363684615,0.2741197061086448
Astrocyte,Human A1C,Human ITG,38.012112232920224,5.698967351262403,0.0005589534595831,0.0212470016386554
Astrocyte,Human A1C,Human Idg,44.90364095522116,6.7321800532565454,0.0004868773828476,0.0218625671886092
Astrocyte,Human A1C,Human Ig,47.69680034847769,7.150944579981663,0.0002762710651727,0.013177245837605
Astrocyte,Human A1C,Human LEC,49.42902179217887,7.410647944854404,0.0007253210742742,0.0358519111866281
Astrocyte,Human A1C,Human LG,195.70962160038863,29.341772353881353,0.0009272678311385,0.1814752363543477
Astrocyte,Human A1C,Human LP,151.17173136024172,22.664427490291114,0.0011945581577986,0.1805834249249172
Astrocyte,Human A1C,Human LP-VPL,99.4512616122966,14.9102341247821,0.0015242314026965,0.1515867359872484
Astrocyte,Human A1C,Human La,40.59987238010353,6.086937388321369,0.001560159535722,0.0633422780429167
Astrocyte,Human A1C,Human M1C,29.01035803375822,4.349379015555955,0.0004003793867892,0.0116151493600921
Astrocyte,Human A1C,Human MD,238.1344287321485,35.702313153245655,0.0007650989466765,0.1821964005903975
Astrocyte,Human A1C,Human MD-Re,111.6193360054228,16.734533134246295,0.0013754290640946,0.1535244788568074
Astrocyte,Human A1C,Human MEC,34.261550970737666,5.136664313453923,0.0008292975282186,0.0284130195329689
Astrocyte,Human A1C,Human MG,119.73152903638844,17.95075397846903,0.0012209386185963,0.1461848476641113
Astrocyte,Human A1C,Human MN,64.74401018078105,9.706748153040637,0.0042942447913498,0.2780266284899202
Astrocyte,Human A1C,Human MTG,36.63242889439812,5.492118275022206,0.0004683318501888,0.0171561332010238
Astrocyte,Human A1C,Human MoAN,158.5383659962432,23.768870464204376,0.0015505328404779,0.2458189429528861
Astrocyte,Human A1C,Human MoRF-MoEN,210.5713237526391,31.56991360609282,0.0009868805124949,0.2078087359017393
Astrocyte,Human A1C,Human MoSR,85.7763495465444,12.860022420771275,0.0031967467565154,0.2742052671986543
Astrocyte,Human A1C,Human NAC,56.03223634609321,8.400635134346807,0.0011308139337005,0.0633620335965663
Astrocyte,Human A1C,Human PAG,193.79582529256203,29.054846370698954,0.0009830180236042,0.1905047891618454
Astrocyte,Human A1C,Human PAG-DR,155.264121731597,23.277979270104495,0.0012146882670511,0.1885975069613772
Astrocyte,Human A1C,Human PB,183.32838606519684,27.485515152203423,0.0010689725098892,0.1959730049860625
Astrocyte,Human A1C,Human PN,146.36744449716562,21.944144602273706,0.0014390066937409,0.2106237323771795
Astrocyte,Human A1C,Human PTR,140.2779174554964,21.03117203230831,0.0011807613221619,0.1656347392848711
Astrocyte,Human A1C,Human Pir,54.242485212961576,8.132306628629921,0.0007708352281481,0.0418120184644558
Astrocyte,Human A1C,Human PnAN,188.0563867921773,28.19436083840739,0.0010549043764816,0.1983815054523951
Astrocyte,Human A1C,Human PnEN,153.91990738470903,23.076447883764473,0.0012848638983224,0.1977661322317412
Astrocyte,Human A1C,Human PnRF,184.4374189696321,27.65178695196883,0.0009753524116193,0.1798914813848779
Astrocyte,Human A1C,Human Pro,23.42612564886578,3.512162765946894,0.0002947442801807,0.0069047165417981
Astrocyte,Human A1C,Human Pu,74.0729052542988,11.105383096596523,0.0008243006045956,0.0610583405852723
Astrocyte,Human A1C,Human Pul,284.5796729924696,42.66561813980054,0.0005920746098634,0.16849239886208
Astrocyte,Human A1C,Human RN,108.50373767044373,16.26742693709801,0.0016407111039116,0.1780232872118171
Astrocyte,Human A1C,Human S1C,28.42352624305349,4.261398237339354,0.0002762129507019,0.0078509460529494
Astrocyte,Human A1C,Human SC,172.61167373759864,25.878811654812388,0.0010669832663299,0.1841737674512302
Astrocyte,Human A1C,Human SEP,52.14434123251936,7.817742313721044,0.0018388559455675,0.0958859319031218
Astrocyte,Human A1C,Human SI,89.04603121361724,13.350229567258957,0.0010722530927293,0.0954798823640781
Astrocyte,Human A1C,Human SN,193.46463830202904,29.00519314872999,0.000903229249143,0.1747429199892697
Astrocyte,Human A1C,Human SN-RN,165.93428501919152,24.877703900928264,0.0010598367235821,0.1758632489646848
Astrocyte,Human A1C,Human STG,36.41130343983279,5.45896603295844,0.0003537818275741,0.0128816574753005
Astrocyte,Human A1C,Human STH,147.54869123742344,22.121243064081476,0.0011869471082797,0.1751324923947287
Astrocyte,Human A1C,Human SpC,93.6574218484803,14.041592481031529,0.0031589341991,0.2958576328767005
Astrocyte,Human A1C,Human Sub,55.61415900364487,8.337954873110176,0.0007713447799636,0.0428976912395311
Astrocyte,Human A1C,Human TF,28.578237016409435,4.2845932558334985,0.0005824791277859,0.0166462265709789
Astrocyte,Human A1C,Human TH-TL,42.095834046421245,6.311219497214579,0.0008537332662992,0.0359386138980412
Astrocyte,Human A1C,Human V1C,51.39193070290078,7.7049371368666835,0.000373884053412,0.0192146233638701
Astrocyte,Human A1C,Human V2,41.11651007366759,6.164394313893192,0.0003674105864811,0.0151066410802257
Astrocyte,Human A1C,Human VA,82.85687976839529,12.422320804856865,0.0009283947770031,0.0769238944157523
Astrocyte,Human A1C,Human VLN,205.3406185676337,30.785699935177465,0.0007978023064435,0.1638212190997995
Astrocyte,Human A1C,Human VPL,61.87002559322452,9.275865906030663,0.0026472013854924,0.1637824174708393
Astrocyte,Human A5-A7,Human A13,21.874480005297432,3.2795322346772764,0.0005278491696409,0.0115464261071246
Astrocyte,Human A5-A7,Human A14,40.12694651597406,6.016033960415902,0.0004992326417741,0.0200326815154981
Astrocyte,Human A5-A7,Human A19,21.37539624658512,3.2047070834460447,0.0002481054254452,0.0053033517798205
Astrocyte,Human A5-A7,Human A23,13.07351065931879,1.9600465756100136,0.0004122924971968,0.0053901103568603
Astrocyte,Human A5-A7,Human A24,56.37427903366827,8.45191589710169,0.0005040771591841,0.0284169864263455
Astrocyte,Human A5-A7,Human A25,68.86594526305737,10.324729424746232,0.0003238279360398,0.0223007169179715
Astrocyte,Human A5-A7,Human A29-A30,23.30084169306268,3.4933795641773133,0.0021467265706608,0.0500205359812594
Astrocyte,Human A5-A7,Human A32,40.36269802494463,6.051379014234577,0.0003180987680846,0.0128393245183076
Astrocyte,Human A5-A7,Human A35-36,22.534543095840878,3.3784922182669983,0.0026339453805942,0.0593547556910932
Astrocyte,Human A5-A7,Human A35-A36,68.22464355403707,10.228582241984569,0.0004892793864093,0.0333809117361166
Astrocyte,Human A5-A7,Human A35r,57.6299941140714,8.640179027596911,0.0008342241190903,0.0480763310729947
Astrocyte,Human A5-A7,Human A38,37.681519098759615,5.649403163232326,0.0005156980901279,0.0194322874323488
Astrocyte,Human A5-A7,Human A40,16.86577519190247,2.528601977796472,0.0002839381317049,0.0047888366977439
Astrocyte,Human A5-A7,Human A43,13.103522364988676,1.9645460817074476,0.0003463843673149,0.0045388553039935
Astrocyte,Human A5-A7,Human A44-A45,41.96713992085701,6.291925025615743,0.0003057542200817,0.0128316301355639
Astrocyte,Human A5-A7,Human A46,25.662306555435,3.8474222721791604,0.0002267659987601,0.0058193385765317
Astrocyte,Human A5-A7,Human ANC,221.64854177317812,33.230665933010215,0.0009146197477275,0.2027241333607705
Astrocyte,Human A5-A7,Human AON,56.73782118636976,8.506419967971478,0.0004123037213417,0.0233932148159615
Astrocyte,Human A5-A7,Human BL,109.68960243703852,16.44521775667744,0.000688054058437,0.0754723761251492
Astrocyte,Human A5-A7,Human BM,102.70021651800728,15.397333810795695,0.0005544145765031,0.0569384970476177
Astrocyte,Human A5-A7,Human BNST,162.8824609422353,24.420159061804394,0.0008786275242783,0.1431130134060398
Astrocyte,Human A5-A7,Human CA1-3,66.27486874367527,9.93626218046106,0.0011640669125586,0.0771483818386819
Astrocyte,Human A5-A7,Human CA1C-CA3C,118.19671608940745,17.720647089866183,0.0007177200803826,0.0848321565726575
Astrocyte,Human A5-A7,Human CA1R-CA2R,128.99884951064365,19.340157347922588,0.0005389635567692,0.0695256787513915
Astrocyte,Human A5-A7,Human CA1R-CA2R-CA3R,45.13064690758604,6.766213929173319,0.0020009090435017,0.0903023195364712
Astrocyte,Human A5-A7,Human CA1U,138.43149290644027,20.75434676258475,0.0005861784250599,0.0811455544905991
Astrocyte,Human A5-A7,Human CA1U-CA2U-CA3U,49.57408242091517,7.432396165054748,0.0021034034571457,0.1042742963489806
Astrocyte,Human A5-A7,Human CA2U-CA3U,80.9611260784985,12.138099861843852,0.0008804835611385,0.071284940603381
Astrocyte,Human A5-A7,Human CA3R,165.36099105925524,24.79175278249704,0.000911306632615,0.1506945679280925
Astrocyte,Human A5-A7,Human CA4C-DGC,136.27250878271067,20.430660986913146,0.0006408423957649,0.0873292010052191
Astrocyte,Human A5-A7,Human CBL,166.34803689293645,24.939735666107413,0.0019742741583307,0.3284166305267826
Astrocyte,Human A5-A7,Human CBV,139.95606106411412,20.982917700766734,0.0023424897886796,0.3278456439065137
Astrocyte,Human A5-A7,Human CEN,71.70637249639103,10.75058058416657,0.0014164633963906,0.101569451929092
Astrocyte,Human A5-A7,Human CM,172.98693735474225,25.935073066678,0.0013010474409017,0.2250642121548225
Astrocyte,Human A5-A7,Human CM-Pf,225.59993687635597,33.823078991957416,0.0009728868586154,0.2194832138914737
Astrocyte,Human A5-A7,Human CMN,168.83268831978424,25.312247124405435,0.0005097780223706,0.086067193963187
Astrocyte,Human A5-A7,Human CaB,135.9725488731108,20.38568948622351,0.0006348099712298,0.0863167298381911
Astrocyte,Human A5-A7,Human CbDN,155.69051736967404,23.341906652125044,0.0016357224713609,0.2546664778393923
Astrocyte,Human A5-A7,Human Cla,140.07486475453692,21.000729348506283,0.0005024518573634,0.0703808759658502
Astrocyte,Human A5-A7,Human CoA,104.92878701151317,15.731452325564193,0.000702386860617,0.073700601297371
Astrocyte,Human A5-A7,Human DGR-CA4Rpy,121.21928925093889,18.173806484398632,0.0007299222196539,0.0884806526749205
Astrocyte,Human A5-A7,Human DGU-CA4Upy,162.20518137189703,24.318617896836138,0.0005589642034754,0.0906668900051284
Astrocyte,Human A5-A7,Human DTg,174.88757678621687,26.22002650468019,0.0013172918594995,0.2303779812280776
Astrocyte,Human A5-A7,Human ETH,132.42938886923142,19.854481089839794,0.0017409819704911,0.230557178384497
Astrocyte,Human A5-A7,Human FI,86.25953497877019,12.932464014808124,0.0004102283782635,0.0353861091441061
Astrocyte,Human A5-A7,Human GPe,118.320207336936,17.73916151978051,0.0013204254033815,0.1562330075010605
Astrocyte,Human A5-A7,Human GPi,123.8825164694,18.573090924947525,0.0018120464795433,0.2244808778453472
Astrocyte,Human A5-A7,Human Gpe,100.56018513127673,15.076489524929045,0.0017214657999788,0.1731109195430327
Astrocyte,Human A5-A7,Human HTHma,100.07644975480964,15.003965480481206,0.0026311893250529,0.2633200862840579
Astrocyte,Human A5-A7,Human HTHma-HTHtub,73.46711788008172,11.014560401811352,0.0029492712596197,0.2166744592908177
Astrocyte,Human A5-A7,Human HTHpo,116.62777840977274,17.485424049441193,0.0010690605329728,0.1246821549461913
Astrocyte,Human A5-A7,Human HTHpo-HTHso,113.78194554659947,17.05876245076454,0.0019437019608211,0.2211581906649711
Astrocyte,Human A5-A7,Human HTHso,85.02853742801368,12.747906660871616,0.0016801947969664,0.1428645061802152
Astrocyte,Human A5-A7,Human HTHso-HTHtub,146.24338250478513,21.92554460341606,0.001343198358403,0.1964338713077309
Astrocyte,Human A5-A7,Human HTHtub,103.03958511694876,15.448213660711957,0.0018037273302431,0.1858553157723509
Astrocyte,Human A5-A7,Human IC,250.1593974844621,37.50515704414724,0.0008082694391781,0.2021961959098992
Astrocyte,Human A5-A7,Human IO,129.8783018154225,19.472009267679535,0.0024270443213626,0.3152203948893444
Astrocyte,Human A5-A7,Human ITG,33.11352338297862,4.964546234329628,0.0002764443368794,0.009154046013348
Astrocyte,Human A5-A7,Human Idg,47.32061216697061,7.094544552769207,0.0003424172545088,0.0162033940998911
Astrocyte,Human A5-A7,Human Ig,17.05480687689101,2.5569425602535247,0.0003143232227096,0.0053607218602346
Astrocyte,Human A5-A7,Human LEC,82.87018096400624,12.424314987107381,0.0004663879717989,0.0386496556224169
Astrocyte,Human A5-A7,Human LG,200.84092042398865,30.111082522337128,0.0010149013794393,0.2038337271861795
Astrocyte,Human A5-A7,Human LP,159.14397657172174,23.859666652432043,0.0012027904542819,0.1914168558769314
Astrocyte,Human A5-A7,Human LP-VPL,149.17602992886452,22.365221878390482,0.0014404216315018,0.2148763804111093
Astrocyte,Human A5-A7,Human La,81.26472528397653,12.183616984104427,0.0011702330151983,0.0950986644983325
Astrocyte,Human A5-A7,Human M1C,31.24942105221246,4.685070622520609,0.0008711648652748,0.0272233976808678
Astrocyte,Human A5-A7,Human MD,203.1258125209252,30.453645055610973,0.0009678690008958,0.1965991772207767
Astrocyte,Human A5-A7,Human MD-Re,218.6031905479328,32.77409153642171,0.0009999403575829,0.2185901525252814
Astrocyte,Human A5-A7,Human MEC,53.06483515194667,7.955747399092454,0.0006508880070944,0.0345392647988449
Astrocyte,Human A5-A7,Human MG,100.66322871482178,15.091938338054241,0.0018783170718975,0.189077461007375
Astrocyte,Human A5-A7,Human MN,94.37346693666116,14.148945567715316,0.0033199686124536,0.3133169480781517
Astrocyte,Human A5-A7,Human MTG,28.289274696446046,4.241270569182316,0.0003274984377478,0.0092646932681049
Astrocyte,Human A5-A7,Human MoAN,173.91861998541853,26.07475562000278,0.0016223661056883,0.2821596742124339
Astrocyte,Human A5-A7,Human MoRF-MoEN,206.39276105122997,30.943442436466263,0.0011823487985452,0.2440282330573531
Astrocyte,Human A5-A7,Human MoSR,106.65284604091408,15.989931940167029,0.0028745140478732,0.3065751041902738
Astrocyte,Human A5-A7,Human NAC,108.9119583210911,16.32862943344694,0.0008416304775146,0.0916636234888404
Astrocyte,Human A5-A7,Human PAG,229.06203786131212,34.34213461189087,0.000971107209477,0.2224437963846336
Astrocyte,Human A5-A7,Human PAG-DR,232.6296915426556,34.877015223786444,0.0008945973701253,0.2081099102671343
Astrocyte,Human A5-A7,Human PB,247.64817248765016,37.128661542376335,0.000932134359235,0.2308413705775089
Astrocyte,Human A5-A7,Human PN,179.48078178185247,26.908662935809964,0.0013719028052811,0.2462301880205766
Astrocyte,Human A5-A7,Human PTR,181.4000499462502,27.196409287293882,0.0010885049597009,0.1974548540565018
Astrocyte,Human A5-A7,Human Pir,143.46190737598732,21.50853184047786,0.0003875583305614,0.0555998573217969
Astrocyte,Human A5-A7,Human PnAN,177.0967804170831,26.551241441841544,0.0013508742970852,0.2392354887619791
Astrocyte,Human A5-A7,Human PnEN,157.91608230261707,23.675574558113503,0.0015078562172252,0.2381147464998525
Astrocyte,Human A5-A7,Human PnRF,198.69803844285573,29.78981086099786,0.0011035438857382,0.2192720054317993
Astrocyte,Human A5-A7,Human Pro,37.33394359210915,5.597292892370188,0.0003580480037525,0.0133673439753648
Astrocyte,Human A5-A7,Human Pu,95.80412207725112,14.363436593291024,0.00059791109728,0.0572823477551652
Astrocyte,Human A5-A7,Human Pul,263.22830701070586,39.46451379470852,0.0007349007072635,0.1934466689939488
Astrocyte,Human A5-A7,Human RN,136.72607961979122,20.49866261166285,0.0015551247952585,0.2126261165752279
Astrocyte,Human A5-A7,Human S1C,32.07369488473871,4.808649907756927,0.0005871484073637,0.0188320188698458
Astrocyte,Human A5-A7,Human SC,210.46110093005169,31.553388445285112,0.0010542011440633,0.221868333381283
Astrocyte,Human A5-A7,Human SEP,111.98586818190286,16.789485484543157,0.0012478598765378,0.1397426716434481
Astrocyte,Human A5-A7,Human SI,138.7566005526073,20.803088538621783,0.0006240541407413,0.0865916311300548
Astrocyte,Human A5-A7,Human SN,239.17733008525823,35.858670177699885,0.0008934093085813,0.2136832530998041
