quantity,estimate,CI_low,CI_high
gradient_fold (max/min class mean ω),6.1,5.55,9.63
"grand mean ω (all 31,764 pairs)",38.55,36.35,40.73
Strong 候选计数,39.0,12.0,74.0
Moderate 计数,1171.0,904.0,1395.2
Weak 计数,5381.0,4824.9,5766.0
类级 mean ω: Astrocyte,82.75,75.66,89.53
类级 mean ω: Bergmann glia,13.56,8.49,19.52
类级 mean ω: Choroid plexus,37.76,25.91,57.34
类级 mean ω: Committed oligodendrocyte precursor,28.84,25.14,32.65
类级 mean ω: Ependymal,22.98,19.67,26.62
类级 mean ω: Fibroblast,18.18,15.84,20.76
类级 mean ω: Microglia,24.31,21.8,26.87
类级 mean ω: Oligodendrocyte,37.05,34.31,39.88
类级 mean ω: Oligodendrocyte precursor,40.62,37.02,44.21
类级 mean ω: Vascular,13.56,12.39,14.79
