family,alpha,m,R_obs,Vbar_null,Vmax_null,FDR_emp,BH_ref(m*alpha/R)
all,0.001,31764,54,31.8,162,0.588,0.588
all,0.005,31764,276,158.8,565,0.575,0.575
all,0.01,31764,524,317.6,756,0.606,0.606
all,0.05,31764,1960,1588.2,2138,0.81,0.81
all,0.1,31764,3390,3176.4,3907,0.937,0.937
Strong,0.001,39,8,0.0,3,0.005,0.005
Strong,0.005,39,12,0.2,3,0.016,0.016
Strong,0.01,39,18,0.4,3,0.022,0.022
Strong,0.05,39,31,1.9,9,0.063,0.063
Strong,0.1,39,36,3.9,13,0.108,0.108
Moderate,0.001,1171,20,1.2,24,0.059,0.059
Moderate,0.005,1171,94,5.9,33,0.062,0.062
Moderate,0.01,1171,155,11.7,37,0.076,0.076
Moderate,0.05,1171,417,58.5,114,0.14,0.14
Moderate,0.1,1171,583,117.1,191,0.201,0.201
Weak,0.001,5381,21,5.4,38,0.256,0.256
Weak,0.005,5381,130,26.9,105,0.207,0.207
Weak,0.01,5381,242,53.8,145,0.222,0.222
Weak,0.05,5381,909,269.1,401,0.296,0.296
Weak,0.1,5381,1483,538.1,713,0.363,0.363
