,Live|NK cell,Live|hepatocyte,Live|Kupffer cell,Live|liver sinusoid EC,Live|B cell,Kidn|kidney collectin..,Kidn|kidney tubule cell,Kidn|endothelial cell,Kidn|fenestrated cell,Kidn|leukocyte,Kidn|fibroblast,Sple|T cell,Sple|B cell,Sple|myeloid cell,Lung|endothelial cell,Lung|stromal cell,Lung|type II pneumocyte,Lung|B cell,Lung|leukocyte,Lung|monocyte,Lung|dendritic cell,Lung|T cell,Lung|NK cell,Lung|macrophage,Hear|fibroblast,Hear|endothelial cell,Hear|smooth muscle cell,Hear|endocardial cell,Hear|leukocyte,Hear|cardiac muscle,Marr|B cell,Marr|Fraction A pre-p..,Marr|granulocyte,Marr|hematopoietic st..,Marr|monocyte,Marr|T cell,Marr|NK cell,Marr|neutrophil
Live|NK cell,0.0,0.3807175692121557,0.3443272523697347,0.3487563042936216,0.34155269886942785,0.5333650814835036,0.507074395304874,0.49779774170043734,0.5052591075969962,0.45160764231302075,0.44962851734848663,0.19092802999777794,0.4274217547846879,0.3921207783251906,0.47125229509274624,0.5112743080332662,0.5257025673422728,0.4366704993708246,0.4950122203885031,0.4398306768910734,0.4309715992193852,0.24776041585584507,0.23822570704534723,0.40359127531031536,0.5050460389007683,0.48521832055090997,0.49529607171012513,0.4668881314482991,0.39744021397781093,0.5281010848987882,0.3937118631689648,0.37330404785426724,0.49071340965378285,0.3550528653976933,0.4183629731222719,0.18733073925215338,0.14398441463384842,0.4822352445300943
Live|hepatocyte,0.3807175692121557,0.0,0.28053700387618036,0.3820198579129843,0.30957974205535865,0.5199640441511152,0.4289077569105496,0.5674519683097181,0.5768377153678004,0.5468843383518904,0.4207350790597909,0.5697693465468214,0.5542093415584893,0.5521129804833321,0.5473824248976821,0.50805142827179,0.5098849996726029,0.5581415760311744,0.5446908323104657,0.5215114061215542,0.5348762097878653,0.5707890639282706,0.5829646945037265,0.5329710268471941,0.5146064549283458,0.5509522764258665,0.5467277455499668,0.517757926963266,0.525147405669363,0.5467371423314709,0.5303410442622255,0.5540198268086822,0.5334066948510883,0.5129308162724283,0.529799193192547,0.5493857437328737,0.5262890245204579,0.5276473716263219
Live|Kupffer cell,0.3443272523697347,0.28053700387618036,0.0,0.3513228678347443,0.30667928877258366,0.5335685771461861,0.5099623932654953,0.5303342350810336,0.5357040239956189,0.27470137205465917,0.45606425665154926,0.5151418898613542,0.46783699178067206,0.2810373101485736,0.4848601684665904,0.4953740397770827,0.5101337342114447,0.46792550767856644,0.4335001181460516,0.29204928526600415,0.3227398714145584,0.48662962017394984,0.5054114683863236,0.3387346307499899,0.5015723195710392,0.5176530384548736,0.5216122695663179,0.49299854943178245,0.23042188802642863,0.5391183282257603,0.4484101572285613,0.43978440318230105,0.4248905739906611,0.45042494459889826,0.30819554762062107,0.4835622410762266,0.4689223487600631,0.46157217974510323
Live|liver sinusoid EC,0.3487563042936216,0.3820198579129843,0.3513228678347443,0.0,0.4055934233942377,0.5348471248777192,0.49053785570204556,0.31067940165219865,0.297712355055026,0.4660603236971075,0.4548152647724553,0.5159165300464179,0.4961151740435581,0.4738302823237476,0.2832873103340719,0.4648634389451785,0.512035121799636,0.5030979587390458,0.5451410476996106,0.4898222240000171,0.46723012034602646,0.45878137045045886,0.5306374029049158,0.4488133814613189,0.46527136956123527,0.2701979692586639,0.4369213466884807,0.31898065781975704,0.43774792649744315,0.4840733207397099,0.4671211234923867,0.5023756535115266,0.5459606216483,0.4328811053607136,0.49274803330036,0.4935918408544986,0.49058787093825873,0.5343777506522984
Live|B cell,0.34155269886942785,0.30957974205535865,0.30667928877258366,0.4055934233942377,0.0,0.513898229445586,0.4969271904422952,0.5266786446475914,0.5425720428769502,0.4186314214016801,0.42798270597853,0.4134973849597593,0.1678332703318417,0.3675403934004031,0.4905775430542245,0.5082011757075553,0.49894587262993056,0.1894319731238878,0.4996011488605232,0.4339173270654949,0.416611001189173,0.4174867200240916,0.4795625709342333,0.3725265848713216,0.5016287150329795,0.5147484035754737,0.48953804687878166,0.4883344540702743,0.4101442962324858,0.521957533810073,0.21067701931546842,0.38938285856920163,0.512302989688213,0.4264539989116071,0.41459846306377623,0.3784328313162436,0.4182626986806641,0.5042909497466853
Kidn|kidney collectin..,0.5333650814835036,0.5199640441511152,0.5335685771461861,0.5348471248777192,0.513898229445586,0.0,0.31007505109531985,0.5090194251934275,0.5312448355859505,0.5549061941108361,0.3757689421606123,0.5292447153638069,0.5298151593039107,0.5255131891041905,0.5382636604333992,0.5177851183034692,0.4758922234138124,0.5307183467935894,0.5731444791618667,0.5431538990977212,0.5293699195646756,0.5373878795033157,0.5591594984628125,0.5207094289080938,0.5080309152488514,0.5453142397846702,0.5304429753115092,0.5218443733022382,0.5449206690635093,0.47213597672943275,0.49956627053422553,0.4918625380926177,0.5826194105411595,0.5060250323980873,0.5568066628228958,0.5280293144309749,0.5385105012121252,0.5643212570002436
Kidn|kidney tubule cell,0.507074395304874,0.4289077569105496,0.5099623932654953,0.49053785570204556,0.4969271904422952,0.31007505109531985,0.0,0.4993120818529481,0.5144996873586107,0.5325546757718115,0.12267732564777911,0.5127773546790299,0.5105052273619092,0.5338082737014087,0.49785371739004414,0.46255731076019446,0.4614296303764921,0.5121181221852282,0.5735194366232388,0.528597389261596,0.5133115264989612,0.524279685444162,0.54565356721564,0.5017392672621722,0.4689495509842706,0.4991228340210381,0.5013874264104947,0.4937482987520756,0.5201412133840428,0.4767713652518619,0.479982775210722,0.4918470338014511,0.5768224229843768,0.4538707665433228,0.537507423656516,0.5022543796315071,0.518821181724964,0.559203531620657
Kidn|endothelial cell,0.49779774170043734,0.5674519683097181,0.5303342350810336,0.31067940165219865,0.5266786446475914,0.5090194251934275,0.4993120818529481,0.0,0.11623938044111615,0.4989882014009174,0.4643397899035371,0.5060493691349095,0.5071349079416629,0.509199228792871,0.2391166249533343,0.42754024406957863,0.4948030544772047,0.5170532251419255,0.5405406763815659,0.5118866596515723,0.4728968130624657,0.44925559359120426,0.5279774516891513,0.4845795154021004,0.4358453449855296,0.18595892554976243,0.4211225836011243,0.3032158282968366,0.4875587962063379,0.479775416089259,0.4815470022031799,0.5026903906743064,0.5635080699431769,0.4494102822347814,0.5151316764158571,0.5044267877919242,0.5217363398995692,0.5565136771632404
Kidn|fenestrated cell,0.5052591075969962,0.5768377153678004,0.5357040239956189,0.297712355055026,0.5425720428769502,0.5312448355859505,0.5144996873586107,0.11623938044111615,0.0,0.5185345980553986,0.49257416448093905,0.5226267547571807,0.518239395269931,0.5187897996885591,0.2585024708134227,0.46630986321605905,0.5133358884742929,0.5355663834858294,0.5678300791359301,0.5276848931446467,0.49006452037970155,0.46327670676668115,0.5449000933729253,0.4991661825203891,0.4761451320591659,0.1742906305483157,0.44918512026418034,0.30456811004395223,0.5033091840586438,0.495834104816193,0.4971249167265281,0.5135957436720472,0.5808025166646422,0.46514475834140273,0.5227695099615635,0.516895304933114,0.5349024136225102,0.5703414212082408
Kidn|leukocyte,0.45160764231302075,0.5468843383518904,0.27470137205465917,0.4660603236971075,0.4186314214016801,0.5549061941108361,0.5325546757718115,0.4989882014009174,0.5185345980553986,0.0,0.4748823995827419,0.48573937229747577,0.41165526057339996,0.23675242901332275,0.4819715210846315,0.5123996356714622,0.5044594364854841,0.41918956238564226,0.34397793420101386,0.20926086196098487,0.23014731085519957,0.45678693592400527,0.48141159504954945,0.2153744161013837,0.49989826239337987,0.5136785748497481,0.5171067803377172,0.5018479524330641,0.11287728828521329,0.5483922421913895,0.4012655135200598,0.40212354093942904,0.3850437503245485,0.40047221506722536,0.2636133583786291,0.44106986518378394,0.45997515690426527,0.4431470557657662
