,Live|NK cell,Live|hepatocyte,Live|Kupffer cell,Live|liver sinusoid EC,Live|B cell,Kidn|kidney collectin..,Kidn|kidney tubule cell,Kidn|endothelial cell,Kidn|fenestrated cell,Kidn|leukocyte,Kidn|fibroblast,Sple|T cell,Sple|B cell,Sple|myeloid cell,Lung|endothelial cell,Lung|stromal cell,Lung|type II pneumocyte,Lung|B cell,Lung|leukocyte,Lung|monocyte,Lung|dendritic cell,Lung|T cell,Lung|NK cell,Lung|macrophage,Hear|fibroblast,Hear|endothelial cell,Hear|smooth muscle cell,Hear|endocardial cell,Hear|leukocyte,Hear|cardiac muscle,Marr|B cell,Marr|Fraction A pre-p..,Marr|granulocyte,Marr|hematopoietic st..,Marr|monocyte,Marr|T cell,Marr|NK cell,Marr|neutrophil
Live|NK cell,0.0,6.249471758903612,7.382902538887568,7.600467646108567,5.791869341355862,3.139070763533941,6.906728778132736,4.77727325866478,7.599444841806613,6.9891505793876085,4.647021603232721,7.161633200767325,12.802677446309255,4.972568182555452,8.394806921212394,9.648906490302075,11.524810931953533,9.65009334987833,2.6255022627376903,8.185872164534581,6.990845204046167,3.2481480087261,3.3587691860456697,11.145435438632626,11.658035703155738,12.084532450860909,11.512327264219545,10.54480746011086,11.663525005312785,6.866019512261152,13.858781399171646,8.91539925039726,4.255864723809827,11.987606283166574,11.890217033327358,7.4352047134401635,6.1183014210258255,8.28162631511434
Live|hepatocyte,6.249471758903612,0.0,5.402532914873277,7.323832819651848,3.397468406436188,3.586955546206526,11.377012065671916,4.716551091632921,7.385496461926591,6.862620869798982,4.921816484652346,9.090969969819849,8.811318598467224,5.989751732578068,8.675437986592717,9.853009926952012,11.635284211949694,7.606537892573184,2.61305714557721,8.40053262837155,6.596095780496727,5.554324788075803,5.801920251360248,10.41380667479714,12.697373455806062,11.547377256411762,11.128177971703172,10.454369034975896,12.781884667071456,12.676685104770895,8.883831555042521,9.086937785569562,4.136563578633008,10.402446353625228,11.066852340442658,9.43634833528714,9.247065572723075,6.776016931316075
Live|Kupffer cell,7.382902538887568,5.402532914873277,0.0,8.84465811952878,4.1590633211328925,3.3643829371428753,8.289550869825403,5.213950891047323,7.6164301699775585,4.861514386074524,5.317235859611224,10.159852126643223,9.49798319153851,3.80324869917278,8.283308771439808,9.499519326072628,10.368888514419766,8.026537651364938,2.4684923392549485,6.610322115493843,5.9338689633629444,5.358757636498273,6.002463302722479,9.702460908244483,11.055483280148833,12.049227149780195,10.435932571321061,9.954363270860492,7.779701861933757,6.939096918990296,10.220622636828592,9.80807054191283,4.111672883501543,8.78917152391197,9.074548855301705,10.25038727899051,10.36700425776477,8.113262265419564
Live|liver sinusoid EC,7.600467646108567,7.323832819651848,8.84465811952878,0.0,5.80012008230997,3.1897265224508,8.648907722090687,3.804456400931348,7.0717852893134605,8.626875052317066,5.812839431461475,10.660014557410678,12.168629717570807,6.468823246554109,6.4879128227235014,19.11397463213099,16.187236661463068,8.310152234441524,3.03678394679842,9.864462145982024,8.792665379178148,4.922324990627904,6.040507450327572,13.392652055451316,16.92068709351193,11.654546030157983,16.604372560966894,10.94869944750997,15.649014005840925,7.207121443283981,11.945271735035986,13.891015789126865,5.568812969954821,9.114737283861238,12.886591202502347,13.517501998844528,11.254924858823797,10.821858351083607
Live|B cell,5.791869341355862,3.397468406436188,4.1590633211328925,5.80012008230997,0.0,2.727831601309518,5.043717692041554,4.328546397265394,5.9234005270839845,4.789899597048139,3.881038606135124,7.675344798144919,3.97910035949289,4.025443398215298,5.907226598020832,6.473564559628954,6.834689740314023,3.3324257742296624,2.5533358989092485,5.8028349483062795,5.488599878817382,4.29663645883922,4.973042337808147,6.280761391587155,6.83315095213937,7.905096140289225,7.155950951522623,6.693752215894618,7.04213268323843,5.0352635655121265,5.092916406172452,6.696633931300229,4.167195607035044,6.5987781880465235,6.973276662979569,7.2999482010438115,7.672422716635499,6.427420355561548
Kidn|kidney collectin..,3.139070763533941,3.586955546206526,3.3643829371428753,3.1897265224508,2.727831601309518,0.0,2.2914881712078565,2.69706345391819,2.9397514746637268,2.872389664507959,2.099162316981565,3.2435472670629717,3.1135091543987765,2.7399500447837863,3.4995676356092984,3.00098806851621,3.162229069903192,3.1178616302808315,2.163414613869537,3.440927815471891,3.0004497437978594,3.0527736459435695,3.138124300649503,3.211892678506821,3.338476534316771,3.5930277256187897,3.319282954181575,3.3858519656219084,3.6605001136798956,3.2206377074183243,3.0274479596382533,2.896558828871814,2.8271736202002073,3.1042356260093404,3.773878696785256,3.0985176580777423,3.373067453200467,3.2268911802768976
Kidn|kidney tubule cell,6.906728778132736,11.377012065671916,8.289550869825403,8.648907722090687,5.043717692041554,2.2914881712078565,0.0,4.321793667491441,6.477360303312014,6.062558338963558,1.691516754385192,6.838801085897953,7.271672258670501,5.350304960641022,7.0238399873100335,7.728358019989589,9.235597817111879,6.120905295508169,2.7247710059342647,7.22724032965449,6.341181198743559,4.66271820250582,5.042321435434829,8.297942112168686,8.79511927852975,8.945752744371326,9.301063554543061,8.529514980141657,10.073841020192488,9.440455823183498,7.049907774280485,7.225316114174245,4.551483090577195,7.096077780437649,9.252859947614821,7.6022592151556205,7.466961798169659,7.12828800147952
Kidn|endothelial cell,4.77727325866478,4.716551091632921,5.213950891047323,3.804456400931348,4.328546397265394,2.69706345391819,4.321793667491441,0.0,1.3042661822969073,4.573036563191582,3.7616210671948793,5.370041516864257,5.391962076791135,4.143089370804142,2.9236219704697644,4.908270642173112,5.424437590945069,4.938275793696882,2.6313319103988344,5.144994389992427,4.525444425194212,3.6935590150390873,4.35728893867449,5.435243994055861,5.365916455335333,2.651192336605755,5.059927363683428,3.6694740415146176,5.893559612269954,3.7232404068428817,5.088430533806753,5.274778002167299,3.751371061578779,4.1966135895851195,5.913817913884528,5.304485950795644,5.458193910967143,4.982649937694856
Kidn|fenestrated cell,7.599444841806613,7.385496461926591,7.6164301699775585,7.0717852893134605,5.9234005270839845,2.9397514746637268,6.477360303312014,1.3042661822969073,0.0,6.846491582491082,4.734069497260909,7.902861218584752,9.088166236899376,5.672576606424209,3.8604927637975743,9.831274881951947,9.724116314376397,6.902644749479999,2.9441161786175223,7.162150261882312,6.6033173459799945,4.168057983194487,5.142028669432113,8.696827154213286,9.964552824957535,4.375269168626216,10.349559858914695,6.237881338439095,9.852423867717727,5.670380273866639,8.52109030391271,8.411369422707807,4.8155209800336,7.1085584921805465,8.327474674891478,9.809517000325759,8.471253205779451,7.661318657843027
Kidn|leukocyte,6.9891505793876085,6.862620869798982,4.861514386074524,8.626875052317066,4.789899597048139,2.872389664507959,6.062558338963558,4.573036563191582,6.846491582491082,0.0,4.706500274653161,7.433114891978623,7.486973434570683,2.8371817838833624,5.519693802338501,9.055442625210148,7.614775623799264,5.63601309557453,1.8177401226452496,3.136117546740774,3.5450559849183447,3.9603088230738694,4.390988203506115,4.540499890973577,8.18419471628331,8.584471800119383,8.768626944520184,7.906869547766435,2.467079837474512,5.360116764628479,7.044853377049975,7.559152932213074,3.328216610710827,6.148056409567566,4.514719203743603,8.179924727358854,7.149974091375347,6.243737797932484
Kidn|fibroblast,4.647021603232721,4.921816484652346,5.317235859611224,5.812839431461475,3.881038606135124,2.099162316981565,1.691516754385192,3.7616210671948793,4.734069497260909,4.706500274653161,0.0,4.553042649190668,5.463018328953694,4.127693073392305,4.348921391740549,4.828033361103321,5.78830534975994,4.486701124737283,2.455049797022798,5.0115630657327594,4.7240058444610735,3.341158679974419,3.5025497583781973,5.711641707243786,4.8666293916285905,5.681950748723103,5.776523882311574,5.089809959272847,5.9726311711145925,4.726004704289373,5.0436066510831195,5.278420972847241,3.7904769735087442,4.8266681415907176,5.726193957272749,5.497285950645414,5.023974068355964,5.557982015367732
Sple|T cell,7.161633200767325,9.090969969819849,10.159852126643223,10.660014557410678,7.675344798144919,3.2435472670629717,6.838801085897953,5.370041516864257,7.902861218584752,7.433114891978623,4.553042649190668,0.0,12.01270989135507,5.531552271470872,11.242396856582117,9.688672898219282,11.575584657477359,9.992884032238482,2.686746588627413,9.918045023631706,6.851806575869229,2.4642718476600254,3.2852027860383664,12.546770310614864,13.277413851592575,15.237976246058334,12.183535486906393,13.632710021928132,15.183428569009552,6.91533238634006,12.637366035363884,6.884667285860931,4.564486830076279,13.375626942523285,15.12063098296918,3.780694856210611,7.184601745393157,8.292059117284685
Sple|B cell,12.802677446309255,8.811318598467224,9.49798319153851,12.168629717570807,3.97910035949289,3.1135091543987765,7.271672258670501,5.391962076791135,9.088166236899376,7.486973434570683,5.463018328953694,12.01270989135507,0.0,5.471597646396982,7.245147148836711,12.747766588070611,11.667913015092402,2.0738299348226468,2.7852801660206676,7.990882279963158,8.067387487886675,4.393487198941483,5.221969673406371,11.945586023531268,11.79660832704054,13.353949181176542,14.358439053679662,10.731479101836323,12.822326676549023,6.955213762437195,8.286164359313485,11.368198214986952,5.275029309693643,12.850738733272792,11.598670593430906,19.940769867639197,13.569228155521458,10.752778129791613
Sple|myeloid cell,4.972568182555452,5.989751732578068,3.80324869917278,6.468823246554109,4.025443398215298,2.7399500447837863,5.350304960641022,4.143089370804142,5.672576606424209,2.8371817838833624,4.127693073392305,5.531552271470872,5.471597646396982,0.0,5.19839260677212,6.311979715255613,6.357555525769294,4.198099956587274,2.052298207317599,2.8634709033479218,2.738289162214595,3.3536162641049465,3.7069565623658502,3.345030559551023,6.343916125497988,7.024088353725226,7.228221326730962,6.332500533917798,3.571124732403294,4.909727941926877,5.255204806636219,4.494447677917535,3.277830127800388,4.982705928046345,3.2114968731481506,5.498941338301044,5.493074227288063,5.319339651344771
Lung|endothelial cell,8.394806921212394,8.675437986592717,8.283308771439808,6.4879128227235014,5.907226598020832,3.4995676356092984,7.0238399873100335,2.9236219704697644,3.8604927637975743,5.519693802338501,4.348921391740549,11.242396856582117,7.245147148836711,5.19839260677212,0.0,6.748181515476981,10.339627697053075,7.918291680681484,2.823636152155244,9.782939283501182,5.590154574977188,6.34089845580351,8.382273192379147,9.409760044638864,11.522805620584725,6.591750125602605,8.886535708527623,7.879014576820344,11.754295793233998,6.144071199487368,8.09653808863507,7.560840779746868,4.404661022813312,8.147678164829534,15.380817315123915,8.137631553711062,11.730057313031308,6.600543800741183
