pair,omega,kn,kf,same_tissue,same_ct
Hear|endothelial cell vs Hear|leukocyte,26.4121612522693,0.01752842632197306,0.4629636225144741,True,False
Hear|fibroblast vs Hear|leukocyte,26.18746092555897,0.01746493410476925,0.45736227943610697,True,False
Hear|fibroblast vs Hear|endocardial cell,22.740351214167553,0.014200530892486855,0.3229250599227873,True,False
Hear|fibroblast vs Hear|endothelial cell,21.840124280774038,0.01785957081646518,0.39005524623288457,True,False
Hear|endocardial cell vs Hear|leukocyte,20.346829465018818,0.02222255948113466,0.45215862803888396,True,False
Sple|B cell vs Marr|T cell,19.940769867639197,0.015663200807992984,0.31233628270280844,False,False
Live|liver sinusoid EC vs Lung|stromal cell,19.11397463213099,0.024320605624522144,0.4648634389451785,False,False
Hear|smooth muscle cell vs Hear|leukocyte,18.883089767837106,0.025891844332477217,0.48891802078503166,True,False
Lung|type II pneumocyte vs Hear|fibroblast,17.814777840246627,0.026556917142726816,0.4731055790195155,False,False
Hear|endothelial cell vs Marr|monocyte,17.262686077280005,0.029559280227223594,0.5102725752329109,False,False
Live|liver sinusoid EC vs Hear|fibroblast,16.92068709351193,0.027497191277748936,0.46527136956123527,False,False
Lung|type II pneumocyte vs Hear|endocardial cell,16.861312583143686,0.028506525838525216,0.4806574428228358,False,False
Hear|endothelial cell vs Marr|NK cell,16.83215137075409,0.030303490277195713,0.5100729354079331,False,False
Hear|smooth muscle cell vs Marr|T cell,16.72390830782449,0.029642280100405587,0.4957347744340336,False,False
Live|liver sinusoid EC vs Hear|smooth muscle cell,16.604372560966894,0.026313631851141637,0.4369213466884807,False,False
Lung|type II pneumocyte vs Hear|smooth muscle cell,16.542516341316503,0.029913778496488165,0.4948491696086777,False,False
Marr|B cell vs Marr|NK cell,16.25240682490533,0.02271299639798974,0.3691408576727386,True,False
Lung|type II pneumocyte vs Hear|endothelial cell,16.242646198287737,0.02968845230913801,0.48221902703206726,False,False
Lung|macrophage vs Hear|endothelial cell,16.225398322236785,0.029312024670628416,0.47559927591217754,False,False
Live|liver sinusoid EC vs Lung|type II pneumocyte,16.187236661463068,0.0316320279061983,0.512035121799636,False,False
Marr|B cell vs Marr|T cell,16.165084655383886,0.01706302386476019,0.27582522525068404,True,False
Hear|leukocyte vs Marr|NK cell,15.969995715095118,0.025604495870273657,0.40890368933544097,False,False
Hear|endothelial cell vs Hear|smooth muscle cell,15.6926967606748,0.023657036108203126,0.37124269390236597,True,False
Live|liver sinusoid EC vs Hear|leukocyte,15.649014005840925,0.027972875884324448,0.43774792649744315,False,False
Lung|type II pneumocyte vs Hear|leukocyte,15.577784776679755,0.030766353300154273,0.47927163007309415,False,False
Lung|stromal cell vs Hear|leukocyte,15.496767154411394,0.030424182928744718,0.471476478709975,False,False
Lung|endothelial cell vs Marr|monocyte,15.380817315123915,0.0323156404744885,0.4970409625593319,False,False
Hear|fibroblast vs Marr|monocyte,15.379639176473047,0.032537086965582204,0.5004086573841786,False,False
Sple|T cell vs Hear|endothelial cell,15.237976246058334,0.032387360287209926,0.4935178267290379,False,False
Sple|T cell vs Hear|leukocyte,15.183428569009552,0.028751641563409785,0.4365484959197986,False,False
Hear|endothelial cell vs Marr|T cell,15.17324646168028,0.032803101575808756,0.49772954491727905,False,False
Marr|monocyte vs Marr|NK cell,15.139765902731627,0.02633679505805224,0.3987329118071301,True,False
Sple|T cell vs Marr|monocyte,15.12063098296918,0.028142366107399085,0.42553033289760034,False,False
Hear|fibroblast vs Marr|NK cell,14.72400926191415,0.035384398847479216,0.5210002163575483,False,False
Hear|endothelial cell vs Hear|endocardial cell,14.620631399375231,0.017354051218897597,0.2537271861573802,True,False
Hear|fibroblast vs Marr|hematopoietic st..,14.606824633611323,0.03105651704784273,0.45363709824859916,False,False
Hear|fibroblast vs Hear|smooth muscle cell,14.552034719370717,0.019931399592003553,0.29004241886848703,True,False
Lung|stromal cell vs Hear|smooth muscle cell,14.41045719336982,0.019911252936162683,0.2869302581029315,False,False
Hear|endocardial cell vs Marr|monocyte,14.391578674213477,0.03454687937033246,0.4971841324067022,False,False
Sple|B cell vs Hear|smooth muscle cell,14.358439053679662,0.034425655715801695,0.49429867947829753,False,False
Hear|endocardial cell vs Marr|NK cell,14.330671569447558,0.034934257548714424,0.5006313714531205,False,False
Hear|smooth muscle cell vs Marr|B cell,14.272073561259921,0.03270737911820191,0.46680212077099426,False,False
Lung|stromal cell vs Marr|T cell,14.21435758949409,0.03646919341291596,0.5183861561716099,False,False
Lung|stromal cell vs Lung|type II pneumocyte,14.163554275520735,0.03265358101356884,0.46249076697579566,True,False
Lung|macrophage vs Hear|smooth muscle cell,13.978212808263335,0.034579138153285865,0.4833545518329678,False,False
Hear|endothelial cell vs Marr|B cell,13.951832305953818,0.03348187929522706,0.4671335652151951,False,False
Live|liver sinusoid EC vs Marr|Fraction A pre-p..,13.891015789126865,0.03616550878192501,0.5023756535115266,False,False
Lung|macrophage vs Hear|fibroblast,13.874256207125464,0.034246608707994855,0.4751462234398946,False,False
Live|NK cell vs Marr|B cell,13.858781399171646,0.028408837099667173,0.3937118631689648,False,False
Hear|leukocyte vs Marr|B cell,13.790814523930436,0.027964050299360346,0.3856470310163399,False,False
Hear|fibroblast vs Marr|T cell,13.77394134485386,0.03709056194386076,0.5108832246624069,False,False
Marr|B cell vs Marr|hematopoietic st..,13.692214430727118,0.023527884866716475,0.3221488446965415,True,False
Hear|smooth muscle cell vs Marr|hematopoietic st..,13.65468533842102,0.03209404129512683,0.4382340351232471,False,False
Hear|smooth muscle cell vs Marr|NK cell,13.648517842572794,0.037534054618025434,0.5122842141582219,False,False
Sple|T cell vs Hear|endocardial cell,13.632710021928132,0.03652173305056616,0.4978901961766372,False,False
Hear|leukocyte vs Marr|T cell,13.625542035952625,0.028664141476571474,0.3905644646135178,False,False
Sple|B cell vs Marr|NK cell,13.569228155521458,0.029354197282490932,0.3983138002483074,False,False
Lung|macrophage vs Marr|T cell,13.523657668115783,0.02677083919226985,0.3620396647244347,False,False
Live|liver sinusoid EC vs Marr|T cell,13.517501998844528,0.0365150188915593,0.4935918408544986,False,False
Hear|smooth muscle cell vs Hear|endocardial cell,13.475347513722328,0.025022603845462697,0.3371882825158145,True,False
Lung|type II pneumocyte vs Marr|T cell,13.473769326160706,0.03802201767388674,0.5122998954531555,False,False
Marr|hematopoietic st.. vs Marr|NK cell,13.427654240291217,0.02609768375912274,0.3504306739899637,True,False
Marr|B cell vs Marr|monocyte,13.404533321969144,0.02599177916018336,0.348407669849941,True,False
Live|liver sinusoid EC vs Lung|macrophage,13.392652055451316,0.03351191232349196,0.4488133814613189,False,False
Lung|macrophage vs Marr|B cell,13.384945620051335,0.02475938875518796,0.33140307207390135,False,False
Sple|T cell vs Marr|hematopoietic st..,13.375626942523285,0.028018118585857076,0.3747599018358023,False,False
