pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
Live|hepatocyte vs Live|macrophage,hepatocyte,macrophage,Liver,Liver,True,False,15.056850529448678,0.2121649654071321,0.3197882462344154,0.5089630484580994,0.9717223650385605
Live|hepatocyte vs Live|monocyte,hepatocyte,monocyte,Liver,Liver,True,False,13.176556019570734,0.2204985198963741,0.3110870031269979,0.522299587726593,0.9690721649484536
Live|hepatocyte vs Live|livEC,hepatocyte,endothelial cell of hepatic sinusoid,Liver,Liver,True,False,17.00448568387122,0.17570462999218273,0.27594439952851557,0.44863903522491455,0.961038961038961
Live|hepatocyte vs Live|EC,hepatocyte,endothelial cell,Liver,Liver,True,False,14.560685626432445,0.1743295674054834,0.29156837956864523,0.4004998803138733,0.9189189189189189
Live|hepatocyte vs Live|nk cell,hepatocyte,nk cell,Liver,Liver,True,False,10.223527558265287,0.20165086056882622,0.31542478487625203,0.47584325075149536,0.961038961038961
Live|hepatocyte vs Live|t cell,hepatocyte,t cell,Liver,Liver,True,False,7.712555887963521,0.14405781803790235,0.2813884048584331,0.3119167685508728,0.8372093023255813
Live|hepatocyte vs Live|erythrocyte,hepatocyte,erythrocyte,Liver,Liver,True,False,5.442082000856926,0.19088573350930305,0.3617284925770188,0.38654106855392456,0.8304093567251463
Live|hepatocyte vs Live|fibroblast,hepatocyte,fibroblast,Liver,Liver,True,False,13.258622440279494,0.17643968549716998,0.30350285896652485,0.42814236879348755,0.9637305699481865
Live|hepatocyte vs Live|neutrophil,hepatocyte,neutrophil,Liver,Liver,True,False,2.623537228213005,0.32800908966748205,0.6434127534045007,0.6228830814361572,0.961038961038961
Live|hepatocyte vs Live|intrahepatic c..,hepatocyte,intrahepatic cholangiocyte,Liver,Liver,True,False,16.730879271575184,0.15671506064306673,0.32004151738462505,0.346591591835022,0.8919667590027701
Live|hepatocyte vs Live|liver dendriti..,hepatocyte,liver dendritic cell,Liver,Liver,True,False,10.38373046897669,0.2286098945432416,0.37728758355868697,0.5082566738128662,0.9743589743589743
Live|hepatocyte vs Live|plasma cell,hepatocyte,plasma cell,Liver,Liver,True,False,6.229438008547581,0.22778806105512606,0.42197928414672115,0.45956188440322876,0.961038961038961
Live|hepatocyte vs Kidn|kidney epi,hepatocyte,kidney epithelial cell,Liver,Kidney,False,False,12.400724133129469,0.15533508555183648,0.26274043585384443,0.39251261949539185,0.9417989417989419
Live|hepatocyte vs Kidn|b cell,hepatocyte,b cell,Liver,Kidney,False,False,14.211133307468618,0.2194799893157012,0.3519893422128747,0.5282561182975769,0.9795918367346939
Live|hepatocyte vs Kidn|macrophage,hepatocyte,macrophage,Liver,Kidney,False,False,17.942728020185072,0.18931266685072787,0.2882005799432278,0.4767017364501953,0.9769820971867008
"Live|hepatocyte vs Kidn|cd8-positive, ..",hepatocyte,"cd8-positive, alpha-beta t cell",Liver,Kidney,False,False,14.663083632776994,0.21084798576596847,0.32641635581109474,0.5096873641014099,0.9769820971867008
