per-tumor table: 398 tumours; CC (ILSBio) tumours present: 32
ex-CC tumours: 366 (full 398 minus 32 CC)

=== ex-CC Cox coefficient table (HR per +1 SD) ===
                    model covariate   n  events     coef      se    HR  HR_lower  HR_upper      z            p
       M1_omega_full_full         z 304     101  0.07197 0.10076 1.075     0.882     1.309  0.714 4.751035e-01
       M1_omega_full_full     stage 304     101  0.57598 0.11323 1.779     1.425     2.221  5.087 3.643496e-07
       M1_omega_full_full grade_ord 304     101  0.11020 0.14573 1.117     0.839     1.486  0.756 4.495377e-01
       M1_omega_full_full       age 304     101  0.00915 0.00801 1.009     0.993     1.025  1.142 2.534017e-01
       M1_omega_full_full  sex_Male 304     101 -0.02820 0.21510 0.972     0.638     1.482 -0.131 8.957113e-01
M2_omega_stage_grade_full         z 304     101  0.04435 0.09812 1.045     0.862     1.267  0.452 6.512493e-01
M2_omega_stage_grade_full     stage 304     101  0.58205 0.11189 1.790     1.437     2.229  5.202 1.969835e-07
M2_omega_stage_grade_full grade_ord 304     101  0.09566 0.14374 1.100     0.830     1.458  0.666 5.057240e-01
 M3_omega_unadjusted_full         z 326     115  0.09515 0.09417 1.100     0.914     1.323  1.010 3.122923e-01
          M4_kf_full_full         z 304     101  0.21373 0.11900 1.238     0.981     1.564  1.796 7.247353e-02
          M4_kf_full_full     stage 304     101  0.55348 0.11365 1.739     1.392     2.173  4.870 1.116459e-06
          M4_kf_full_full grade_ord 304     101  0.07479 0.14513 1.078     0.811     1.432  0.515 6.063461e-01
          M4_kf_full_full       age 304     101  0.00719 0.00767 1.007     0.992     1.022  0.938 3.484015e-01
          M4_kf_full_full  sex_Male 304     101 -0.04533 0.21400 0.956     0.628     1.454 -0.212 8.322520e-01
          M5_kn_full_full         z 304     101 -0.04405 0.08355 0.957     0.812     1.127 -0.527 5.980139e-01
          M5_kn_full_full     stage 304     101  0.58256 0.11329 1.791     1.434     2.236  5.142 2.718537e-07
          M5_kn_full_full grade_ord 304     101  0.11335 0.14596 1.120     0.841     1.491  0.777 4.373800e-01
          M5_kn_full_full       age 304     101  0.00894 0.00808 1.009     0.993     1.025  1.107 2.683432e-01
          M5_kn_full_full  sex_Male 304     101 -0.01583 0.21536 0.984     0.645     1.501 -0.073 9.414087e-01
     M6_tnomega_full_full         z 300      99 -0.06892 0.10044 0.933     0.767     1.136 -0.686 4.926311e-01
     M6_tnomega_full_full     stage 300      99  0.56039 0.11492 1.751     1.398     2.194  4.876 1.080618e-06
     M6_tnomega_full_full grade_ord 300      99  0.06624 0.14703 1.068     0.801     1.425  0.450 6.523525e-01
     M6_tnomega_full_full       age 300      99  0.00763 0.00794 1.008     0.992     1.023  0.961 3.364091e-01
     M6_tnomega_full_full  sex_Male 300      99 -0.05327 0.21587 0.948     0.621     1.447 -0.247 8.050779e-01
       M1_omega_full_exCC         z 272      79  0.08009 0.11196 1.083     0.870     1.349  0.715 4.744382e-01
       M1_omega_full_exCC     stage 272      79  0.39812 0.12888 1.489     1.157     1.917  3.089 2.007549e-03
       M1_omega_full_exCC grade_ord 272      79  0.35886 0.16990 1.432     1.026     1.997  2.112 3.466557e-02
       M1_omega_full_exCC       age 272      79  0.02273 0.01002 1.023     1.003     1.043  2.268 2.333692e-02
       M1_omega_full_exCC  sex_Male 272      79 -0.20668 0.23817 0.813     0.510     1.297 -0.868 3.855245e-01
M2_omega_stage_grade_exCC         z 272      79  0.00076 0.10757 1.001     0.811     1.236  0.007 9.943914e-01
M2_omega_stage_grade_exCC     stage 272      79  0.43746 0.12661 1.549     1.208     1.985  3.455 5.501142e-04
M2_omega_stage_grade_exCC grade_ord 272      79  0.30046 0.16574 1.350     0.976     1.869  1.813 6.984799e-02
 M3_omega_unadjusted_exCC         z 294      93  0.05817 0.10292 1.060     0.866     1.297  0.565 5.719564e-01
          M4_kf_full_exCC         z 272      79  0.06889 0.12231 1.071     0.843     1.362  0.563 5.733088e-01
          M4_kf_full_exCC     stage 272      79  0.39377 0.12906 1.483     1.151     1.909  3.051 2.281088e-03
          M4_kf_full_exCC grade_ord 272      79  0.33737 0.16932 1.401     1.006     1.953  1.992 4.631872e-02
          M4_kf_full_exCC       age 272      79  0.02036 0.00973 1.021     1.001     1.040  2.091 3.648902e-02
          M4_kf_full_exCC  sex_Male 272      79 -0.21282 0.23814 0.808     0.507     1.289 -0.894 3.714827e-01
          M5_kn_full_exCC         z 272      79 -0.08104 0.09552 0.922     0.765     1.112 -0.848 3.962064e-01
          M5_kn_full_exCC     stage 272      79  0.40599 0.12910 1.501     1.165     1.933  3.145 1.662605e-03
          M5_kn_full_exCC grade_ord 272      79  0.36952 0.17089 1.447     1.035     2.023  2.162 3.059362e-02
          M5_kn_full_exCC       age 272      79  0.02346 0.01018 1.024     1.004     1.044  2.305 2.119097e-02
          M5_kn_full_exCC  sex_Male 272      79 -0.18683 0.23891 0.830     0.519     1.325 -0.782 4.342136e-01
     M6_tnomega_full_exCC         z 268      77 -0.03013 0.11702 0.970     0.771     1.220 -0.257 7.968242e-01
     M6_tnomega_full_exCC     stage 268      77  0.36519 0.13140 1.441     1.114     1.864  2.779 5.448977e-03
     M6_tnomega_full_exCC grade_ord 268      77  0.30885 0.17238 1.362     0.971     1.909  1.792 7.318288e-02
     M6_tnomega_full_exCC       age 268      77  0.02161 0.00999 1.022     1.002     1.042  2.163 3.054268e-02
     M6_tnomega_full_exCC  sex_Male 268      77 -0.24351 0.24028 0.784     0.489     1.255 -1.013 3.108455e-01

saved: C:\Users\KnightZ\Desktop\细胞受选择\results\nc49_lihc_cox_excc.csv
saved: C:\Users\KnightZ\Desktop\细胞受选择\results\audit\nc49_lihc_cox_excc_2026-09-21.md
DONE
