TCGA-LUAD kn: r=-0.4198, P=1.82e-22, r2=17.6% slope=-0.000591 (n=493)
TCGA-LUAD omega: r=+0.4736, P=6.36e-29, r2=22.4% slope=18.279641 (n=493)
TCGA-LUAD kf: r=-0.1513, P=0.000751, r2=2.3% slope=-0.006732 (n=493)
TCGA-LUSC kn: r=-0.3670, P=1.59e-19, r2=13.5% slope=-0.000602 (n=567)
TCGA-LUSC omega: r=+0.3585, P=1.22e-18, r2=12.9% slope=10.966726 (n=567)
TCGA-LUSC kf: r=-0.1771, P=2.22e-05, r2=3.1% slope=-0.008387 (n=567)
TCGA-LIHC kn: r=-0.2094, P=5.52e-05, r2=4.4% slope=-0.000509 (n=365)
TCGA-LIHC omega: r=+0.1547, P=0.00305, r2=2.4% slope=3.227208 (n=365)
TCGA-LIHC kf: r=-0.2671, P=2.23e-07, r2=7.1% slope=-0.014377 (n=365)
TCGA-KIRC kn: r=-0.3983, P=8.88e-30, r2=15.9% slope=-0.000832 (n=746)
TCGA-KIRC omega: r=+0.4039, P=1.2e-30, r2=16.3% slope=22.112418 (n=746)
TCGA-KIRC kf: r=-0.1812, P=6.27e-07, r2=3.3% slope=-0.011030 (n=746)
TCGA-BRCA kn: r=-0.3238, P=4.34e-26, r2=10.5% slope=-0.000455 (n=1010)
TCGA-BRCA omega: r=+0.2855, P=2.16e-20, r2=8.1% slope=12.431158 (n=1010)
TCGA-BRCA kf: r=-0.1524, P=1.15e-06, r2=2.3% slope=-0.008150 (n=1010)
