cell_type,n_regions,n_pairs,n_cells,omega_mean,omega_max,omega_std,p_value,null_mean,null_std,cohens_d,ci_95_lower,ci_95_upper,q_value
Astrocyte,108,5778,155025,76.2039,265.4272,41.6641,9.9900e-04,12.5788,0.1977,321.8464,12.2162,12.9672,0.0011
Oligodendrocyte,108,5778,490246,41.7344,109.5070,23.3126,9.9900e-04,10.5902,0.1329,234.4231,10.3344,10.8572,0.0011
Choroid plexus,6,15,7643,33.9673,144.9472,34.6686,9.9900e-04,14.8930,2.0458,9.3238,12.1004,20.1723,0.0011
Committed oligodendrocyte precursor,52,1326,4118,30.5738,106.9393,14.7731,9.9900e-04,18.7598,0.8578,13.7730,17.0518,20.3433,0.0011
Oligodendrocyte precursor,107,5671,105723,22.6929,121.9224,14.6653,9.9900e-04,11.1586,0.3578,32.2332,10.6865,11.9518,0.0011
Ependymal,40,780,5779,14.5218,37.3997,4.6083,9.9900e-04,10.8163,0.3713,9.9804,10.1583,11.5395,0.0011
Fibroblast,83,3403,8897,13.9911,52.8744,4.4260,9.9900e-04,11.9972,0.2152,9.2666,11.5754,12.4244,0.0011
Microglia,107,5671,91826,13.5381,44.1670,5.1506,9.9900e-04,8.9805,0.1332,34.2201,8.7432,9.2626,0.0011
Vascular,82,3321,9586,12.5975,32.9285,4.0276,9.9900e-04,10.0609,0.1548,16.3859,9.7473,10.3669,0.0011
Bergmann glia,7,21,7965,11.1699,21.8359,3.4159,2.9970e-03,8.7510,0.3742,6.4644,8.1867,9.5850,0.0029
