cell_type,region_a,region_b,pair_idx,omega,mu_ct,mu_pair,expected_omega,residual,lowest_in_pair,tier
Astrocyte,Human A13,Human A14,0,60.70698990077695,76.82676000201486,24.511125086002064,57.82644836531574,1.049813564846029,False,None
Astrocyte,Human A13,Human A19,1,51.476134301734746,76.82676000201486,24.82259405353011,58.56126343826581,0.8790133832409528,False,None
Astrocyte,Human A13,Human A1C,2,64.6795900783189,76.82676000201486,30.47895769443408,71.90571086238579,0.899505606753595,False,None
Astrocyte,Human A13,Human A23,3,66.57185220394987,76.82676000201486,36.22111083312354,85.45255217689524,0.779050484836773,False,None
Astrocyte,Human A13,Human A24,4,73.54852590400688,76.82676000201486,38.287843198485334,90.32837048352907,0.8142350571620031,False,None
Astrocyte,Human A13,Human A25,5,65.88160159695666,76.82676000201486,33.29112452578212,78.54015214147947,0.8388270177816801,False,None
Astrocyte,Human A13,Human A29-A30,6,72.99314819800836,76.82676000201486,34.566044823666445,81.54793381273387,0.895095004683127,False,None
Astrocyte,Human A13,Human A32,7,69.21627011364781,76.82676000201486,31.31802191434649,73.88522439420885,0.936808011089603,False,None
Astrocyte,Human A13,Human A35-36,8,15.522284894523937,76.82676000201486,14.117789502725971,33.30657498777987,0.46604266275409706,False,Moderate
Astrocyte,Human A13,Human A35-A36,9,49.8207929384742,76.82676000201486,29.580601305130543,69.78631572334422,0.713904902731649,False,None
Astrocyte,Human A13,Human A35r,10,63.15248877505905,76.82676000201486,37.367785916414434,88.15777877351452,0.7163575313904361,False,None
Astrocyte,Human A13,Human A38,11,65.59952065653617,76.82676000201486,37.355041071187905,88.12771123757604,0.7443688226475322,False,None
Astrocyte,Human A13,Human A40,12,63.145036554392874,76.82676000201486,34.404027288374934,81.16570335183346,0.7779768294580606,False,None
Astrocyte,Human A13,Human A43,13,66.29472691101151,76.82676000201486,39.127372983949286,92.30898237384169,0.7181828377494709,False,None
