cell_type,n_regions,n_pairs,n_nuclei,omega_mean,omega_median,omega_std,omega_min,omega_max
Bergmann glia,7,21,7965,2.37,1.87,1.14,1.24,6.29
Committed oligodendrocyte precursor,52,1326,4118,3.17,2.75,1.47,1.35,11.04
Vascular,82,3321,9586,3.4,3.06,1.24,1.57,11.24
Fibroblast,83,3403,8897,3.99,3.43,1.9,1.68,22.14
Ependymal,40,780,5779,4.13,3.8,1.73,1.63,14.67
Choroid plexus,6,15,7643,4.8,4.34,1.45,2.91,7.7
Oligodendrocyte precursor,107,5671,105723,7.65,6.65,4.03,1.57,32.55
Microglia,107,5671,91826,8.02,6.69,4.93,1.53,79.41
Oligodendrocyte,108,5778,490246,8.66,7.49,4.44,1.76,42.02
Astrocyte,108,5778,155025,14.36,12.12,8.68,1.63,68.79
