cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A1C,Human A5-A7,3.2394297774387697,6.33,0.5118,Weak
Astrocyte,Human A1C,Human A13,3.470446807279192,6.35,0.5464,Weak
Astrocyte,Human A1C,Human A14,5.054379920088379,8.7,0.5811,Weak
Astrocyte,Human A1C,Human A19,3.643571442549054,7.37,0.4945,Moderate
Astrocyte,Human A1C,Human A23,4.6090597986602315,6.45,0.7142,Weak
Astrocyte,Human A1C,Human A24,6.799968372668818,8.98,0.7569,None
Astrocyte,Human A1C,Human A25,5.90455131707839,8.52,0.693,Weak
Astrocyte,Human A1C,Human A29-A30,2.3626330240928963,4.42,0.5347,Weak
Astrocyte,Human A1C,Human A32,7.677778157173635,10.71,0.7166,Weak
Astrocyte,Human A1C,Human A35-36,2.3727920938331084,4.75,0.4997,Moderate
Astrocyte,Human A1C,Human A35-A36,5.248779383745946,8.1,0.6478,Weak
Astrocyte,Human A1C,Human A35r,5.582010150511895,11.28,0.495,Moderate
Astrocyte,Human A1C,Human A38,5.187435636305563,8.71,0.5957,Weak
Astrocyte,Human A1C,Human A40,4.9671346967031775,6.4,0.7759,None
Astrocyte,Human A1C,Human A43,6.75527065273486,6.35,1.0642,None
Astrocyte,Human A1C,Human A44-A45,4.923909106808127,7.0,0.7031,Weak
Astrocyte,Human A1C,Human A46,4.399949178563577,7.49,0.5874,Weak
Astrocyte,Human A1C,Human ANC,18.103987823670387,14.5,1.2487,None
Astrocyte,Human A1C,Human AON,7.058958689083035,9.25,0.7631,None
Astrocyte,Human A1C,Human BL,5.7022171806668895,8.2,0.6951,Weak
Astrocyte,Human A1C,Human BM,5.593749900708356,8.99,0.6223,Weak
Astrocyte,Human A1C,Human BNST,12.660245815066235,10.56,1.1992,None
Astrocyte,Human A1C,Human CA1-3,6.4647943467183575,8.78,0.7362,Weak
Astrocyte,Human A1C,Human CA1C-CA3C,13.956027170987207,14.28,0.9776,None
Astrocyte,Human A1C,Human CA1R-CA2R,7.5309852676600695,10.33,0.729,Weak
