cell_type,region_a,region_b,omega,kn,kf
Astrocyte,Human A1C,Human A5-A7,3.2394297774387697,0.003328287130418434,0.01078175243814371
Astrocyte,Human A1C,Human A13,3.470446807279192,0.0028530609611056995,0.009901396303442177
Astrocyte,Human A1C,Human A14,5.054379920088379,0.004502273776320655,0.022756202169775593
Astrocyte,Human A1C,Human A19,3.643571442549054,0.003619255209903128,0.01318701492609992
Astrocyte,Human A1C,Human A23,4.6090597986602315,0.0032206542859119494,0.014844188194579541
Astrocyte,Human A1C,Human A24,6.799968372668818,0.0027843145790173674,0.018933251076878793
Astrocyte,Human A1C,Human A25,5.90455131707839,0.003296965681620547,0.019467103057774854
Astrocyte,Human A1C,Human A29-A30,2.3626330240928963,0.006255102991559761,0.01477851289696136
Astrocyte,Human A1C,Human A32,7.677778157173635,0.003289966013219797,0.025259629194142583
Astrocyte,Human A1C,Human A35-36,2.3727920938331084,0.02411668093751722,0.0572238698580365
Astrocyte,Human A1C,Human A35-A36,5.248779383745946,0.004809087705811116,0.025241840404887476
Astrocyte,Human A1C,Human A35r,5.582010150511895,0.008062338925479053,0.04500405771889124
Astrocyte,Human A1C,Human A38,5.187435636305563,0.004230010644753727,0.021942907960547355
Astrocyte,Human A1C,Human A40,4.9671346967031775,0.004186762810521471,0.02079621482300771
Astrocyte,Human A1C,Human A43,6.75527065273486,0.0019254868743062586,0.013007184974227246
Astrocyte,Human A1C,Human A44-A45,4.923909106808127,0.0021718519332666253,0.010694001512850373
Astrocyte,Human A1C,Human A46,4.399949178563577,0.003310011269381174,0.014563881365749879
Astrocyte,Human A1C,Human ANC,18.103987823670387,0.006434089105111426,0.11648267081534755
Astrocyte,Human A1C,Human AON,7.058958689083035,0.002628485787857084,0.01855437259132503
Astrocyte,Human A1C,Human BL,5.7022171806668895,0.008549296676469208,0.04874994639118106
Astrocyte,Human A1C,Human BM,5.593749900708356,0.007491993225599486,0.0419083363618048
Astrocyte,Human A1C,Human BNST,12.660245815066235,0.006299041248588861,0.07974741060637672
Astrocyte,Human A1C,Human CA1-3,6.4647943467183575,0.006768371458261155,0.0437561295398566
Astrocyte,Human A1C,Human CA1C-CA3C,13.956027170987207,0.003215453739710909,0.04487495975845787
Astrocyte,Human A1C,Human CA1R-CA2R,7.5309852676600695,0.004687123285914306,0.03529865641392709
Astrocyte,Human A1C,Human CA1R-CA2R-CA3R,6.280334574347092,0.005575624471941839,0.03501678714471208
Astrocyte,Human A1C,Human CA1U,9.573302518603773,0.005361871378655608,0.05133081677371322
Astrocyte,Human A1C,Human CA1U-CA2U-CA3U,5.697051323414798,0.007011171696228386,0.0399430049906863
Astrocyte,Human A1C,Human CA2U-CA3U,8.79939836762536,0.00492084327696031,0.04330046029862478
Astrocyte,Human A1C,Human CA3R,9.277842934190428,0.008981074123512834,0.08332499509827404
Astrocyte,Human A1C,Human CA4C-DGC,14.482499818953324,0.003093251360309266,0.044798012265656065
Astrocyte,Human A1C,Human CBL,18.597031056874382,0.010539357449257705,0.19600075780334592
Astrocyte,Human A1C,Human CBV,18.943112214351526,0.00980671548877217,0.18576971195803038
Astrocyte,Human A1C,Human CEN,4.34379462033809,0.018011868344919205,0.07823985681889797
Astrocyte,Human A1C,Human CM,11.999120347244379,0.010832642075904118,0.1299821759473967
Astrocyte,Human A1C,Human CM-Pf,19.095846839786873,0.0063556848992105995,0.12136718539727187
Astrocyte,Human A1C,Human CMN,8.34728958752834,0.006177019814330815,0.05156137317811986
Astrocyte,Human A1C,Human CaB,11.767057814472086,0.004603299753169795,0.05416729433289406
Astrocyte,Human A1C,Human CbDN,28.886600535775962,0.005329539374920285,0.1539522749630114
Astrocyte,Human A1C,Human Cla,7.790042076011412,0.004763243257534671,0.03710586539447275
Astrocyte,Human A1C,Human CoA,6.479395394638933,0.009638408306147409,0.06245105839050116
Astrocyte,Human A1C,Human DGR-CA4Rpy,8.197920421125614,0.006201597887810459,0.050840205968090836
Astrocyte,Human A1C,Human DGU-CA4Upy,9.74228028759154,0.005041387818110433,0.049114613162481405
Astrocyte,Human A1C,Human DTg,24.70932683106486,0.005864586692945024,0.14490998932509241
Astrocyte,Human A1C,Human ETH,17.729858312920072,0.007626581947521636,0.13521821734143263
Astrocyte,Human A1C,Human FI,4.387077329257036,0.005201906210066085,0.022821164803102312
Astrocyte,Human A1C,Human GPe,15.687466861705483,0.004953660701742675,0.07771038810272093
Astrocyte,Human A1C,Human GPi,15.947268485463884,0.007332828067663636,0.11693857795277733
Astrocyte,Human A1C,Human Gpe,6.979034903486805,0.01315579554772241,0.09181475631069101
Astrocyte,Human A1C,Human HTHma,9.651103932243247,0.01425021224837801,0.1375302794656219
Astrocyte,Human A1C,Human HTHma-HTHtub,10.875908124630596,0.01118478848918159,0.12164473200176483
Astrocyte,Human A1C,Human HTHpo,13.11205956071196,0.006254578432097417,0.08201040492880576
Astrocyte,Human A1C,Human HTHpo-HTHso,16.678860331876624,0.006705474777293538,0.11183967726940043
Astrocyte,Human A1C,Human HTHso,7.528306242320153,0.014258542464907435,0.10734267424494962
Astrocyte,Human A1C,Human HTHso-HTHtub,23.804814885028396,0.00477583223389998,0.11368780224994066
Astrocyte,Human A1C,Human HTHtub,8.335402951752434,0.015089381864478616,0.1257760781332947
Astrocyte,Human A1C,Human IC,23.590360632704744,0.005292177696625634,0.12484438039575543
Astrocyte,Human A1C,Human IO,16.227274369024887,0.010146779781332535,0.1646545794737574
Astrocyte,Human A1C,Human ITG,5.4183161642356055,0.0038126567633962015,0.020658179769791844
Astrocyte,Human A1C,Human Idg,5.928882153374547,0.0030458233649770655,0.018058327790943733
Astrocyte,Human A1C,Human Ig,4.935555140901635,0.0021175327853305732,0.01045119982466607
Astrocyte,Human A1C,Human LEC,8.178583491586991,0.003687709124297873,0.030160236965757307
