,Live|NK cell,Live|hepatocyte,Live|Kupffer cell,Live|liver sinusoid EC,Live|B cell,Kidn|kidney collectin..,Kidn|kidney tubule cell,Kidn|endothelial cell,Kidn|fenestrated cell,Kidn|leukocyte,Kidn|fibroblast,Sple|T cell,Sple|B cell,Sple|myeloid cell,Lung|endothelial cell,Lung|stromal cell,Lung|type II pneumocyte,Lung|B cell,Lung|leukocyte,Lung|monocyte,Lung|dendritic cell,Lung|T cell,Lung|NK cell,Lung|macrophage,Hear|fibroblast,Hear|endothelial cell,Hear|smooth muscle cell,Hear|endocardial cell,Hear|leukocyte,Hear|cardiac muscle,Marr|B cell,Marr|Fraction A pre-p..,Marr|granulocyte,Marr|hematopoietic st..,Marr|monocyte,Marr|T cell,Marr|NK cell,Marr|neutrophil
Live|NK cell,0.0,0.060919959942174,0.046638466450840736,0.045886163922056106,0.058971064217666076,0.1699117737897203,0.07341744718719992,0.10420122834664242,0.06648631816069359,0.0646155261906792,0.09675627869595023,0.02665984484898238,0.0333853411973528,0.07885679269332327,0.05613616840930119,0.05298779800044056,0.04561485393957458,0.045250391217855956,0.18854000905424434,0.05373045999870932,0.061647996292343465,0.07627744031067565,0.07092648939232826,0.03621135105330885,0.04332170974258179,0.040152014364142216,0.04302310561041045,0.044276591413779175,0.03407548007971649,0.07691517391637462,0.028408837099667173,0.041871826193048314,0.11530286827690775,0.029618328881577574,0.0351854782759333,0.02519510174528579,0.02353339672658809,0.058229534415238385
Live|hepatocyte,0.060919959942174,0.0,0.0519269402512767,0.05216119309658741,0.09112071254846361,0.14495971233906596,0.03769950795821879,0.12031078584442093,0.07810412182058316,0.07969030327154145,0.08548369903099093,0.06267420841102088,0.06289743531177014,0.09217627126019386,0.06309565300836953,0.05156306875141387,0.04382230724961061,0.07337655894360674,0.20844964421554835,0.062080754779789436,0.08108981852103819,0.10276479782991053,0.10047788822451525,0.051179270317842376,0.040528575198600175,0.04771233018475658,0.04913003251207798,0.04952550701348565,0.04108528744765173,0.043129346340369794,0.059697332280146675,0.060968814784721964,0.12894923158109922,0.04930867209843126,0.047872617876760774,0.05822016358578569,0.05691416594610309,0.07786984256012468
Live|Kupffer cell,0.046638466450840736,0.0519269402512767,0.0,0.039721475164656996,0.07373758586802351,0.1585932954467148,0.061518700020503796,0.10171446685308264,0.07033531615733271,0.056505308889247034,0.08577092848480393,0.05070367988038377,0.049256456065057595,0.0738940133496135,0.05853460034453259,0.0521472742749695,0.049198497360832254,0.058297304267798986,0.17561331313545522,0.04418079484832878,0.05438945035814369,0.0908101566041233,0.08420067610527315,0.0349122386529954,0.045368647110313104,0.04296151379836148,0.04998233420937945,0.049525874836710254,0.02961834426507881,0.0776928661639456,0.043873076343977094,0.044839033457495056,0.10333764042746998,0.05124771354995911,0.03396263026790155,0.047175021578682176,0.04523219409395396,0.05689107101990543
Live|liver sinusoid EC,0.045886163922056106,0.05216119309658741,0.039721475164656996,0.0,0.06992845279725744,0.167678050489035,0.056716740594784446,0.08166196925693324,0.042098613415895776,0.05402423483251097,0.07824321833333435,0.048397356989326124,0.040770011542646915,0.07324829636922808,0.04366385894426265,0.024320605624522144,0.0316320279061983,0.06054016154529039,0.17951262165829565,0.04965523885146953,0.05313862181682371,0.09320420153565187,0.08784649423388091,0.03351191232349196,0.027497191277748936,0.023183911973875593,0.026313631851141637,0.0291341139967361,0.027972875884324448,0.06716597251053648,0.03910510651024378,0.03616550878192501,0.09803895813953495,0.047492439099389376,0.038237267370185304,0.0365150188915593,0.043588729120091874,0.04937948116820347
Live|B cell,0.058971064217666076,0.09112071254846361,0.07373758586802351,0.06992845279725744,0.0,0.1883907456746542,0.09852398979950704,0.12167563803412765,0.09159806776464119,0.08739878841294901,0.11027530241569289,0.05387346051993637,0.042178697486592406,0.09130432527342308,0.08304701621207294,0.07850407160173342,0.07300197837612542,0.05684506901513139,0.19566604968580367,0.07477678254353001,0.07590478635490175,0.09716593992149847,0.09643243277627092,0.0593123288157877,0.07341103958429691,0.06511602065811695,0.06840992206278595,0.0729537691745897,0.058241489429573606,0.10366041956276141,0.04136667530221674,0.05814605704355687,0.12293711118896003,0.0646262060579813,0.05945532969670315,0.051840481725902096,0.054515074850317966,0.07845930744366675
Kidn|kidney collectin..,0.1699117737897203,0.14495971233906596,0.1585932954467148,0.167678050489035,0.1883907456746542,0.0,0.13531601646098723,0.18873097867013236,0.18071079823056085,0.19318625218834704,0.17900899759907052,0.16316849171217332,0.1701665654508791,0.19179663151327986,0.15380861765790216,0.17253821290915017,0.15049264708340096,0.17021869785343446,0.2649258609456864,0.1578510007258704,0.17643019039359698,0.17603266466132528,0.17818271199362062,0.16211918673140932,0.15217447540119416,0.1517701174128169,0.15980649514777473,0.15412498201361458,0.14886508732155218,0.1465970468028516,0.16501233949993915,0.1698092692576847,0.20607839800793737,0.16301115423013468,0.14754227879587292,0.1704135243684729,0.15965008369493777,0.17488078322858708
Kidn|kidney tubule cell,0.07341744718719992,0.03769950795821879,0.061518700020503796,0.056716740594784446,0.09852398979950704,0.13531601646098723,0.0,0.11553353081355473,0.0794304567395357,0.08784322492191571,0.07252504317781239,0.0749805921006256,0.07020465296042457,0.09977156024344694,0.07088056081709095,0.05985195167767572,0.04996207495323661,0.08366705535552829,0.21048353618493948,0.07313958926932025,0.08094888166902858,0.11244078296698387,0.1082147527091527,0.0604655058422722,0.053319294046306934,0.0557943918509358,0.053906461714864254,0.05788703107991675,0.05163285903970958,0.05050300262843513,0.06808355379651887,0.06807273564634377,0.12673284982175498,0.06396079363652782,0.05809094990085453,0.06606646332582673,0.0694822333029935,0.07844850425580319
Kidn|endothelial cell,0.10420122834664242,0.12031078584442093,0.10171446685308264,0.08166196925693324,0.12167563803412765,0.18873097867013236,0.11553353081355473,0.0,0.08912243682988864,0.10911528795052253,0.12344140507746706,0.09423565302906789,0.0940538714329143,0.12290326932871336,0.08178780545793796,0.0871060858779962,0.09121739280458713,0.10470318927952182,0.2054247410770903,0.0994921706129063,0.10449731973941347,0.12163216880032712,0.12117109035458291,0.08915506202335177,0.08122477280692068,0.07014162004852514,0.08322700175967815,0.0826319589310082,0.08272738858724304,0.12885963936346623,0.09463566398398393,0.0953007672489271,0.1502138979837474,0.1070887925803077,0.08710644864570909,0.09509437718772032,0.09558772524575299,0.11169030217296433
Kidn|fenestrated cell,0.06648631816069359,0.07810412182058316,0.07033531615733271,0.042098613415895776,0.09159806776464119,0.18071079823056085,0.0794304567395357,0.08912243682988864,0.0,0.0757372724128481,0.10404878187063756,0.06613133399434451,0.05702353827615939,0.09145575911677035,0.06696100384841372,0.04743127100149556,0.052789978223045646,0.07758857697640828,0.19286945374641018,0.07367688108319077,0.07421489755873173,0.11114929509968483,0.10596986683722716,0.057396355437346114,0.04778389361001707,0.03983540756717396,0.043401374202137716,0.0488255696957782,0.051084808247823923,0.0874428311450941,0.05834052908678348,0.061059705960068184,0.12061052564671615,0.06543447013245576,0.06277647550676893,0.0526932472736373,0.06314324464502807,0.0744442891204339
Kidn|leukocyte,0.0646155261906792,0.07969030327154145,0.056505308889247034,0.05402423483251097,0.08739878841294901,0.19318625218834704,0.08784322492191571,0.10911528795052253,0.0757372724128481,0.0,0.10089926099446318,0.06534802426122283,0.05498286646411816,0.08344633761509296,0.08731852496608364,0.056584714505832454,0.0662474459403431,0.07437696741953906,0.18923383486768347,0.06672609009138075,0.06492064210954927,0.11534124138568097,0.10963627610412435,0.04743407582269602,0.061080934621311006,0.059838110813364716,0.05897237772908961,0.0634698662221926,0.04575339904717593,0.10230975672213732,0.056958674942371806,0.05319690506932241,0.11569071228278992,0.06513801897523469,0.058389757254458045,0.05392101759916772,0.06433242289075007,0.07097464213063326
