pair,omega,kn,kf,same_tissue,same_ct
Live|hepatocyte vs Lung|type II pneumocyte,37.92914729827144,0.011741319942430408,0.44533825357257484,False,False
Lung|type II pneumocyte vs Hear|smooth muscle cell,37.14056787091564,0.00980450882935962,0.3641450256178226,False,False
Lung|type II pneumocyte vs Hear|endothelial cell,36.27477846399834,0.010197302412928867,0.3699048859593903,False,False
Lung|type II pneumocyte vs Hear|fibroblast,35.78998178268432,0.010118484264283535,0.36214036748708567,False,False
Kidn|fenestrated cell vs Lung|type II pneumocyte,35.51115086929245,0.010754961351241973,0.3819210551373631,False,False
Lung|type II pneumocyte vs Hear|leukocyte,33.082580644514834,0.010793664881982416,0.35708228890805094,False,False
Lung|stromal cell vs Lung|type II pneumocyte,32.45664159789572,0.011225328493005542,0.3643364637161277,True,False
Live|Kupffer cell vs Lung|type II pneumocyte,32.273569914596436,0.01147484096856579,0.3703340822578835,False,False
Lung|type II pneumocyte vs Marr|Fraction A pre-p..,30.04660522533659,0.011546329536555502,0.3469280053865268,False,False
Lung|type II pneumocyte vs Lung|macrophage,29.772587347268576,0.011701081387640018,0.348371467671011,True,False
Lung|type II pneumocyte vs Marr|B cell,29.67867922230659,0.01140364484225315,0.3384451172383423,False,False
Marr|granulocyte vs Marr|neutrophil,28.931933574723956,0.004695316011031809,0.13584457094351016,True,False
Lung|type II pneumocyte vs Hear|endocardial cell,28.832505901237646,0.012611069986707947,0.3636087498126778,False,False
Live|liver sinusoid EC vs Lung|type II pneumocyte,26.66950625089492,0.0148901224922592,0.3971122148838978,False,False
Sple|B cell vs Lung|type II pneumocyte,26.14531814683336,0.013203407435319892,0.3452072880187037,False,False
Kidn|kidney tubule cell vs Lung|type II pneumocyte,25.253506322825384,0.014286622310310951,0.3607873068452558,False,False
Lung|type II pneumocyte vs Marr|T cell,25.083544654775753,0.013704215949061266,0.3437503127169683,False,False
Kidn|fibroblast vs Lung|type II pneumocyte,24.935130757727514,0.014096711177269173,0.3515033364591258,False,False
Live|hepatocyte vs Kidn|kidney tubule cell,24.69125056823004,0.008489541898529277,0.20961740622607372,False,False
Kidn|leukocyte vs Lung|type II pneumocyte,23.721189398121037,0.015508256945988216,0.3678743002505126,False,False
Sple|myeloid cell vs Lung|type II pneumocyte,22.792729578500197,0.014966056080395671,0.34111726909712714,False,False
Live|B cell vs Lung|type II pneumocyte,22.67872840715028,0.015298304396749122,0.34694609050378633,False,False
Lung|type II pneumocyte vs Marr|NK cell,22.633039171865544,0.015603805996113471,0.35316155234022667,False,False
Live|NK cell vs Lung|type II pneumocyte,22.261720521213892,0.01585371857394053,0.3529310521150417,False,False
Lung|type II pneumocyte vs Marr|neutrophil,22.197278233697435,0.01969551487561471,0.4371868236499465,False,False
Live|hepatocyte vs Kidn|fibroblast,22.183719005624283,0.008983428201480943,0.19928584692885398,False,False
Lung|type II pneumocyte vs Lung|B cell,21.63132534046997,0.01590313215347146,0.34400582554423,True,False
Lung|type II pneumocyte vs Lung|monocyte,21.42951352369471,0.016458098741075414,0.35268904954617847,True,False
Kidn|endothelial cell vs Lung|type II pneumocyte,20.159369909393185,0.01771626971990732,0.35714883469819325,False,False
Sple|T cell vs Lung|type II pneumocyte,19.516341675419806,0.0178065557779314,0.34751882662452993,False,False
Lung|endothelial cell vs Lung|type II pneumocyte,19.09267240998379,0.019091270237239416,0.3645033685300857,True,False
Lung|type II pneumocyte vs Lung|T cell,18.331627247333532,0.01872740400775981,0.3433037895804729,True,False
Lung|type II pneumocyte vs Lung|dendritic cell,18.032191512992817,0.019128072549261268,0.3449210674826999,True,False
Lung|type II pneumocyte vs Marr|monocyte,17.655354055832714,0.01950894614322051,0.3444373514147302,False,False
Lung|type II pneumocyte vs Lung|NK cell,17.566775712731967,0.022118599805660916,0.3885524818657222,True,False
Lung|type II pneumocyte vs Hear|cardiac muscle,17.2463644141401,0.02476223750464258,0.42705857171455314,False,False
Live|hepatocyte vs Hear|cardiac muscle,16.678530278007692,0.01895708892282093,0.3161763815821531,False,False
Live|hepatocyte vs Marr|neutrophil,16.32099347683463,0.019551335826379992,0.31909722448575106,False,False
Live|Kupffer cell vs Marr|neutrophil,15.292503357764428,0.014509083468952378,0.2218802076670386,False,False
Lung|type II pneumocyte vs Lung|leukocyte,15.175321902315831,0.025325698901241606,0.3843256332274677,True,False
Live|hepatocyte vs Lung|stromal cell,15.120503302294116,0.014585672594950541,0.22054271063813044,False,False
Hear|endothelial cell vs Hear|leukocyte,14.399574549343845,0.007042383546290401,0.1014073268798811,True,False
Live|liver sinusoid EC vs Lung|stromal cell,13.930785442420094,0.010174742389014425,0.1417421531532568,False,False
Live|hepatocyte vs Live|Kupffer cell,13.918785799368596,0.012883044673161825,0.17931633924943605,True,False
Lung|type II pneumocyte vs Marr|granulocyte,13.875730692098287,0.029524728184929818,0.40967717705149004,False,False
Kidn|kidney collectin.. vs Lung|type II pneumocyte,13.844612111916273,0.026536022043384854,0.36738093218392315,False,False
Live|Kupffer cell vs Live|liver sinusoid EC,13.686006283722259,0.010562911344232368,0.14456407103156532,True,False
Live|hepatocyte vs Hear|smooth muscle cell,13.407877161957076,0.016906968139144066,0.22668655199076565,False,False
Live|hepatocyte vs Hear|fibroblast,13.348917754051149,0.016614080158460207,0.22177998959449838,False,False
Kidn|fibroblast vs Marr|neutrophil,13.146678999960232,0.015214260899863507,0.20001700427215163,False,False
Live|hepatocyte vs Kidn|fenestrated cell,12.715151318320135,0.020013623969234357,0.2544762571967737,False,False
Live|Kupffer cell vs Hear|endothelial cell,12.569549034895818,0.009414172015754948,0.11833189677497583,False,False
Live|hepatocyte vs Hear|endothelial cell,12.514098211217558,0.01926833840576688,0.24112587917674191,False,False
Lung|dendritic cell vs Marr|neutrophil,12.474752755292538,0.014803239772800368,0.1846667561429975,False,False
Lung|type II pneumocyte vs Marr|hematopoietic st..,12.334832262460953,0.027716345939261526,0.3418764780891317,False,False
Live|hepatocyte vs Live|liver sinusoid EC,12.30609719205493,0.020690155153700075,0.2546150602401293,True,False
Sple|B cell vs Marr|neutrophil,12.23922934441538,0.016158275626977844,0.19776484120885904,False,False
Kidn|leukocyte vs Marr|neutrophil,12.235518154893061,0.01837801183438387,0.22486449745044337,False,False
Live|hepatocyte vs Sple|B cell,12.034079937548087,0.017230415052411553,0.20735219209785244,False,False
Live|hepatocyte vs Hear|leukocyte,12.00299171334532,0.017583661394852533,0.21105654201268498,False,False
Hear|fibroblast vs Hear|endocardial cell,11.936772071472978,0.006352564371549725,0.07582911297254905,True,False
Live|liver sinusoid EC vs Kidn|leukocyte,11.832623850321008,0.012523803563639161,0.14818945674385198,False,False
Hear|leukocyte vs Marr|neutrophil,11.806648087850984,0.01790967902484881,0.21145327761275606,False,False
Sple|myeloid cell vs Marr|neutrophil,11.805693960549055,0.015691515872230742,0.1852492341646541,False,False
Live|liver sinusoid EC vs Kidn|fenestrated cell,11.738684996320844,0.010968437565642579,0.12875503348489045,False,False
Kidn|fenestrated cell vs Hear|smooth muscle cell,11.706778322368201,0.009771197961039306,0.11438924847386332,False,False
