sample,cancer,type,stromal_score,immune_score,admix
TCGA-G3-A3CH-11,TCGA-LIHC,Normal,3666.3998187669094,15498.55262865368,19164.95244742059
TCGA-44-6778-01,TCGA-LUAD,Tumor,13029.067277155762,19244.9805666911,32274.047843846864
TCGA-C8-A1HL-01,TCGA-BRCA,Tumor,12622.666146981723,11971.95479866664,24594.620945648363
TCGA-EW-A2FS-01,TCGA-BRCA,Tumor,10363.107877307444,14053.247924895204,24416.35580220265
TCGA-05-4420-01,TCGA-LUAD,Tumor,8382.63424545545,12760.67534653089,21143.30959198634
TCGA-DX-A3U8-01,TCGA-KIRC,Tumor,11817.93855241477,17782.896920866708,29600.835473281477
TCGA-E2-A153-11,TCGA-BRCA,Normal,12464.559211016942,14363.521403937313,26828.080614954255
TCGA-L5-A4OH-01,TCGA-LUSC,Tumor,4644.34855850747,10069.634683060194,14713.983241567665
TCGA-A2-A3XX-01,TCGA-BRCA,Tumor,9497.642433307486,14482.58537443347,23980.227807740957
TCGA-BP-4989-01,TCGA-KIRC,Tumor,11479.82704059593,19130.210041832757,30610.037082428687
TCGA-CZ-5459-01,TCGA-KIRC,Tumor,8944.200572122463,15996.563865668006,24940.76443779047
TCGA-56-8305-01,TCGA-LUSC,Tumor,8488.03886943197,12139.98966070858,20628.02853014055
TCGA-CZ-5468-11,TCGA-KIRC,Normal,7302.880688685735,10149.666359452192,17452.547048137927
TCGA-BH-A0BQ-11,TCGA-BRCA,Normal,12877.217317890998,14120.10758041163,26997.324898302628
TCGA-DD-AAW0-01,TCGA-LIHC,Tumor,7783.181017803898,14910.354133394863,22693.53515119876
TCGA-CZ-4863-11,TCGA-KIRC,Normal,6342.25868772047,5188.058135297251,11530.316823017722
TCGA-39-5031-01,TCGA-LUSC,Tumor,11970.418122183179,15594.192954141556,27564.611076324734
TCGA-DD-AACA-01,TCGA-LIHC,Tumor,59.85568330361639,7210.562714669042,7270.418397972659
TCGA-A3-3335-01,TCGA-KIRC,Tumor,7318.0980544177655,14967.467276030093,22285.56533044786
TCGA-DD-A3A6-11,TCGA-LIHC,Normal,-5377.880366462312,-3362.4971443124778,-8740.37751077479
TCGA-64-1679-01,TCGA-LUAD,Tumor,13935.272433574832,15139.639070364308,29074.91150393914
TCGA-K7-AAU7-01,TCGA-LIHC,Tumor,8583.643623704946,13279.705614426599,21863.349238131545
TCGA-CJ-6028-01,TCGA-KIRC,Tumor,11826.802899166574,18525.613216507405,30352.41611567398
TCGA-B6-A0RL-01,TCGA-BRCA,Tumor,-4650.043510012147,5307.221705195112,657.1781951829653
TCGA-CZ-5456-01,TCGA-KIRC,Tumor,10476.13541263594,17124.861459404772,27600.996872040712
