section,cancer,metric,n,test,comparison,stat,se,p,extra
A1_pair_level,TCGA-LUAD,kf,4850,OLS log ~ is_TT + admix,TT vs NN,0.2078,0.0108,8.208409506047272e-80,unadj_loggap=0.2380
A1_pair_level,TCGA-LUAD,kn,4850,OLS log ~ is_TT + admix,TT vs NN,0.9908,0.0186,0.0,unadj_loggap=1.0767
A1_pair_level,TCGA-LUSC,kf,3653,OLS log ~ is_TT + admix,TT vs NN,0.5341,0.0141,1.1191132343247034e-264,unadj_loggap=0.5514
A1_pair_level,TCGA-LUSC,kn,3653,OLS log ~ is_TT + admix,TT vs NN,0.6186,0.0219,9.741375285438745e-159,unadj_loggap=0.9296
A1_pair_level,TCGA-LIHC,kf,3596,OLS log ~ is_TT + admix,TT vs NN,0.5297,0.0145,3.604874048817485e-250,unadj_loggap=0.5387
A1_pair_level,TCGA-LIHC,kn,3596,OLS log ~ is_TT + admix,TT vs NN,0.4847,0.0246,3.5561264854974037e-82,unadj_loggap=0.5656
A1_pair_level,TCGA-KIRC,kf,5321,OLS log ~ is_TT + admix,TT vs NN,0.5995,0.0154,1.9602022106045603e-293,unadj_loggap=0.4794
A1_pair_level,TCGA-KIRC,kn,5321,OLS log ~ is_TT + admix,TT vs NN,1.3028,0.0227,0.0,unadj_loggap=1.1884
A1_pair_level,TCGA-BRCA,kf,7886,OLS log ~ is_TT + admix,TT vs NN,0.8237,0.0147,0.0,unadj_loggap=0.8269
A1_pair_level,TCGA-BRCA,kn,7886,OLS log ~ is_TT + admix,TT vs NN,0.8563,0.0185,0.0,unadj_loggap=0.9931
A2_pertumor,TCGA-LUAD,kf,493,linregress kf ~ admix,,-0.1513,,0.0007505502427938119,r2=2.29%
A2_pertumor,TCGA-LUSC,kf,567,linregress kf ~ admix,,-0.1771,,2.2232997653178833e-05,r2=3.14%
A2_pertumor,TCGA-LIHC,kf,365,linregress kf ~ admix,,-0.2671,,2.2255743600591117e-07,r2=7.13%
A2_pertumor,TCGA-KIRC,kf,746,linregress kf ~ admix,,-0.1816,,5.894281439898491e-07,r2=3.30%
A2_pertumor,TCGA-BRCA,kf,1010,linregress kf ~ admix,,-0.1524,,1.145597316081065e-06,r2=2.32%
A3_luad_ancova,TCGA-LUAD,kf,492,OLS kf ~ group + admix_z,EGFR - WT,-0.0048,0.0062,0.43709052935359527,
A3_luad_ancova,TCGA-LUAD,kf,492,OLS kf ~ group + admix_z,KRAS - WT,0.0124,0.0047,0.009211506012927128,
A3_luad_ancova,TCGA-LUAD,kf,492,OLS kf ~ group + admix_z,KRAS - EGFR,0.0172,0.0069,0.012939079907415612,
B_panel,TCGA-LUAD,kf_panel,7260,KRAS-KRAS core panel,,300.0,,,top-300 by frequency (50% rule gave <50 genes)
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Estrogen Response Late,10.0,,0.004884899009392869,"q=0.244, set_size=165"
