section,cancer,metric,n,pearson_r,p,slope_per_SD_admix,r2_pct,test,stat,comparison,se
A_regression,TCGA-LUAD,kn,493,-0.4198,1.824929715677348e-22,-0.000591,17.62,,,,
A_regression,TCGA-LUAD,omega,493,0.4736,6.357848282682631e-29,18.279641,22.43,,,,
A_regression,TCGA-LUAD,kf,493,-0.1513,0.0007505502427938033,-0.006732,2.29,,,,
A_regression,TCGA-LUSC,kn,534,-0.236,3.4170248577259836e-08,-0.000304,5.57,,,,
A_regression,TCGA-LUSC,omega,534,0.2441,1.1036561724723784e-08,7.392406,5.96,,,,
A_regression,TCGA-LUSC,kf,534,-0.2204,2.6931870581458713e-07,-0.010151,4.86,,,,
A_regression,TCGA-LIHC,kn,398,-0.229,3.915816693738629e-06,-0.000548,5.24,,,,
A_regression,TCGA-LIHC,omega,398,0.1705,0.0006343016830671302,3.581254,2.91,,,,
A_regression,TCGA-LIHC,kf,398,-0.2555,2.365315215060935e-07,-0.014065,6.53,,,,
A_regression,TCGA-KIRC,kn,750,-0.2977,8.256756807495052e-17,-0.000748,8.86,,,,
A_regression,TCGA-KIRC,omega,750,0.4036,9.610435395439705e-31,21.33088,16.29,,,,
A_regression,TCGA-KIRC,kf,750,-0.1729,1.9012208063867116e-06,-0.010414,2.99,,,,
A_regression,TCGA-BRCA,kn,1010,-0.3238,4.3413091888515917e-26,-0.000455,10.49,,,,
A_regression,TCGA-BRCA,omega,1010,0.2855,2.15740881476445e-20,12.431158,8.15,,,,
A_regression,TCGA-BRCA,kf,1010,-0.1524,1.1455973160810612e-06,-0.00815,2.32,,,,
B_group_admix,TCGA-LUAD,admix,492,,0.0031400429821216657,,,Kruskal-Wallis,11.527,,
B_group_admix,TCGA-LUAD,admix,311,,,,,group mean,23869.83,,
B_group_admix,TCGA-LUAD,admix,61,,,,,group mean,27064.1,,
B_group_admix,TCGA-LUAD,admix,120,,,,,group mean,25655.37,,
B_luad_unadjusted,TCGA-LUAD,omega,492,,0.008467067996592359,,,Dunn-Holm (unadj),-2.86,EGFR vs KRAS,
B_luad_unadjusted,TCGA-LUAD,omega,492,,3.569276301185198e-07,,,Dunn-Holm (unadj),-5.295,WT vs KRAS,
B_luad_unadjusted,TCGA-LUAD,omega,492,,0.3943482370894955,,,Dunn-Holm (unadj),-0.852,WT vs EGFR,
