level,group,pair_type,n_pairs,kn_median,kn_mean,kn_q25,kn_q75,kn_iqr,floor_frac_kn_lt_1e-4
organ,Lung,GG,4000,1.135448e-03,1.787989e-03,7.681850e-04,1.722523e-03,9.543377e-04,0.0000
organ,Lung,GA,4000,2.069020e-03,2.664031e-03,1.419160e-03,3.118138e-03,1.698978e-03,0.0000
organ,Lung,NN,4503,9.645514e-04,1.321523e-03,5.114891e-04,1.786932e-03,1.275443e-03,0.0000
organ,Lung,TT,4000,2.495087e-03,2.982582e-03,1.892939e-03,3.377526e-03,1.484587e-03,0.0000
organ,Liver,GG,2000,1.975522e-03,2.383606e-03,1.400681e-03,2.977917e-03,1.577236e-03,0.0005
organ,Liver,GA,2000,4.515697e-03,4.971488e-03,3.417866e-03,5.839823e-03,2.421956e-03,0.0000
organ,Liver,NN,1596,1.916639e-03,3.768292e-03,1.292203e-03,6.163743e-03,4.871540e-03,0.0000
organ,Liver,TT,2000,3.980456e-03,5.074973e-03,2.970697e-03,5.673120e-03,2.702423e-03,0.0000
organ,Kidney,GG,378,2.375749e-03,8.076283e-03,1.296384e-03,4.455818e-03,3.159433e-03,0.0000
organ,Kidney,GA,2000,3.720273e-03,6.971884e-03,2.641329e-03,6.070116e-03,3.428787e-03,0.0000
organ,Kidney,NN,3321,7.203153e-04,1.003914e-03,4.895895e-04,1.149945e-03,6.603554e-04,0.0003
organ,Kidney,TT,2000,2.601377e-03,3.304786e-03,1.511061e-03,3.880371e-03,2.369310e-03,0.0000
organ,Breast,GG,2000,9.063911e-04,1.074466e-03,6.320994e-04,1.299350e-03,6.672508e-04,0.0000
organ,Breast,GA,2000,2.026866e-03,2.326633e-03,1.598793e-03,2.661414e-03,1.062622e-03,0.0000
organ,Breast,NN,5886,8.691107e-04,1.273048e-03,5.099352e-04,1.625941e-03,1.116006e-03,0.0000
organ,Breast,TT,2000,2.412305e-03,2.890182e-03,1.819504e-03,3.381490e-03,1.561986e-03,0.0000
cancer,TCGA-LUAD,GG,2000,1.135448e-03,1.787989e-03,7.681850e-04,1.722523e-03,9.543377e-04,0.0000
cancer,TCGA-LUAD,GA,2000,2.041283e-03,2.660556e-03,1.430098e-03,3.131814e-03,1.701717e-03,0.0000
cancer,TCGA-LUAD,NN,2850,9.405771e-04,1.183304e-03,4.625317e-04,1.568410e-03,1.105878e-03,0.0000
cancer,TCGA-LUAD,TT,2000,2.448853e-03,3.015058e-03,1.783547e-03,3.547976e-03,1.764430e-03,0.0000
cancer,TCGA-LUSC,GG,2000,1.135448e-03,1.787989e-03,7.681850e-04,1.722523e-03,9.543377e-04,0.0000
cancer,TCGA-LUSC,GA,2000,2.113092e-03,2.667506e-03,1.410033e-03,3.106964e-03,1.696930e-03,0.0000
cancer,TCGA-LUSC,NN,1653,1.001131e-03,1.559832e-03,5.887636e-04,2.341338e-03,1.752574e-03,0.0000
cancer,TCGA-LUSC,TT,2000,2.532424e-03,2.950106e-03,1.992550e-03,3.243596e-03,1.251047e-03,0.0000
cancer,TCGA-LIHC,GG,2000,1.975522e-03,2.383606e-03,1.400681e-03,2.977917e-03,1.577236e-03,0.0005
cancer,TCGA-LIHC,GA,2000,4.515697e-03,4.971488e-03,3.417866e-03,5.839823e-03,2.421956e-03,0.0000
cancer,TCGA-LIHC,NN,1596,1.916639e-03,3.768292e-03,1.292203e-03,6.163743e-03,4.871540e-03,0.0000
cancer,TCGA-LIHC,TT,2000,3.980456e-03,5.074973e-03,2.970697e-03,5.673120e-03,2.702423e-03,0.0000
cancer,TCGA-KIRC,GG,378,2.375749e-03,8.076283e-03,1.296384e-03,4.455818e-03,3.159433e-03,0.0000
cancer,TCGA-KIRC,GA,2000,3.720273e-03,6.971884e-03,2.641329e-03,6.070116e-03,3.428787e-03,0.0000
cancer,TCGA-KIRC,NN,3321,7.203153e-04,1.003914e-03,4.895895e-04,1.149945e-03,6.603554e-04,0.0003
cancer,TCGA-KIRC,TT,2000,2.601377e-03,3.304786e-03,1.511061e-03,3.880371e-03,2.369310e-03,0.0000
cancer,TCGA-BRCA,GG,2000,9.063911e-04,1.074466e-03,6.320994e-04,1.299350e-03,6.672508e-04,0.0000
cancer,TCGA-BRCA,GA,2000,2.026866e-03,2.326633e-03,1.598793e-03,2.661414e-03,1.062622e-03,0.0000
cancer,TCGA-BRCA,NN,5886,8.691107e-04,1.273048e-03,5.099352e-04,1.625941e-03,1.116006e-03,0.0000
cancer,TCGA-BRCA,TT,2000,2.412305e-03,2.890182e-03,1.819504e-03,3.381490e-03,1.561986e-03,0.0000
