pair_type,cancer,organ,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUAD,Lung,TCGA-44-3918-01,TCGA-55-6969-01,0.003176686090190346,0.2907011530037509,91.5108212616413,91.5108212616413
TT,TCGA-LUAD,Lung,TCGA-38-4626-01,TCGA-64-5781-01,0.00305245340118703,0.13851677264967815,45.378832841743666,45.378832841743666
TT,TCGA-LUAD,Lung,TCGA-49-4487-01,TCGA-55-6969-01,0.0014841322398436313,0.2552292078817461,171.97201235156587,171.97201235156587
TT,TCGA-LUAD,Lung,TCGA-KN-8418-01,TCGA-TQ-A7RP-01,0.003540944326727825,0.39617818555881473,111.88489538465059,111.88489538465059
TT,TCGA-LUAD,Lung,TCGA-49-AAR0-01,TCGA-55-6968-01,0.0032576903644532832,0.2241079818736601,68.7935183524634,68.7935183524634
TT,TCGA-LUAD,Lung,TCGA-55-A4DF-01,TCGA-86-8674-01,0.003293234900110069,0.2576130674681135,78.2249293724852,78.2249293724852
TT,TCGA-LUAD,Lung,TCGA-50-6592-01,TCGA-TQ-A7RR-01,0.0034957638508373327,0.3318131952781755,94.91865281423314,94.91865281423314
TT,TCGA-LUAD,Lung,TCGA-50-6591-01,TCGA-KN-8419-01,0.006051895963935267,0.3569400698418417,58.97987539259351,58.97987539259351
TT,TCGA-LUAD,Lung,TCGA-50-6673-01,TCGA-55-8089-01,0.0013504422492953661,0.3114359186024718,230.61772450097206,230.61772450097206
TT,TCGA-LUAD,Lung,TCGA-44-A47A-01,TCGA-55-A492-01,0.0037485145092825156,0.29112767796501426,77.66481288630187,77.66481288630187
TT,TCGA-LUAD,Lung,TCGA-50-5941-01,TCGA-97-7941-01,0.001261892479748695,0.26036594718897554,206.3297399480717,206.3297399480717
TT,TCGA-LUAD,Lung,TCGA-49-AAR0-01,TCGA-73-4676-01,0.0036180025110801395,0.18087937506320484,49.99426465550022,49.99426465550022
TT,TCGA-LUAD,Lung,TCGA-05-4390-01,TCGA-MP-A4T4-01,0.001954766777003306,0.33436404781708867,171.05060908067765,171.05060908067765
TT,TCGA-LUAD,Lung,TCGA-55-8089-01,TCGA-55-8507-01,0.00195482930629808,0.3426878084564338,175.30318752249124,175.30318752249124
TT,TCGA-LUAD,Lung,TCGA-44-3917-01,TCGA-44-6145-01,0.00989194573882786,0.07056680221540285,7.133763576807147,7.133763576807147
TT,TCGA-LUAD,Lung,TCGA-44-4112-01,TCGA-91-A4BD-01,0.003981920223460318,0.32752375326738925,82.25271599810422,82.25271599810422
TT,TCGA-LUAD,Lung,TCGA-55-7911-01,TCGA-NJ-A7XG-01,0.001639981617837957,0.33437234281829886,203.8878601938924,203.8878601938924
TT,TCGA-LUAD,Lung,TCGA-38-6178-01,TCGA-55-A4DF-01,0.0019464373045062506,0.2837728658196429,145.79090996800798,145.79090996800798
TT,TCGA-LUAD,Lung,TCGA-NJ-A55A-01,TCGA-TQ-A7RM-01,0.0023179783765859495,0.08661917166595773,37.368412294481956,37.368412294481956
TT,TCGA-LUAD,Lung,TCGA-44-A4SS-01,TCGA-N6-A4VF-01,0.0020801986098994574,0.39033858682137007,187.64486475656108,187.64486475656108
TT,TCGA-LUAD,Lung,TCGA-75-5122-01,TCGA-97-A4M2-01,0.0018900029835356657,0.1293107899727058,68.41829938850232,68.41829938850232
TT,TCGA-LUAD,Lung,TCGA-91-7771-01,TCGA-TQ-A7RN-01,0.003230303263024305,0.2527557698594625,78.24521392546443,78.24521392546443
TT,TCGA-LUAD,Lung,TCGA-44-2661-01,TCGA-97-7937-01,0.003234784680306106,0.26341450180535164,81.43185028946807,81.43185028946807
TT,TCGA-LUAD,Lung,TCGA-44-2657-01,TCGA-KN-8426-01,0.004160075223173225,0.17851816363442052,42.912244144049474,42.912244144049474
TT,TCGA-LUAD,Lung,TCGA-73-4668-01,TCGA-73-A9RS-01,0.002015044985581467,0.34850187763833945,172.94992426076027,172.94992426076027
TT,TCGA-LUAD,Lung,TCGA-93-A4JP-01,TCGA-J2-8194-01,0.0013204354335118525,0.30479155265634883,230.82654775911308,230.82654775911308
TT,TCGA-LUAD,Lung,TCGA-38-4627-01,TCGA-97-7941-01,0.001961231105727473,0.23332752421647826,118.96992839603716,118.96992839603716
TT,TCGA-LUAD,Lung,TCGA-05-4250-01,TCGA-05-4410-01,0.0020552158543531785,0.29671199821615524,144.37023614219686,144.37023614219686
TT,TCGA-LUAD,Lung,TCGA-05-4426-01,TCGA-86-A4P8-01,0.0018974480375029618,0.2789831020774685,147.03069415519266,147.03069415519266
TT,TCGA-LUAD,Lung,TCGA-05-4432-01,TCGA-55-A48X-01,0.001519909957096454,0.17287907785929946,113.74297342558201,113.74297342558201
TT,TCGA-LUAD,Lung,TCGA-55-8094-01,TCGA-73-7498-01,0.0031408200237983005,0.20645780574997705,65.73372692023932,65.73372692023932
TT,TCGA-LUAD,Lung,TCGA-49-AAR4-01,TCGA-55-1592-01,0.0021995223686253383,0.2953253586404039,134.26794964807604,134.26794964807604
TT,TCGA-LUAD,Lung,TCGA-MT-A67A-01,TCGA-TQ-A8XE-01,0.006623207509510563,0.49296488747605927,74.4299324410701,74.4299324410701
TT,TCGA-LUAD,Lung,TCGA-55-7727-01,TCGA-TQ-A7RU-01,0.005648668691209587,0.33527027670048093,59.35385752438019,59.35385752438019
TT,TCGA-LUAD,Lung,TCGA-05-5428-01,TCGA-49-AARN-01,0.00842355357235779,0.19058574346899393,22.625337612193537,22.625337612193537
TT,TCGA-LUAD,Lung,TCGA-55-5899-01,TCGA-55-8619-01,0.002094830798948031,0.3444211227615554,164.4147694097846,164.4147694097846
TT,TCGA-LUAD,Lung,TCGA-78-7220-01,TCGA-TQ-A7RV-01,0.0038222022623536876,0.39969022564922685,104.5706632498041,104.5706632498041
TT,TCGA-LUAD,Lung,TCGA-05-5425-01,TCGA-44-6146-01,0.0039639994414524616,0.25624970262657887,64.64423277836931,64.64423277836931
TT,TCGA-LUAD,Lung,TCGA-05-4434-01,TCGA-38-A44F-01,0.001532538322214857,0.23152964454247396,151.07592494513443,151.07592494513443
TT,TCGA-LUAD,Lung,TCGA-44-2656-01,TCGA-75-7031-01,0.0032655208978206503,0.2701410432701482,82.72525325145996,82.72525325145996
TT,TCGA-LUAD,Lung,TCGA-05-5715-01,TCGA-78-7535-01,0.003932034755601448,0.2840422577205026,72.237982463371,72.237982463371
TT,TCGA-LUAD,Lung,TCGA-55-A4DF-01,TCGA-86-8668-01,0.0027170933533157996,0.327513516482687,120.53819059363806,120.53819059363806
TT,TCGA-LUAD,Lung,TCGA-05-5429-01,TCGA-78-7542-01,0.003503795790983942,0.3728917933986709,106.42509313990436,106.42509313990436
TT,TCGA-LUAD,Lung,TCGA-05-4417-01,TCGA-44-6778-01,0.001349136036665644,0.2814318862337464,208.60156321174125,208.60156321174125
TT,TCGA-LUAD,Lung,TCGA-64-1678-01,TCGA-97-7554-01,0.011674534398451675,0.2432764506266902,20.838214383860528,20.838214383860528
TT,TCGA-LUAD,Lung,TCGA-73-7498-01,TCGA-MP-A5C7-01,0.0008854666161274873,0.22981262779761605,259.5384440383331,259.5384440383331
TT,TCGA-LUAD,Lung,TCGA-55-7727-01,TCGA-73-4675-01,0.004520523500809403,0.36056530203546083,79.76184660270019,79.76184660270019
TT,TCGA-LUAD,Lung,TCGA-55-1594-01,TCGA-TQ-A7RS-01,0.004087155884826039,0.34161066790157163,83.5815118209301,83.5815118209301
TT,TCGA-LUAD,Lung,TCGA-49-4501-01,TCGA-75-5146-01,0.0015951477814057974,0.24053755285539052,150.79327173273296,150.79327173273296
TT,TCGA-LUAD,Lung,TCGA-50-5935-01,TCGA-55-7913-01,0.001809061444884352,0.2597946547620644,143.6074244447083,143.6074244447083
TT,TCGA-LUAD,Lung,TCGA-50-5072-01,TCGA-TQ-A7RN-01,0.003929366166431898,0.21725290347336348,55.289554159988676,55.289554159988676
TT,TCGA-LUAD,Lung,TCGA-50-6592-01,TCGA-91-6847-01,0.002368272328706199,0.26015157482194556,109.84867393357077,109.84867393357077
TT,TCGA-LUAD,Lung,TCGA-49-AARN-01,TCGA-55-8619-01,0.0009732817892598213,0.2552555447028285,262.26273574578005,262.26273574578005
TT,TCGA-LUAD,Lung,TCGA-64-1680-01,TCGA-97-8174-01,0.003042434406630097,0.23830986922507558,78.32867939757348,78.32867939757348
TT,TCGA-LUAD,Lung,TCGA-44-A47B-01,TCGA-50-5068-01,0.009538729306130481,0.23959543376210674,25.118170992452868,25.118170992452868
