model,covariate,n,events,coef,se,HR,HR_lower,HR_upper,z,p,zph_GLOBAL_p
M1_omega_full_exCC,z_omega,272,79,0.0781404921602753,0.107463056926245,1.08127455859805,0.875917623924142,1.33477696890439,0.727138184929036,0.467141308990992,0.0732448839156798
M1_omega_full_exCC,stage_f2,272,79,0.0401869016977768,0.307502034972596,1.04100532167321,0.569779399194749,1.90195026581075,0.13068824634399,0.896021930653556,0.0732448839156798
M1_omega_full_exCC,stage_f3,272,79,0.705397842152885,0.264400942751478,2.02465201663141,1.20584614661795,3.39945174593521,2.66790970868783,0.007632476667743,0.0732448839156798
M1_omega_full_exCC,stage_f4,272,79,1.85090413677204,0.630565618011447,6.3655722695389,1.84969032942744,21.9066454930678,2.93530773626551,0.0033321703879886,0.0732448839156798
M1_omega_full_exCC,grade_ord,272,79,0.368403488757876,0.170024469110019,1.44542513412177,1.03578713316934,2.01706871175176,2.16676746991923,0.0302525890433107,0.0732448839156798
M1_omega_full_exCC,age,272,79,0.0245281759441302,0.0101859541391207,1.02483146629454,1.00457450392662,1.045496904612,2.40803911043796,0.0160384627505476,0.0732448839156798
M1_omega_full_exCC,male,272,79,-0.172943182712907,0.24193297704278,0.841185407359678,0.523549810401299,1.35152926330448,-0.714839228727079,0.474708392021945,0.0732448839156798
M2_omega_stage_grade_exCC,z_omega,272,79,-0.0009065444224046,0.103574916048246,0.999093866364849,0.815536051884553,1.22396618947897,-0.0087525479816214,0.993016566261322,0.0225537053827902
M2_omega_stage_grade_exCC,stage_f2,272,79,0.121855491334343,0.305163390472014,1.12959085431817,0.621105848321247,2.05436078505462,0.399312286922303,0.689663114798268,0.0225537053827902
M2_omega_stage_grade_exCC,stage_f3,272,79,0.786781570311326,0.262521782844981,2.19631634925822,1.312912997538,3.67412426799386,2.99701442594545,0.0027263781134348,0.0225537053827902
M2_omega_stage_grade_exCC,stage_f4,272,79,1.90553928517528,0.613063988971086,6.72303228182851,2.02173478351702,22.3566233469454,3.10822250116725,0.0018821630837471,0.0225537053827902
M2_omega_stage_grade_exCC,grade_ord,272,79,0.305061651523583,0.165174099132248,1.35670864358285,0.981499638131961,1.87535305369612,1.84690973419104,0.0647602237152335,0.0225537053827902
M3_omega_unadjusted_exCC,z_omega,294,93,0.0562270116218314,0.09938823986903,1.05783779795537,0.870601994421209,1.28534142346757,0.565731033127512,0.571576635788651,0.194330627114768
M4_kf_full_exCC,z_kf,272,79,0.0713397454412915,0.122429236021213,1.07394603216283,0.844832287365095,1.36519413053619,0.582701875464865,0.560094010476507,0.0912145778610182
M4_kf_full_exCC,stage_f2,272,79,0.0180264897496292,0.30720856462696,1.01818994762935,0.557612371538388,1.859196141207,0.0586783437223457,0.953208308816469,0.0912145778610182
M4_kf_full_exCC,stage_f3,272,79,0.702395244557893,0.264239876666508,2.0185819189464,1.20261049079325,3.38819010368822,2.65817276869369,0.0078565605756363,0.0912145778610182
M4_kf_full_exCC,stage_f4,272,79,1.78023938685757,0.628506879747696,5.93127611820694,1.73046219664222,20.3298497122186,2.83248989664554,0.0046187025759172,0.0912145778610182
M4_kf_full_exCC,grade_ord,272,79,0.345095492896092,0.169335533049525,1.41212476111244,1.01329150386369,1.96793946593192,2.03793903548385,0.0415560301395747,0.0912145778610182
M4_kf_full_exCC,age,272,79,0.0220192845383622,0.0098957544331006,1.02226349816,1.00262740785163,1.04228415410021,2.22512438917331,0.026072888887095,0.0912145778610182
M4_kf_full_exCC,male,272,79,-0.181190322969499,0.242093812054875,0.834276561592315,0.519086119800353,1.34085145927229,-0.748430211543071,0.454200705268699,0.0912145778610182
M5_kn_full_exCC,z_kn,272,79,-0.0746443792966654,0.0860170068564362,0.928073469790673,0.784087533655601,1.09850026732809,-0.867786290462863,0.385511336533533,0.141132024830745
M5_kn_full_exCC,stage_f2,272,79,0.0349180373079093,0.307527799801751,1.0355348300988,0.566756582865625,1.89205104407582,0.11354432779872,0.909599021785008,0.141132024830745
M5_kn_full_exCC,stage_f3,272,79,0.725391498689811,0.26437474751583,2.06553959773952,1.23026121300844,3.46792517289632,2.74380025136999,0.0060732480303292,0.141132024830745
M5_kn_full_exCC,stage_f4,272,79,1.84199587878554,0.628750903055675,6.30911793774316,1.83981818373193,21.6352732592365,2.92961150406878,0.0033938602389,0.141132024830745
M5_kn_full_exCC,grade_ord,272,79,0.378780947969958,0.17089862706133,1.46050307453728,1.04480032846676,2.04160467087822,2.21640720281518,0.0266636268473274,0.141132024830745
M5_kn_full_exCC,age,272,79,0.0253782511725369,0.0103760846554171,1.02570302052818,1.00505422868653,1.04677604082671,2.44584079788589,0.0144514797426757,0.141132024830745
M5_kn_full_exCC,male,272,79,-0.151874206440155,0.242608645825387,0.859096342731432,0.53398986767361,1.38213582461763,-0.626004922138938,0.531311712844781,0.141132024830745
M6_tnomega_full_exCC,z_tnomega,268,77,-0.0490166242015204,0.113208955426552,0.952165300579094,0.762691160546596,1.18871019689953,-0.432974794412987,0.665033081435428,0.0847855568521033
M6_tnomega_full_exCC,stage_f2,268,77,-0.0543450470657136,0.314579420739575,0.947105254226439,0.5112434507415,1.75456206095613,-0.17275461610918,0.862844311675953,0.0847855568521033
M6_tnomega_full_exCC,stage_f3,268,77,0.702796697624247,0.263770453005102,2.01939244753115,1.20420079898723,3.38643344247531,2.66442541087289,0.0077119966885458,0.0847855568521033
M6_tnomega_full_exCC,stage_f4,268,77,1.47031152988175,0.75483121305675,4.3505902688424,0.99091109398144,19.1012451089791,1.94786795305881,0.0514307652500602,0.0847855568521033
M6_tnomega_full_exCC,grade_ord,268,77,0.304420758363249,0.171652531472634,1.35583941686309,0.968494939558924,1.89810028863636,1.77347083524825,0.0761507204295317,0.0847855568521033
M6_tnomega_full_exCC,age,268,77,0.0227969231593038,0.0100715606774822,1.02305875890961,1.00306170443543,1.04345447498743,2.26349459525896,0.023605217407024,0.0847855568521033
M6_tnomega_full_exCC,male,268,77,-0.226154738690119,0.243295107007708,0.797594673361352,0.495095608767016,1.28491800716772,-0.929549062747713,0.352604611211249,0.0847855568521033
M1_omega_full_withCC_ref,z_omega,304,101,0.0610034076153374,0.0963042560433911,1.06290253614401,0.880073840133343,1.2837125134525,0.63344456539752,0.526443370355803,0.249999133463558
M1_omega_full_withCC_ref,stage_f2,304,101,0.272003344232258,0.284564429024491,1.31259139091424,0.751463464350052,2.29272112516119,0.955858556056027,0.339143699767978,0.249999133463558
M1_omega_full_withCC_ref,stage_f3,304,101,1.11563259163716,0.231609518335831,3.05149792081465,1.93805768301308,4.8046245694088,4.81686849337302,1.45828728344095e-06,0.249999133463558
M1_omega_full_withCC_ref,stage_f4,304,101,1.79887402863404,0.622661206949777,6.04283956806128,1.78332658557376,20.4762887183553,2.8890093176772,0.003864576226595,0.249999133463558
M1_omega_full_withCC_ref,grade_ord,304,101,0.11347722928166,0.144753452647638,1.1201663816088,0.843467148381812,1.48763674423341,0.783934525954888,0.433078529613852,0.249999133463558
M1_omega_full_withCC_ref,age,304,101,0.0097350726571856,0.0080502350944186,1.0097826126201,0.99397512459709,1.02584149192185,1.20929047947124,0.226551267204596,0.249999133463558
M1_omega_full_withCC_ref,male,304,101,-0.0255222738322786,0.217607222972339,0.974800666177385,0.636338519656091,1.4932874710986,-0.117285968193817,0.906633444043738,0.249999133463558
M2_omega_stage_grade_withCC_ref,z_omega,304,101,0.0336163174530289,0.0939458922551057,1.0341877308132,0.860265472975958,1.24327233413731,0.357826368413696,0.720473256231882,0.115828119025928
M2_omega_stage_grade_withCC_ref,stage_f2,304,101,0.297644935949807,0.283211560230441,1.3466835440675,0.773028376027021,2.34604139266268,1.05096322942334,0.293275478212645,0.115828119025928
M2_omega_stage_grade_withCC_ref,stage_f3,304,101,1.13002041036445,0.230660264071805,3.09571968424688,1.96980509266003,4.8651921954837,4.89906839789565,9.62921222231245e-07,0.115828119025928
M2_omega_stage_grade_withCC_ref,stage_f4,304,101,1.81711597879715,0.608625013638112,6.15408432205368,1.86681332318022,20.2873813748171,2.98560844210982,0.0028301477155026,0.115828119025928
