model,covariate,chisq,df,zph_p
M1_omega_full_exCC,z_omega,1.43009243609053,1,0.231749353459264
M1_omega_full_exCC,stage_f,8.75083759278619,3,0.032793790885274
M1_omega_full_exCC,grade_ord,2.8837946712542,1,0.0894749408159442
M1_omega_full_exCC,age,0.0339050165292606,1,0.853909001990322
M1_omega_full_exCC,male,0.487136461586573,1,0.485207451553792
M1_omega_full_exCC,GLOBAL,12.9536864702071,7,0.0732448839156798
M2_omega_stage_grade_exCC,z_omega,2.50812470662775,1,0.113260637912071
M2_omega_stage_grade_exCC,stage_f,9.12364483081032,3,0.0276913391071585
M2_omega_stage_grade_exCC,grade_ord,2.98502506156641,1,0.0840379863814766
M2_omega_stage_grade_exCC,GLOBAL,13.0895697948419,5,0.0225537053827902
M3_omega_unadjusted_exCC,z_omega,1.6844769849977,1,0.194330627114768
M3_omega_unadjusted_exCC,GLOBAL,1.6844769849977,1,0.194330627114768
M4_kf_full_exCC,z_kf,2.05212451374706,1,0.15199396420439
M4_kf_full_exCC,stage_f,8.50500553782478,3,0.0366501602980919
M4_kf_full_exCC,grade_ord,2.92331695274614,1,0.0873082232787074
M4_kf_full_exCC,age,0.0001790458412486,1,0.989323983880261
M4_kf_full_exCC,male,0.422153870660927,1,0.515864256675152
M4_kf_full_exCC,GLOBAL,12.2966903969221,7,0.0912145778610182
M5_kn_full_exCC,z_kn,0.173299915417452,1,0.677195567103002
M5_kn_full_exCC,stage_f,8.80622078990949,3,0.0319813792989099
M5_kn_full_exCC,grade_ord,2.78905169556186,1,0.094910378107854
M5_kn_full_exCC,age,0.0907156188473097,1,0.763269358200351
M5_kn_full_exCC,male,0.422790702517548,1,0.515547812516451
M5_kn_full_exCC,GLOBAL,10.9428353667694,7,0.141132024830745
M6_tnomega_full_exCC,z_tnomega,0.32392380814548,1,0.569259067076335
M6_tnomega_full_exCC,stage_f,9.56722848680175,3,0.0226268132323007
M6_tnomega_full_exCC,grade_ord,2.74546639923392,1,0.0975306156552438
M6_tnomega_full_exCC,age,0.0006827489990139,1,0.979154074527665
M6_tnomega_full_exCC,male,0.211477667982377,1,0.645611680204489
M6_tnomega_full_exCC,GLOBAL,12.5170982991973,7,0.0847855568521033
M1_omega_full_withCC_ref,z_omega,3.29726478944147,1,0.0693953467989781
M1_omega_full_withCC_ref,stage_f,4.68095845997098,3,0.196706083263388
M1_omega_full_withCC_ref,grade_ord,0.105558167577426,1,0.745258902889141
M1_omega_full_withCC_ref,age,0.244118142915951,1,0.621247468951536
M1_omega_full_withCC_ref,male,1.75408599737491,1,0.185363889047964
M1_omega_full_withCC_ref,GLOBAL,9.03715971766323,7,0.249999133463558
M2_omega_stage_grade_withCC_ref,z_omega,3.86437005676993,1,0.0493217055695976
M2_omega_stage_grade_withCC_ref,stage_f,4.98235607310615,3,0.173093687801847
M2_omega_stage_grade_withCC_ref,grade_ord,0.154044408791563,1,0.694699954890036
M2_omega_stage_grade_withCC_ref,GLOBAL,8.83502615608264,5,0.115828119025928
M3_omega_unadjusted_withCC_ref,z_omega,2.87541730088766,1,0.0899416575858805
M3_omega_unadjusted_withCC_ref,GLOBAL,2.87541730088766,1,0.0899416575858805
M4_kf_full_withCC_ref,z_kf,2.11152926968775,1,0.146193157921337
M4_kf_full_withCC_ref,stage_f,4.64182640692282,3,0.199983228307057
M4_kf_full_withCC_ref,grade_ord,0.0947198637287011,1,0.758260452831753
M4_kf_full_withCC_ref,age,0.0271056669901907,1,0.869228929345045
M4_kf_full_withCC_ref,male,1.72624898871972,1,0.188890646090202
M4_kf_full_withCC_ref,GLOBAL,8.48412042565032,7,0.291843786925235
M5_kn_full_withCC_ref,z_kn,0.47588068641016,1,0.490294145117268
M5_kn_full_withCC_ref,stage_f,4.66868174253391,3,0.197728789370557
M5_kn_full_withCC_ref,grade_ord,0.0998337170435909,1,0.752029271391905
M5_kn_full_withCC_ref,age,0.280556372669057,1,0.596336782102922
M5_kn_full_withCC_ref,male,1.63015704727295,1,0.201681328085781
M5_kn_full_withCC_ref,GLOBAL,6.33447945216657,7,0.501281204292979
M6_tnomega_full_withCC_ref,z_tnomega,0.552278282548459,1,0.457388280543275
M6_tnomega_full_withCC_ref,stage_f,5.659393891308,3,0.129409901233352
M6_tnomega_full_withCC_ref,grade_ord,0.0731100770878643,1,0.786861192720155
M6_tnomega_full_withCC_ref,age,0.112599572921114,1,0.737203749121475
M6_tnomega_full_withCC_ref,male,1.37226623505513,1,0.241422894517217
M6_tnomega_full_withCC_ref,GLOBAL,7.44190164198474,7,0.384361937248216
