section,background,metric,auc,delong_ci_lo,delong_ci_hi,clusterboot_ci_lo,clusterboot_ci_hi,specificity,sensitivity,n_signal,n_neutral,note
A4a_auc_ci,marrow_B_cell,omega,0.8042,0.7703,0.838,0.7706,0.8363,,,600,250,"signal = delta>=0.25 (600 reps, 3 module seeds); neutral = neutral_hk+neutral_global (250); cluster bootstrap resamples the 3 module-seed clusters (signal side) + iid neutral, B=5000, seed=42"
A4a_auc_ci,marrow_B_cell,k_f,0.7159,0.6773,0.7545,0.6792,0.7507,,,600,250,"signal = delta>=0.25 (600 reps, 3 module seeds); neutral = neutral_hk+neutral_global (250); cluster bootstrap resamples the 3 module-seed clusters (signal side) + iid neutral, B=5000, seed=42"
A4a_auc_ci,marrow_B_cell,k_n,0.2127,0.1749,0.2504,0.1784,0.2495,,,600,250,"signal = delta>=0.25 (600 reps, 3 module seeds); neutral = neutral_hk+neutral_global (250); cluster bootstrap resamples the 3 module-seed clusters (signal side) + iid neutral, B=5000, seed=42"
A4a_auc_ci,marrow_B_cell,k_total,0.6401,0.6006,0.6796,0.605,0.6769,,,600,250,"signal = delta>=0.25 (600 reps, 3 module seeds); neutral = neutral_hk+neutral_global (250); cluster bootstrap resamples the 3 module-seed clusters (signal side) + iid neutral, B=5000, seed=42"
A4a_auc_ci,marrow_B_cell,cosine,0.5842,0.5431,0.6253,0.5495,0.6181,,,600,250,"signal = delta>=0.25 (600 reps, 3 module seeds); neutral = neutral_hk+neutral_global (250); cluster bootstrap resamples the 3 module-seed clusters (signal side) + iid neutral, B=5000, seed=42"
A4a_auc_ci,marrow_B_cell,kf_over_kt,0.437,0.391,0.4831,0.3803,0.493,,,600,250,"signal = delta>=0.25 (600 reps, 3 module seeds); neutral = neutral_hk+neutral_global (250); cluster bootstrap resamples the 3 module-seed clusters (signal side) + iid neutral, B=5000, seed=42"
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,omega,0.8042,,,,,0.9,0.42,600,250,threshold = neutral 90% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,omega,0.8042,,,,,0.95,0.2733,600,250,threshold = neutral 95% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,omega,0.8042,,,,,0.99,0.0383,600,250,threshold = neutral 99% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_f,0.7159,,,,,0.9,0.3233,600,250,threshold = neutral 90% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_f,0.7159,,,,,0.95,0.1517,600,250,threshold = neutral 95% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_f,0.7159,,,,,0.99,0.0483,600,250,threshold = neutral 99% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_n,0.2127,,,,,0.9,0.2967,600,250,threshold = neutral 90% quantile; orientation lower=signal (score negated)
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_n,0.2127,,,,,0.95,0.15,600,250,threshold = neutral 95% quantile; orientation lower=signal (score negated)
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_n,0.2127,,,,,0.99,0.05,600,250,threshold = neutral 99% quantile; orientation lower=signal (score negated)
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_total,0.6401,,,,,0.9,0.25,600,250,threshold = neutral 90% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_total,0.6401,,,,,0.95,0.25,600,250,threshold = neutral 95% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,k_total,0.6401,,,,,0.99,0.25,600,250,threshold = neutral 99% quantile; orientation higher=signal
