benchmark,scenario,omega,k_f,k_n,other_metrics,omega_adds_value_over_kf,source
GT simulation (marrow B cell),AUC signal vs neutral,0.8042,0.7159,0.2127,"k_total 0.6401, cosine 0.5842",YES (detection): +0.09 AUC over k_f,groundtruth_simulation_metrics.json
GT simulation (keratinocyte),AUC signal vs neutral,0.9076,0.8585,0.2072,"k_total 0.6492, cosine 0.6078",YES (detection): +0.05 AUC over k_f,groundtruth_simulation_background2_metrics.json
GT simulation (marrow),type-I error under neutral HK drift,0.0,0.006666666666666667,0.8133333333333334,"k_total 0.5533333333333333, cosine 0.58",NO extra specificity over k_f here (both ~0); both far better than k_n/k_total/cosine,groundtruth_simulation_metrics.json
GT simulation (marrow),false detection under 4:1 imbalance (eta=1.0),0.0,0.38,1.0,"k_total 1.0, cosine 1.0","YES (robustness): k_f false-fires at 0.38, omega at 0.00",groundtruth_simulation_metrics.json
GT simulation (marrow),false detection under 2x depth difference,0.0,0.02,0.08,"k_total 0.98, cosine 0.66",Marginal over k_f (0.00 vs 0.02); both suppress the depth artefact that fires k_total (0.98),groundtruth_simulation_metrics.json
Kang IFN-beta PBMC (B cells),within-type stim-vs-ctrl AUC (n_donors=6),0.922,1.0,,raw_js 1.0; omega_cal stim 3.44 vs donor 1.86,NO (omega more conservative by design: neutral/compositional shift inflates k_f but is discounted by omega),kang_ifnb_demo_summary.json
Kang IFN-beta PBMC (CD14+ Monocytes),within-type stim-vs-ctrl AUC (n_donors=8),0.551,0.984,,raw_js 1.0; omega_cal stim 2.28 vs donor 2.07,NO (omega more conservative by design: neutral/compositional shift inflates k_f but is discounted by omega),kang_ifnb_demo_summary.json
Kang IFN-beta PBMC (CD4 T cells),within-type stim-vs-ctrl AUC (n_donors=8),0.703,0.743,,raw_js 0.792; omega_cal stim 1.76 vs donor 0.92,no material difference,kang_ifnb_demo_summary.json
Kang IFN-beta PBMC (CD8 T cells),within-type stim-vs-ctrl AUC (n_donors=4),0.792,0.854,,raw_js 0.875; omega_cal stim 3.23 vs donor 2.00,NO (omega more conservative by design: neutral/compositional shift inflates k_f but is discounted by omega),kang_ifnb_demo_summary.json
Kang IFN-beta PBMC (FCGR3A+ Monocytes),within-type stim-vs-ctrl AUC (n_donors=5),0.8,1.0,,raw_js 1.0; omega_cal stim 3.09 vs donor 2.68,NO (omega more conservative by design: neutral/compositional shift inflates k_f but is discounted by omega),kang_ifnb_demo_summary.json
Kang IFN-beta PBMC (NK cells),within-type stim-vs-ctrl AUC (n_donors=6),0.839,0.994,,raw_js 1.0; omega_cal stim 2.88 vs donor 1.48,NO (omega more conservative by design: neutral/compositional shift inflates k_f but is discounted by omega),kang_ifnb_demo_summary.json
Kang technical replicates (30 cross-lane pairs),pairs exceeding own permutation-null 95th percentile,0/30,0/30,1/30,"raw_js 11/30, cosine 7/30",NO extra over k_f under pure technical null (both 0/30); raw_js/cosine anti-conservative,nc49_pilot_kang_techrep.csv
Human Brain Atlas microglia (35 functional vs 40 neutral pairs),AUC functional > neutral,1.0,1.0,0.891,"raw_js 1.000, cosine 1.000, jaccard 1.000, spearman 0.901",NO separation from k_f at this effect size (both perfect); omega separates at mean level (21.83+/-7.20 vs 1.30+/-0.36) as do k_f/raw_js,nc50_brain_atlas_microglia.txt
TCGA 5 cancers (paired NN vs TT),median omega NN/TT ratio,1.23-2.32x elevation,n/a,TT/NN k_n ratio 2.18-3.70x (reversed),per-cancer ratios in phase34_v2_summary.csv,YES (direction): omega elevated tumour-adjacent vs tumour while k_n moves oppositely; k_f not directly comparable in bulk design,phase34_v2_summary.csv; tcga_composition_check.txt
Mouse pilot (Tabula Muris),category mean omega,control 6.67; same-CT 21.31; diff-CT 43.19; cross-tissue 27.31,n/a,n/a,n=15 pairs,Ordinal separation matches biological expectation; k_f-only ranking not calibrated against split-half null (6.67) without omega,mouse_pilot_v2_results.csv
