test_id,description,effect,p_value
C3_dcomp_TT_gt_NN_myeloid,|Delta myeloid|: TT median=0.748 NN median=0.747,1.0014091330931247,0.9817331562081132
C3_dcomp_TT_gt_NN_overall3,|Delta overall3|: TT median=0.814 NN median=0.624,1.3048013563490406,2.6279188376738306e-135
C3_dcomp_TT_gt_NN_overall4,|Delta overall4|: TT median=0.831 NN median=0.683,1.2164016532434578,4.669999546365399e-68
C4_attenuation_TCGA-LUAD,TT coef +1.0767 -> 3-panel +1.0599 (att +1.6%) -> 4-panel(+myeloid) +1.0978 (att -2.0%),-0.01955836271858069,
C4_attenuation_TCGA-LUSC,TT coef +0.8489 -> 3-panel +0.8149 (att +4.0%) -> 4-panel(+myeloid) +0.9250 (att -9.0%),-0.08969613392057085,
C4_attenuation_TCGA-LIHC,TT coef +0.5208 -> 3-panel +0.2590 (att +50.3%) -> 4-panel(+myeloid) +0.2912 (att +44.1%),0.44088122997972834,
C4_attenuation_TCGA-KIRC,TT coef +1.1805 -> 3-panel +0.9067 (att +23.2%) -> 4-panel(+myeloid) +0.9484 (att +19.7%),0.19665088010228615,
C4_attenuation_TCGA-BRCA,TT coef +0.9931 -> 3-panel +1.1344 (att -14.2%) -> 4-panel(+myeloid) +1.1514 (att -15.9%),-0.15947522708959339,
C4_attenuation_pooled,TT coef +1.0277 -> 3-panel +0.9714 (att +5.5%) -> 4-panel(+myeloid) +1.0368 (att -0.9%),-0.008888454060352435,
C5_spearman_kn_dcomp4_TT_pooled,rho(4-panel)=0.380 (n=9709),0.3803121244161533,0.0
C5_spearman_kn_dcomp4_TT_TCGA-LUAD,rho(4-panel)=0.352 (n=2000),0.3520903630225908,1.9100711543367623e-59
C5_spearman_kn_dcomp4_TT_TCGA-LUSC,rho(4-panel)=0.284 (n=2000),0.2838874324718581,2.191461673091045e-38
C5_spearman_kn_dcomp4_TT_TCGA-LIHC,rho(4-panel)=0.235 (n=1709),0.2353213439646176,6.213683997720791e-23
C5_spearman_kn_dcomp4_TT_TCGA-KIRC,rho(4-panel)=0.513 (n=2000),0.5131044832761208,9.509674376571993e-135
C5_spearman_kn_dcomp4_TT_TCGA-BRCA,rho(4-panel)=0.223 (n=2000),0.22277444269361063,6.534190371054032e-24
BOOT_attenuation_pooled_4panel,"median -0.8%, 95% CI [-4.3%, +2.5%] (B=1000, sample-level cluster bootstrap)",-0.007772273981060951,
BOOT_attenuation_pooled_3panel,"median +5.4%, 95% CI [+2.3%, +8.2%] (B=1000)",0.05354109788302169,
BOOT_attenuation_TCGA-LUAD_4panel,"median -2.0%, 95% CI [-8.0%, +5.1%]",-0.02025497862556591,
BOOT_attenuation_TCGA-LUSC_4panel,"median -9.8%, 95% CI [-26.6%, +6.1%]",-0.09785413444194868,
BOOT_attenuation_TCGA-LIHC_4panel,"median +43.4%, 95% CI [+29.9%, +60.0%]",0.43370262946992333,
BOOT_attenuation_TCGA-KIRC_4panel,"median +19.5%, 95% CI [+14.5%, +25.3%]",0.19522028276913156,
BOOT_attenuation_TCGA-BRCA_4panel,"median -16.1%, 95% CI [-24.5%, -7.3%]",-0.16089797843496434,
