cancer,stratification,group,n,omega_mean,omega_std,kf_mean,kf_std,kn_mean,kn_std
LIHC,Edmondson_grade,G1,39,78.7874,18.4184,0.290893,0.048573,0.00454313,0.00159477
LIHC,Edmondson_grade,G2,134,75.7976,21.4199,0.28976,0.056944,0.00486427,0.0025635
LIHC,Edmondson_grade,G3,105,77.6077,22.3158,0.311627,0.054374,0.00511122,0.00265202
LIHC,Edmondson_grade,G4,11,72.2876,30.2495,0.311917,0.052674,0.00609047,0.00392558
LIHC,Edmondson_grade,TEST_omega,289,13260.0,,0.0,,,
LIHC,Edmondson_grade,TEST_kf,289,16089.0,,8.414824392843911e-12,,,
LIHC,Edmondson_grade,TEST_kn,289,14185.0,,0.0,,,
BRCA,PAM50,Basal-like,97,116.7379,35.1289,0.323802,0.052,0.00309797,0.00089634
BRCA,PAM50,HER2-enriched,55,121.7813,38.2959,0.305163,0.040211,0.00285797,0.00090565
BRCA,PAM50,Luminal A,224,142.0431,43.3137,0.279091,0.050745,0.00246911,0.00100655
BRCA,PAM50,Luminal B,123,136.4719,33.1092,0.300107,0.040964,0.00252065,0.00073856
BRCA,PAM50,Normal-like,7,101.8638,58.2903,0.243845,0.082528,0.00363071,0.00271265
BRCA,PAM50,TEST_omega,506,34.1236,,7.029292223182676e-07,,,
BRCA,PAM50,TEST_kf,506,57.8206,,8.32199116335373e-12,,,
BRCA,PAM50,TEST_kn,506,50.0197,,3.5768480389931186e-10,,,
LUAD,mutation,WT,311,115.3734,40.6502,0.281364,0.047265,0.00321749,0.00157566
LUAD,mutation,EGFR,61,122.2156,29.362,0.273216,0.045295,0.00280044,0.00112447
LUAD,mutation,KRAS,120,136.9436,33.0166,0.291893,0.034741,0.00265387,0.00091494
LUAD,mutation,TEST_omega,492,28.1196,,7.832510348041664e-07,,,
LUAD,mutation,TEST_kf,492,8.3856,,0.015103980459083927,,,
LUAD,mutation,TEST_kn,492,16.0022,,0.0003350859307509108,,,
