mapping,cancer,kn_floor,omega_TT_mean,omega_NN_mean,NN_TT_ratio,delta_ratio_vs_1e-4,frac_TT_at_floor,frac_NN_at_floor,n_TT_inf_dropped,n_NN_inf_dropped
linear,TCGA-LUAD,0.0,121.658,299.763,2.464,0.0,0.0,0.0,0.0,0.0
linear,TCGA-LUAD,1e-05,121.658,299.763,2.464,0.0,0.0,0.0,,
linear,TCGA-LUAD,0.0001,121.658,299.763,2.464,0.0,0.0,0.0,,
linear,TCGA-LUAD,0.001,120.994,180.74,1.4938,-0.9702,0.0165,0.52702,,
linear,TCGA-LUSC,0.0,122.675,209.492,1.7077,0.0,0.0,0.0,0.0,0.0
linear,TCGA-LUSC,1e-05,122.675,209.492,1.7077,0.0,0.0,0.0,,
linear,TCGA-LUSC,0.0001,122.675,209.492,1.7077,0.0,0.0,0.0,,
linear,TCGA-LUSC,0.001,122.483,134.63,1.0992,-0.6085,0.006,0.4997,,
linear,TCGA-LIHC,0.0,76.752,85.337,1.1119,0.0,0.0,0.0,0.0,0.0
linear,TCGA-LIHC,1e-05,76.752,85.337,1.1119,0.0,0.0,0.0,,
linear,TCGA-LIHC,0.0001,76.752,85.337,1.1119,0.0,0.0,0.0,,
linear,TCGA-LIHC,0.001,76.533,79.423,1.0378,-0.0741,0.0041,0.12281,,
linear,TCGA-KIRC,0.0,125.78,236.523,1.8804,0.0004,0.0,0.0,0.0,0.0
linear,TCGA-KIRC,1e-05,125.78,236.523,1.8804,0.0004,0.0,0.0,,
linear,TCGA-KIRC,0.0001,125.78,236.461,1.88,0.0,0.0,0.0003,,
linear,TCGA-KIRC,0.001,118.946,141.688,1.1912,-0.6888,0.097,0.69045,,
linear,TCGA-BRCA,0.0,128.235,201.003,1.5675,0.0,0.0,0.0,0.0,0.0
linear,TCGA-BRCA,1e-05,128.235,201.003,1.5675,0.0,0.0,0.0,,
linear,TCGA-BRCA,0.0001,128.235,201.003,1.5675,0.0,0.0,0.0,,
linear,TCGA-BRCA,0.001,126.982,115.484,0.9095,-0.658,0.027,0.55522,,
softmax,TCGA-LUAD,0.0,105.769,277.153,2.6204,0.0,0.0,0.0,0.0,0.0
softmax,TCGA-LUAD,1e-05,105.769,277.153,2.6204,0.0,0.0,0.0,,
softmax,TCGA-LUAD,0.0001,105.769,277.153,2.6204,0.0,0.0,0.0,,
softmax,TCGA-LUAD,0.001,105.769,227.906,2.1548,-0.4656,0.0,0.29614,,
softmax,TCGA-LUSC,0.0,104.938,197.824,1.8852,0.0,0.0,0.0,0.0,0.0
softmax,TCGA-LUSC,1e-05,104.938,197.824,1.8852,0.0,0.0,0.0,,
softmax,TCGA-LUSC,0.0001,104.938,197.824,1.8852,0.0,0.0,0.0,,
softmax,TCGA-LUSC,0.001,104.938,176.712,1.684,-0.2012,0.0,0.17967,,
softmax,TCGA-LIHC,0.0,68.041,87.482,1.2857,-0.0,0.0,0.0,0.0,0.0
softmax,TCGA-LIHC,1e-05,68.041,87.482,1.2857,-0.0,0.0,0.0,,
softmax,TCGA-LIHC,0.0001,68.041,87.482,1.2857,-0.0,0.0,0.0,,
softmax,TCGA-LIHC,0.001,68.02,86.439,1.2708,-0.0149,0.00117,0.00752,,
softmax,TCGA-KIRC,0.0,111.827,228.769,2.0457,-0.0,0.0,0.0,0.0,0.0
softmax,TCGA-KIRC,1e-05,111.827,228.769,2.0457,-0.0,0.0,0.0,,
softmax,TCGA-KIRC,0.0001,111.827,228.769,2.0457,-0.0,0.0,0.0,,
softmax,TCGA-KIRC,0.001,111.391,193.81,1.7399,-0.3058,0.006,0.27974,,
softmax,TCGA-BRCA,0.0,110.309,192.79,1.7477,-0.0,0.0,0.0,0.0,0.0
softmax,TCGA-BRCA,1e-05,110.309,192.79,1.7477,-0.0,0.0,0.0,,
softmax,TCGA-BRCA,0.0001,110.309,192.79,1.7477,-0.0,0.0,0.0,,
softmax,TCGA-BRCA,0.001,110.254,163.254,1.4807,-0.267,0.0005,0.25059,,
