model,metric,contrast,n,B,seed,obs_coef,perm_p_two_sided,m_median_pairs_per_tumor,rho_intra_tumor,design_effect
B_smoke_adj,omega,EGFR - WT,427,10000.0,42,-3.0767,0.5545445455454454,,,
B_smoke_adj,omega,KRAS - WT,427,10000.0,42,13.8658,0.0006999300069993001,,,
B_smoke_adj,omega,KRAS - EGFR,427,10000.0,42,16.9425,0.0032996700329967,,,
B_smoke_adj,kf,EGFR - WT,427,10000.0,42,-0.0089,0.14998500149985,,,
B_smoke_adj,kf,KRAS - WT,427,10000.0,42,0.0097,0.043995600439956005,,,
B_smoke_adj,kf,KRAS - EGFR,427,10000.0,42,0.0185,0.006799320067993201,,,
B_smoke_adj,kn,EGFR - WT,427,10000.0,42,-0.0002,0.3427657234276572,,,
B_smoke_adj,kn,KRAS - WT,427,10000.0,42,-0.0004,0.013298670132986702,,,
B_smoke_adj,kn,KRAS - EGFR,427,10000.0,42,-0.0002,0.3808619138086191,,,
B_smoke_agesex_adj,omega,EGFR - WT,411,10000.0,42,-3.5224,0.5182481751824818,,,
B_smoke_agesex_adj,omega,KRAS - WT,411,10000.0,42,13.2799,0.000999900009999,,,
B_smoke_agesex_adj,omega,KRAS - EGFR,411,10000.0,42,16.8022,0.005099490050994901,,,
B_smoke_agesex_adj,kf,EGFR - WT,411,10000.0,42,-0.0076,0.24097590240975902,,,
B_smoke_agesex_adj,kf,KRAS - WT,411,10000.0,42,0.0115,0.0192980701929807,,,
B_smoke_agesex_adj,kf,KRAS - EGFR,411,10000.0,42,0.019,0.006999300069993001,,,
B_smoke_agesex_adj,kn,EGFR - WT,411,10000.0,42,-0.0002,0.37036296370362964,,,
B_smoke_agesex_adj,kn,KRAS - WT,411,10000.0,42,-0.0004,0.017998200179982,,,
B_smoke_agesex_adj,kn,KRAS - EGFR,411,10000.0,42,-0.0002,0.43095690430956907,,,
B_smoke_admix_adj,omega,EGFR - WT,427,10000.0,42,-5.3291,0.28147185281471854,,,
B_smoke_admix_adj,omega,KRAS - WT,427,10000.0,42,13.6353,0.00029997000299970003,,,
B_smoke_admix_adj,omega,KRAS - EGFR,427,10000.0,42,18.9644,0.00039996000399960006,,,
B_smoke_admix_adj,kf,EGFR - WT,427,10000.0,42,-0.0064,0.2682731726827317,,,
B_smoke_admix_adj,kf,KRAS - WT,427,10000.0,42,0.0099,0.029897010298970104,,,
B_smoke_admix_adj,kf,KRAS - EGFR,427,10000.0,42,0.0163,0.012098790120987902,,,
B_smoke_admix_adj,kn,EGFR - WT,427,10000.0,42,-0.0001,0.5916408359164084,,,
B_smoke_admix_adj,kn,KRAS - WT,427,10000.0,42,-0.0004,0.0103989601039896,,,
B_smoke_admix_adj,kn,KRAS - EGFR,427,10000.0,42,-0.0003,0.19538046195380462,,,
design_effect_context,omega,,492,,42,,,8.0,0.30917,3.164
design_effect_context,kf,,492,,42,,,8.0,0.22107,2.548
design_effect_context,kn,,492,,42,,,8.0,0.42411,3.969
