mapping,cohort,cancer,n_tumor,n_normal,n_TT_pairs,n_NN_pairs,omega_TT_mean,omega_NN_mean,NN_TT_ratio,NN_TT_ratio_CI95_lower,NN_TT_ratio_CI95_upper,CI_excludes_1,p_MWU_NN_gt_TT
linear,exCC,TCGA-LUAD,493,76,2000,2850,121.658,299.763,2.464,2.128,2.863,True,0.0
linear,exCC,TCGA-LUSC,534,58,2000,1653,122.675,209.492,1.708,1.378,2.087,True,8.406349164656234e-59
linear,exCC,TCGA-LIHC,366,57,1709,1596,76.752,85.337,1.112,0.943,1.302,False,0.11298272431854295
linear,exCC,TCGA-KIRC,750,82,2000,3321,125.78,236.461,1.88,1.638,2.148,True,1.4066893313816804e-232
linear,exCC,TCGA-BRCA,1010,109,2000,5886,128.235,201.003,1.567,1.342,1.815,True,3.328191565817422e-42
softmax,exCC,TCGA-LUAD,493,76,2000,2850,105.769,277.153,2.62,2.265,3.042,True,0.0
softmax,exCC,TCGA-LUSC,534,58,2000,1653,104.938,197.824,1.885,1.508,2.294,True,8.759592944446106e-80
softmax,exCC,TCGA-LIHC,366,57,1709,1596,68.041,87.482,1.286,1.091,1.533,True,6.016361160179055e-13
softmax,exCC,TCGA-KIRC,750,82,2000,3321,111.827,228.769,2.046,1.76,2.335,True,2.3118866639879354e-291
softmax,exCC,TCGA-BRCA,1010,109,2000,5886,110.309,192.79,1.748,1.511,2.009,True,2.979039237309749e-78
