pair_type,cancer,sample_a,sample_b,omega,kn,kf
TT,TCGA-LUAD,TCGA-44-3918-01,TCGA-55-6969-01,79.84515274405554,0.006103878315843268,0.4873650964596342
TT,TCGA-LUAD,TCGA-38-4626-01,TCGA-64-5781-01,65.03519464684727,0.005830928863248009,0.3792155935932542
TT,TCGA-LUAD,TCGA-49-4487-01,TCGA-55-6969-01,155.70534689008372,0.002914093665772677,0.45373996509933034
TT,TCGA-LUAD,TCGA-KN-8418-01,TCGA-TQ-A7RP-01,91.11265566265972,0.007006770024575825,0.6384054245566229
TT,TCGA-LUAD,TCGA-49-AAR0-01,TCGA-55-6968-01,68.90120810265866,0.006405879699433881,0.44137285025129036
TT,TCGA-LUAD,TCGA-55-A4DF-01,TCGA-86-8674-01,74.19156348050974,0.006547260221342969,0.4857514723351831
TT,TCGA-LUAD,TCGA-50-6592-01,TCGA-TQ-A7RR-01,76.27073397065068,0.007022138048140933,0.5355836229749413
TT,TCGA-LUAD,TCGA-50-6591-01,TCGA-KN-8419-01,47.62670573445832,0.012085631481871372,0.5755988142021933
TT,TCGA-LUAD,TCGA-50-6673-01,TCGA-55-8089-01,192.17201589833414,0.002688228078953115,0.5166022091269262
TT,TCGA-LUAD,TCGA-44-A47A-01,TCGA-55-A492-01,70.88408287449091,0.007221953875739149,0.5119215770436447
TT,TCGA-LUAD,TCGA-50-5941-01,TCGA-97-7941-01,185.3269639065541,0.0025035022811670227,0.4639664769018167
TT,TCGA-LUAD,TCGA-49-AAR0-01,TCGA-73-4676-01,53.142249771008906,0.007030434920859448,0.373613128563136
TT,TCGA-LUAD,TCGA-05-4390-01,TCGA-MP-A4T4-01,146.87268944912066,0.003917144697727868,0.5753215767166547
TT,TCGA-LUAD,TCGA-55-8089-01,TCGA-55-8507-01,142.85208373443044,0.0038513037149721756,0.5501667607779283
TT,TCGA-LUAD,TCGA-44-3917-01,TCGA-44-6145-01,9.651685842392967,0.01869396521691743,0.1804282794223085
TT,TCGA-LUAD,TCGA-44-4112-01,TCGA-91-A4BD-01,73.55016640968606,0.007601649440426427,0.5591025813314606
TT,TCGA-LUAD,TCGA-55-7911-01,TCGA-NJ-A7XG-01,168.97510408261263,0.003229878093034093,0.5457689869445862
TT,TCGA-LUAD,TCGA-38-6178-01,TCGA-55-A4DF-01,120.22537835028555,0.0038474754320093722,0.46256418950675515
TT,TCGA-LUAD,TCGA-NJ-A55A-01,TCGA-TQ-A7RM-01,38.517714767874594,0.004490451522004464,0.1729619309035363
TT,TCGA-LUAD,TCGA-44-A4SS-01,TCGA-N6-A4VF-01,146.75407349018045,0.004070493892653321,0.5973615598637761
TT,TCGA-LUAD,TCGA-75-5122-01,TCGA-97-A4M2-01,88.61411528771751,0.0037712485263706593,0.33418585169444437
TT,TCGA-LUAD,TCGA-91-7771-01,TCGA-TQ-A7RN-01,57.112663485139336,0.006495991967069426,0.37100340321740444
TT,TCGA-LUAD,TCGA-44-2661-01,TCGA-97-7937-01,75.26275749024444,0.006346096115442033,0.477624692946296
TT,TCGA-LUAD,TCGA-44-2657-01,TCGA-KN-8426-01,40.11058778713517,0.008294641125209518,0.33270293101549797
TT,TCGA-LUAD,TCGA-73-4668-01,TCGA-73-A9RS-01,143.01060625921102,0.003992893166053037,0.5710260724055053
TT,TCGA-LUAD,TCGA-93-A4JP-01,TCGA-J2-8194-01,207.6490778910543,0.002631091325200425,0.5463436875250204
TT,TCGA-LUAD,TCGA-38-4627-01,TCGA-97-7941-01,119.9212434546431,0.0037738314215910477,0.4525625566654019
TT,TCGA-LUAD,TCGA-05-4250-01,TCGA-05-4410-01,122.12202705353492,0.004070724821912855,0.4971251668291378
TT,TCGA-LUAD,TCGA-05-4426-01,TCGA-86-A4P8-01,142.10058302624665,0.0037564550643936784,0.5337944547622386
TT,TCGA-LUAD,TCGA-05-4432-01,TCGA-55-A48X-01,124.80645183290271,0.0030295488120663386,0.37810723788858513
TT,TCGA-LUAD,TCGA-55-8094-01,TCGA-73-7498-01,68.03598177621812,0.006088610238333462,0.4142445752177505
TT,TCGA-LUAD,TCGA-49-AAR4-01,TCGA-55-1592-01,112.62361849813621,0.004345744192587977,0.48943343603651934
TT,TCGA-LUAD,TCGA-MT-A67A-01,TCGA-TQ-A8XE-01,57.45755959297228,0.012573668259599522,0.7224522933282036
TT,TCGA-LUAD,TCGA-55-7727-01,TCGA-TQ-A7RU-01,49.2178755609917,0.010927775135724292,0.5378418767885774
TT,TCGA-LUAD,TCGA-05-5428-01,TCGA-49-AARN-01,23.372951159706528,0.015663067779386367,0.3660921182187705
TT,TCGA-LUAD,TCGA-55-5899-01,TCGA-55-8619-01,139.6318395357853,0.004176283454548435,0.5831421411814621
TT,TCGA-LUAD,TCGA-78-7220-01,TCGA-TQ-A7RV-01,78.97562684825535,0.007585249909380341,0.5990498663939845
TT,TCGA-LUAD,TCGA-05-5425-01,TCGA-44-6146-01,54.42194828266886,0.007850047011014837,0.4272148524499687
TT,TCGA-LUAD,TCGA-05-4434-01,TCGA-38-A44F-01,133.9618675982672,0.002974222534696807,0.3984324054008363
TT,TCGA-LUAD,TCGA-44-2656-01,TCGA-75-7031-01,72.63036490505976,0.006410925021850243,0.46562782371596134
TT,TCGA-LUAD,TCGA-05-5715-01,TCGA-78-7535-01,63.201438338722035,0.007655829122201581,0.48385941219861567
TT,TCGA-LUAD,TCGA-55-A4DF-01,TCGA-86-8668-01,101.2310156453456,0.005459893784035137,0.552710593073586
TT,TCGA-LUAD,TCGA-05-5429-01,TCGA-78-7542-01,86.30575604993533,0.006882311543161974,0.5939831011037913
TT,TCGA-LUAD,TCGA-05-4417-01,TCGA-44-6778-01,187.78251621243524,0.0026101825922986988,0.4901466549557466
TT,TCGA-LUAD,TCGA-64-1678-01,TCGA-97-7554-01,22.184001184067117,0.021653583506788095,0.4803631221538833
TT,TCGA-LUAD,TCGA-73-7498-01,TCGA-MP-A5C7-01,247.81070868778994,0.0017693481480305058,0.4384634184788683
TT,TCGA-LUAD,TCGA-55-7727-01,TCGA-73-4675-01,67.49060436673888,0.008736043099027063,0.589600828527215
TT,TCGA-LUAD,TCGA-55-1594-01,TCGA-TQ-A7RS-01,66.83955527043733,0.008088399888260614,0.5406250513807944
TT,TCGA-LUAD,TCGA-49-4501-01,TCGA-75-5146-01,136.84164688859985,0.0031171484688946754,0.42655573007982484
TT,TCGA-LUAD,TCGA-50-5935-01,TCGA-55-7913-01,140.03083355193675,0.0035581305482184603,0.4982479865536407
TT,TCGA-LUAD,TCGA-50-5072-01,TCGA-TQ-A7RN-01,43.26036770440061,0.0077291773423916466,0.3343670538843845
TT,TCGA-LUAD,TCGA-50-6592-01,TCGA-91-6847-01,99.54044849925714,0.004710522798625377,0.4688875520411459
TT,TCGA-LUAD,TCGA-49-AARN-01,TCGA-55-8619-01,220.21863326439893,0.0019169915193485514,0.42215725237038154
TT,TCGA-LUAD,TCGA-64-1680-01,TCGA-97-8174-01,78.67621490845968,0.005873710346961507,0.46212129756758685
TT,TCGA-LUAD,TCGA-44-A47B-01,TCGA-50-5068-01,24.970667671938013,0.0178120397575241,0.44477852534448165
TT,TCGA-LUAD,TCGA-44-3917-01,TCGA-55-7910-01,11.68454147771539,0.01733590760039461,0.2025621314106523
TT,TCGA-LUAD,TCGA-55-6986-01,TCGA-73-A9RS-01,135.69016438295728,0.00419276824275387,0.5689174120789156
TT,TCGA-LUAD,TCGA-44-A47A-01,TCGA-86-8359-01,159.66833447267817,0.0035233039573708607,0.5625600747144012
TT,TCGA-LUAD,TCGA-05-4402-01,TCGA-97-A4M1-01,131.79229941234257,0.0038776595485468003,0.511045668241209
TT,TCGA-LUAD,TCGA-49-AARE-01,TCGA-50-5045-01,85.24286662867478,0.00620222310802342,0.5286952771985252
TT,TCGA-LUAD,TCGA-44-2661-01,TCGA-44-3918-01,84.22344560975579,0.005306782594910086,0.44695551524520827
TT,TCGA-LUAD,TCGA-50-5072-01,TCGA-93-7347-01,147.32024895104368,0.0032592637736139542,0.48015555052592584
TT,TCGA-LUAD,TCGA-78-7146-01,TCGA-J2-A4AE-01,95.2694393242278,0.005707899354038265,0.5437883711783476
TT,TCGA-LUAD,TCGA-78-7156-01,TCGA-TQ-A7RJ-01,109.0494287759688,0.00632692774093981,0.689947856056317
TT,TCGA-LUAD,TCGA-44-2661-01,TCGA-50-5936-01,93.63194307785177,0.005317727468603291,0.4979091556437922
TT,TCGA-LUAD,TCGA-55-6970-01,TCGA-78-7536-01,173.89428157714207,0.003225313290385531,0.5608635374928002
TT,TCGA-LUAD,TCGA-78-7537-01,TCGA-KN-8433-01,26.691988141432788,0.012703774031585569,0.3390889858025238
TT,TCGA-LUAD,TCGA-55-6712-01,TCGA-55-8615-01,120.47816759830651,0.005001713250857357,0.6025972473154632
TT,TCGA-LUAD,TCGA-49-AAR0-01,TCGA-49-AARN-01,171.75223333044275,0.0025509336447224907,0.43812855055885397
TT,TCGA-LUAD,TCGA-50-5944-01,TCGA-97-A4M3-01,126.68366575095112,0.004240143267763244,0.5371568924694644
TT,TCGA-LUAD,TCGA-91-6847-01,TCGA-91-A4BD-01,79.24213149622062,0.008140586838418819,0.645077452706387
TT,TCGA-LUAD,TCGA-93-A4JN-01,TCGA-MP-A4TF-01,124.99087604103883,0.0034873397257530955,0.4358856473745955
TT,TCGA-LUAD,TCGA-49-4490-01,TCGA-73-4659-01,107.65553971903942,0.004889689464290716,0.5264021583367178
TT,TCGA-LUAD,TCGA-05-4418-01,TCGA-44-2668-01,74.28298277834867,0.006840091520499454,0.5081024006195897
TT,TCGA-LUAD,TCGA-49-4514-01,TCGA-50-5946-01,54.526921958264154,0.010773796751026615,0.5874619746374281
TT,TCGA-LUAD,TCGA-44-6777-01,TCGA-97-7554-01,272.37371972461517,0.001684688783465763,0.4588649505309066
TT,TCGA-LUAD,TCGA-55-8513-01,TCGA-93-A4JO-01,146.689154729169,0.0027886295646141136,0.40906171368601485
TT,TCGA-LUAD,TCGA-50-6591-01,TCGA-97-A4M3-01,102.61822436276434,0.005430246541710792,0.5572422579624032
TT,TCGA-LUAD,TCGA-49-6761-01,TCGA-55-8091-01,116.39458773018355,0.004165191676087466,0.4848057679553928
TT,TCGA-LUAD,TCGA-38-6178-01,TCGA-86-A456-01,139.19219474540643,0.0033927128051807393,0.47223914149395163
TT,TCGA-LUAD,TCGA-55-8207-01,TCGA-73-4668-01,166.37287000950352,0.00270203257696278,0.4495449146884724
TT,TCGA-LUAD,TCGA-50-6592-01,TCGA-55-6975-01,154.07454408367929,0.0030306971175568962,0.4669532766432998
TT,TCGA-LUAD,TCGA-55-1592-01,TCGA-67-6216-01,143.6803252633735,0.0029536039169587467,0.4243747714878068
TT,TCGA-LUAD,TCGA-64-5775-01,TCGA-MP-A5C7-01,89.73694030797355,0.006257745652964948,0.5615509481225965
TT,TCGA-LUAD,TCGA-50-6595-01,TCGA-MP-A4TA-01,146.31528107284612,0.0035370784750253853,0.5175286312500532
TT,TCGA-LUAD,TCGA-38-4626-01,TCGA-49-AAR3-01,112.20601187138391,0.003964629407044604,0.4448552543124845
TT,TCGA-LUAD,TCGA-35-3615-01,TCGA-78-7155-01,63.34107669721018,0.010788035301362138,0.6833257714357901
TT,TCGA-LUAD,TCGA-73-4659-01,TCGA-91-6829-01,163.75686347939248,0.0031681186023560315,0.5188011654525404
TT,TCGA-LUAD,TCGA-55-6982-01,TCGA-KN-8435-01,52.02349119569975,0.007960674972377638,0.41414210433731535
TT,TCGA-LUAD,TCGA-64-1677-01,TCGA-97-7941-01,39.54143245012711,0.008681310503890271,0.3432714528681561
TT,TCGA-LUAD,TCGA-75-6203-01,TCGA-97-7547-01,198.01126854475365,0.0027027514220744754,0.5351752376461038
TT,TCGA-LUAD,TCGA-49-4510-01,TCGA-91-6830-01,53.37837397675479,0.007233294019081371,0.3861014732343491
TT,TCGA-LUAD,TCGA-05-4384-01,TCGA-97-7552-01,313.5655539140153,0.0017289689792886593,0.5421451156907982
