,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Liver|natural killer cell,0.24836923651520085,0.5942231275734849,0.10234685212636438,0.1841015753686423,0.9999999933180889,0.613503425915783,0.4471897912062647,0.4566975538131897,0.07916716759365738,0.3534841714315699,0.20807557930339168,0.34853772784452025,0.8196052418479183,0.44656396381175656,0.6255144981675621,0.9878926399286929,0.3727283643389081,0.5454567300175387,0.0,0.7288121265529487
Liver|hepatocyte,0.1425413050106724,0.9999999918168821,0.29560628820571766,0.5815585018731192,0.598523142774822,0.576252445646909,0.43247306086307474,0.4716494426935341,0.15871003745900883,0.4272996560287117,0.0,0.406886078591223,0.667089180505577,0.27251020455554503,0.33380989306716696,0.31852550331978874,0.47226848259034226,0.42035756579243017,0.2752958840707255,0.4244550203348309
Liver|Kupffer cell,0.1290038988641749,0.8533501618528706,0.5168467443519619,0.6177833843410419,0.9819864371659375,0.6987724507993961,0.5164631371575866,0.3553001694706926,0.14666581291628356,0.6290678289669078,0.0,0.6778658593603776,0.7635860810755275,0.16216993654717288,0.5359152180576228,0.8944440813163269,0.765312313394755,0.9999999911258872,0.6917876033727022,0.9672655115226966
Liver|endothelial cell of hepatic sinusoid,0.3997094862405024,0.790799756067827,0.5668282958714126,0.25904643756427265,0.8517217021321715,0.5342205291506424,0.7884393510735693,0.5257294795208608,0.39596060772980274,0.520143543722184,0.0,0.6506173328367454,0.99999999407015,0.3585038642371209,0.7381018454937759,0.6952941386534681,0.7944097872372607,0.5780108480266372,0.6203058877185357,0.6546973088934562
Liver|B cell,0.2551724114964687,0.5647563491417075,0.7639792710995421,0.6952565908125408,0.9999999910118181,0.548761529788273,0.5613728296570465,0.5406669855837972,0.0,0.42621013054151335,0.2464464928503363,0.14390480686085996,0.44142787365042035,0.03760725237488846,0.35669418491078786,0.44654362558045707,0.22425125263986828,0.9177108546327243,0.134709404652666,0.5656305599139937
Kidney|kidney collecting duct cell,0.2093075679352068,0.21431972233981897,0.3378442676386998,0.16106558179081612,0.42520611878168824,0.9999999860862594,0.4312457649672535,0.33897200243539316,0.26198531072628795,0.06375460396126957,0.45715860331979835,0.0,0.20356865114470912,0.019472219860526333,0.4488384269260505,0.7247074053851159,0.635591300110072,0.7903916888255544,0.22429390960638826,0.6778437616811226
Kidney|kidney tubule cell,0.1085459512627045,0.999999991830729,0.6297784004476464,0.5666696048562525,0.3251228601234668,0.0948471196769298,0.44193813829059675,0.21366351610541554,0.3046113980007306,0.0,0.03632912480516631,0.5272799462516137,0.9437185408909202,0.5215855876908398,0.20596803928328472,0.5144933891802527,0.7543627259691811,0.4202642618886455,0.6387392902696666,0.31385185583721925
Kidney|endothelial cell,0.41359246529023397,0.3602973830706847,0.0,0.04309938418367803,0.6143547841515054,0.7481110291937781,0.6843912834196033,0.5941519478241691,0.26799735816163717,0.2212749320130412,0.22705294320116365,0.3253464762131774,0.9999999925222568,0.44886661752000534,0.38598192230954087,0.39553112961957765,0.601196003424381,0.39844033804473183,0.7265613371112867,0.34420245678535766
Kidney|fenestrated cell,0.3716692705489413,0.6353299044486544,0.5735073521366407,0.0,0.735413936582954,0.6283945458618845,0.8065864585230665,0.5761666153986655,0.29720989921224,0.6063226607870765,0.6946314751918129,0.4671580957611452,0.9999999940943082,0.3405984385942588,0.4959206872020267,0.5783365742192966,0.6292667842171443,0.3422259077171154,0.7239897416016161,0.6680175684660568
Kidney|leukocyte,0.3734545770463306,0.7776216347778875,0.0,0.0663162583337392,0.6795795055031641,0.6509208290688546,0.9189287720376476,0.03490116040527179,0.31977191723061127,0.3515518356504015,0.5593779092988028,0.740491015806199,0.7032793256163017,0.15250847755189395,0.5560269655190158,0.5897255694927072,0.7313975272437897,0.9999999924982097,0.3616857382079719,0.5286519167532533
Kidney|fibroblast,0.26898426613238585,0.1474955404734098,0.6741644383897627,0.307579579944937,0.968855372842472,0.16905312426162195,0.2692844126755099,0.43115167571523794,0.09180952961391319,0.013453627246408636,0.0,0.0455163398724008,0.9999999901975671,0.3154893240378421,0.4179981950364582,0.5108670653965741,0.5683186441337316,0.3312028781539341,0.9913133962600542,0.7266724270596662
Spleen|T cell,0.5472076494968194,0.25033290908599015,0.00011508048129545788,0.4923800241119552,0.530504540839757,0.8570371631685598,0.48498199369958944,0.0,0.5277261694154849,0.27897150681929117,0.2932908056859427,0.4077136760593155,0.9999999908724745,0.5614940682292172,0.5395794581446806,0.43796340041666804,0.339668236339516,0.3649037400749132,0.114718791604471,0.7884327611436335
Spleen|B cell,0.5721986916702254,0.6858356449458649,0.4517939225888194,0.3626821828272296,0.7225325348637485,0.5495700253887735,0.38227117751325396,0.011626094320753882,0.4256579429418971,0.32899898440643904,0.5643786818548173,0.6570107250400606,0.9962718485775852,0.20442440942495668,0.39835285883380755,0.8502377117758174,0.0,0.4766438873410806,0.36300693406544104,0.9999999927879245
Spleen|myeloid cell,0.623536589958126,0.9715432166227719,0.4786007107152699,0.0,0.5283782553657383,0.5168978402315367,0.9671813567678802,0.19804588483892716,0.26401465328140833,0.4845328401227691,0.6600366332519579,0.6921748166424575,0.7071796145384429,0.20033149939998438,0.33160603360541024,0.9999999903131817,0.622297821781619,0.6635086736848262,0.2254558121690059,0.6208496842894501
Lung|endothelial cell,0.32163347386485136,0.6850342203629292,0.3825953058886849,0.0,0.7878187045820099,0.624903081907751,0.5287862980504219,0.14934762771955373,0.10796801209733004,0.6084221215019358,0.21345501939494915,0.4016458783903678,0.9999999938506524,0.39158894825497254,0.44219480045930964,0.3242806173659949,0.7894911676409494,0.6694061053536519,0.6140265341099538,0.4410429053786692
Lung|stromal cell,0.5889501878106909,0.36867794749780375,0.16257719081403824,0.08711294355071808,0.5688666068927517,0.5993484590903477,0.45980541351471,0.0,0.14772565145678354,0.6390220321057782,0.15469073822820753,0.13743706657997834,0.9999999939102108,0.48643727285800786,0.33007930126077495,0.35555945335128897,0.48178656925527813,0.3508429378916216,0.9923877573391228,0.7910912652373062
