,Live|hepatocyte,Live|macrophage,Live|monocyte,Live|livEC,Live|EC,Live|nk cell,Live|t cell,Live|erythrocyte,Live|fibroblast,Live|neutrophil,Live|intrahepatic c..,Live|liver dendriti..,Live|plasma cell,Kidn|kidney epi,Kidn|b cell,Kidn|macrophage,"Kidn|cd8-positive, ..",Kidn|cd4-positive h..,Kidn|nk cell,Kidn|EC,Hear|cardio,Hear|cardiac EC,Hear|hepatocyte,Hear|fibroblast of ..,Hear|smooth muscle ..,Hear|macrophage,Bone|cd24 neutrophil,"Bone|cd4-positive, ..",Bone|monocyte,"Bone|cd8-positive, ..",Bone|granulocyte,Bone|plasma cell,Bone|erythroid prog..,Bone|nk cell,Bone|hematopoietic ..,Bone|nampt neutrophil,Bone|memory b cell,Bone|myeloid progen..,Bone|macrophage,Bone|naive b cell,Bone|neutrophil,Bone|erythrocyte,Sple|memory b cell,Sple|neutrophil,Sple|classical mono..,"Sple|cd8-positive, ..",Sple|plasma cell,Sple|nk cell,"Sple|cd4-positive, ..",Sple|macrophage,Sple|naive thymus-d..,Sple|naive b cell,Sple|type i nk t cell,Sple|naive thymus-d..,Sple|EC,Sple|mature nk t cell,Sple|regulatory t c..,Sple|intermediate m..,Sple|innate lymphoi..,Sple|erythrocyte,Sple|hematopoietic ..,Sple|cd1c-positive ..,Sple|cd141-positive..,"Sple|cd8-positive, ..",Sple|plasmacytoid d..,Sple|platelet,Lung|macrophage,Lung|type ii pneumo..,Lung|basal cell,Lung|classical mono..,Lung|club cell,Lung|non-classical ..,Lung|capillary EC,Lung|respiratory go..,Lung|basophil,Lung|lung ciliated ..,Lung|capillary aero..,"Lung|cd8-positive, ..","Lung|cd4-positive, ..",Lung|vein EC,Lung|lung microvasc..,Lung|adventitial cell,Lung|alveolar fibro..,Lung|dendritic cell,Lung|intermediate m..,Lung|pericyte cell,Lung|type i pneumoc..,Lung|EC of artery,Lung|neutrophil,Lung|cd4-positive a..,Lung|nk cell,Lung|plasma cell,Lung|b cell,Lung|vascular assoc..,Lung|cd8-positive a..,Lung|bronchial smoo..,Lung|bronchial vess..,Lung|EC of lymphati..,Lung|smooth muscle ..,Lung|pulmonary iono..,Lung|plasmacytoid d..,Lung|mesothelial cell
Live|hepatocyte,0.0,0.6166768850801136,0.6265442991739242,0.5033131092813083,0.4146796489715434,0.45201317010586484,0.27514195588499046,0.40801993217662247,0.4390585241264191,0.3504336768781531,0.4535643451505379,0.5645801578892136,0.37595953594141096,0.5363920316207249,0.6187869911478039,0.539676558084581,0.5697361179354812,0.5989110107050137,0.6389057889064007,0.3734024289641062,0.6364758959675867,0.6545670728562433,0.34062066942399905,0.6116747235098094,0.6468052518577789,0.4205230315251419,0.6534666604412032,0.5654435689765971,0.6427173359775074,0.6355470984144027,0.5845002881357786,0.6349792999648172,0.6374114028905277,0.6572323642523819,0.58387433519022,0.654815415534407,0.6151023348311562,0.6058817955565021,0.6545125843371893,0.6560752411010555,0.657844988708674,0.5960743297472018,0.6208996004702498,0.641337004277866,0.642512769602685,0.6193383913221342,0.6271173778764231,0.6540687042310886,0.6069703710098275,0.6355669945262532,0.6275446391569163,0.650268999594242,0.6280514976528293,0.6521925182327107,0.6205919498634607,0.6267481923908327,0.6237736439993822,0.6492047984907403,0.6303577961268045,0.638690102190216,0.6102704362529849,0.6593893970338677,0.6654231858579595,0.65582049367784,0.653655177527157,0.6612808414990328,0.6561118002231421,0.6118858975312496,0.49059005957483304,0.6515666469699861,0.602762278979915,0.633225378595835,0.6591941903557869,0.5593809372478807,0.6540765705197624,0.6396732085795147,0.660234242984506,0.6173435550162776,0.6142713689468755,0.6374726538212783,0.6469889525280614,0.6065020258538352,0.6233380748365409,0.6480488874068335,0.6576327182771702,0.6493438040456685,0.6368617000141672,0.6488483466229806,0.6448907426540168,0.6500853946358092,0.6480948434925105,0.5934765867696338,0.5953246065853424,0.6564549687407291,0.6491683053886738,0.6286740113279983,0.6529195459980686,0.6395338010370255,0.622618916693654,0.657479246662102,0.6679494297692439,0.6210867168416233
Live|macrophage,0.6166768850801136,0.0,0.08027720580981758,0.5672816737562213,0.20575734622065972,0.5685689153699693,0.5082218446621769,0.5478738832442696,0.5926013037274873,0.3205194142089097,0.5957350312597353,0.287377717028081,0.41331242312022,0.6008568285327167,0.40393122453396385,0.11596403124158089,0.40164903782629957,0.4326091362687335,0.5019736700730681,0.30163808090358163,0.6067758339278606,0.589229169500684,0.4971859613480215,0.5935445166286928,0.5895586905404413,0.09116432148886586,0.47335279679838976,0.4128138226892371,0.22644511151715263,0.4764243799925514,0.3886420330415227,0.5548362958223488,0.5314608009889962,0.5136868783049682,0.36368106456560184,0.4291296337152107,0.4514641989497688,0.49835270199662635,0.2718891503999309,0.5012101520131356,0.44024973681694657,0.4626979092396054,0.3873898707768051,0.3648796794199489,0.15597327385674217,0.4081723984391936,0.4647194100960795,0.4839004455980671,0.37268869218397793,0.16143041505144007,0.4219808655933346,0.4736470527608219,0.4548507481120701,0.4552290934357113,0.542737134259358,0.43145694557528724,0.4551553424168616,0.4367453596617776,0.39986894493934844,0.521185311943688,0.4478523920874766,0.4089466927323472,0.2500999473830765,0.5370877260728291,0.3987318314091127,0.4085039755529807,0.2888825702497949,0.5593613676033653,0.46053008644465543,0.19427581985504205,0.5395637884919038,0.12375126464476233,0.5805468220178773,0.5164367378618991,0.39261448753936334,0.6238690299325867,0.5820133387769728,0.3811526193489158,0.35070644947802304,0.5508819307838033,0.5661708893101693,0.5730709246030505,0.5222453753524237,0.2248992892910611,0.17486061290318658,0.5656376379030282,0.6008485294507766,0.5667046797510334,0.3445732151887536,0.38689545440439566,0.43156056443224067,0.4434639851751026,0.38310865546717554,0.6041040228969882,0.395922422192417,0.5442428975838757,0.5818350908997881,0.5625596471886569,0.5657933191923413,0.6112668815463773,0.5308628807968823,0.466111472463477
Live|monocyte,0.6265442991739242,0.08027720580981758,0.0,0.5814785749350915,0.21862132684866514,0.5349869111712712,0.4856994887140622,0.5476886052250722,0.5889068725536704,0.28284928712275254,0.597163900881784,0.2768311338186314,0.390176751879996,0.6028028093066842,0.37945832945716107,0.11131388239439273,0.3812736676496318,0.4011618316577712,0.46925104465870543,0.28187954323902575,0.6057438046436137,0.5941116852766719,0.5012005237333654,0.598205031674123,0.5915389366951732,0.094617834132984,0.4200953209977789,0.3895117402559375,0.17245672574558246,0.4307964754461913,0.34445942638438,0.5154586628810478,0.5129830206739204,0.4615895786313906,0.3506661799904659,0.3650562975365534,0.42518163648312335,0.4915193619940101,0.22421389406606873,0.46934650870336003,0.38031852561648694,0.471637732227278,0.3687410850859861,0.32258050572678937,0.11774383182468212,0.3803237768009796,0.44260339025316675,0.44485417741724853,0.349074683738681,0.23747269431384954,0.41159813640474086,0.4439341930466162,0.4222647086684328,0.4356281105455032,0.557707122107979,0.3924051820542213,0.4304833773536843,0.3797081462526888,0.3960173911970243,0.5183295737448586,0.4320712422262496,0.3719311809510718,0.21829805753422205,0.5266811421553027,0.3765420994320082,0.3911985773304758,0.32378785194751825,0.5530314617928371,0.45571844683843277,0.15770705289206233,0.5382933629921718,0.166254962272933,0.5939092189681883,0.5124378131511702,0.4033646373713636,0.6344061800570866,0.5890659116949304,0.37660007260770256,0.3431399484221263,0.5479688049109221,0.5606573217447253,0.5857776506956996,0.527527297927369,0.25194061277684476,0.15807845529558856,0.5619412565939528,0.5987042121699028,0.5739766049604884,0.3003865375423004,0.37978448277988686,0.4063193363457608,0.43302383302089265,0.3523522284385301,0.5967020470832374,0.3724268477949995,0.5464865735889283,0.5988421575718406,0.566658944502312,0.5667617043512658,0.5935649258982161,0.5160109517590888,0.45469327016137373
Live|livEC,0.5033131092813083,0.5672816737562213,0.5814785749350915,0.0,0.506061402816277,0.5988335872561744,0.47882057417526835,0.4510235596300539,0.3688952739319131,0.511725881348292,0.534867533558026,0.5408379256222424,0.512506904144435,0.5538750480268693,0.5898312352244335,0.5647468527176299,0.5754698015301545,0.5765029450443262,0.608489295173761,0.19016714755034425,0.5722370133909929,0.2681899120747218,0.4403612222065497,0.480922704996972,0.4697720810373349,0.2702665544126677,0.5736481284104624,0.576663116694958,0.5805615769654725,0.6090851714677556,0.5819976274202713,0.5699887603215994,0.5921130768764028,0.599885116896455,0.494297372979553,0.5334124083451154,0.6170430374412097,0.5887001152460829,0.5122120831112047,0.6259277841443585,0.537320937283345,0.4009024246792043,0.604869762469343,0.5213429261240967,0.5856859793519704,0.5878208666608559,0.5860982236663479,0.6293923715484363,0.5553760553969301,0.5783285878799916,0.5718713909197192,0.571744644802249,0.5982660107514521,0.6006978387272615,0.39067969169972483,0.5791650692618524,0.6201626355114742,0.5681800499136156,0.5445232666182309,0.4986660025329142,0.5388145791866334,0.5955543694305024,0.6021569751677618,0.5959655124194543,0.5974752909175227,0.5424238588541188,0.5564182514211891,0.5390797851303903,0.42773859444398665,0.5365223394360721,0.5020236260997366,0.542513580239837,0.2912936057915724,0.510362366680825,0.5517374131845898,0.5846533884291558,0.2947092374412633,0.5580538141000346,0.5325359581498552,0.2598047936879722,0.2670372661928735,0.5282414036204379,0.49018891879195725,0.5901462857149988,0.547773428011989,0.44011404736086013,0.5574353930386435,0.2616357224184517,0.5119907159033787,0.5364968588481447,0.5817892888272606,0.4615657833955319,0.48090172051827235,0.49661200656397186,0.5532561776469613,0.42722889071931336,0.23747301849006583,0.3110913897751751,0.44919880263942585,0.5714281753389501,0.6084193755992757,0.5525744909743615
Live|EC,0.4146796489715434,0.20575734622065972,0.21862132684866514,0.506061402816277,0.0,0.5258987931307703,0.3733122637426495,0.5001187131798083,0.5614788103791245,0.28740681635848464,0.5566364150260978,0.350448300242566,0.42850569417596224,0.5682568858774762,0.47651047780548916,0.21930836555107486,0.48296966189678786,0.49739461314647115,0.5468012097960384,0.37300166558081504,0.6251115059221448,0.5704054995331423,0.49814753850681454,0.6029672434519857,0.6008066305790645,0.15490652952807027,0.44573649422053385,0.4959028035585512,0.2995243134975684,0.5090592867372026,0.46405590157168797,0.550508064452266,0.5754812005610175,0.5454770661497188,0.4460144634493476,0.3995863915828046,0.5272224504609635,0.5802260554935419,0.30852473120626167,0.5479297461797152,0.41535606399868813,0.4444399410616242,0.4619599612907382,0.3725286470319783,0.251815661627059,0.4993759495703108,0.5257813499564066,0.5163377312068214,0.44791663799761783,0.2679261247019057,0.4957001903850279,0.5314039747707083,0.500733381642579,0.4977934908226095,0.5609110813449771,0.4877888389073181,0.5231399079819243,0.4420958821360037,0.4801044242845197,0.5232661518920001,0.5202098120280116,0.45995543613669077,0.3374907985252019,0.5762287127484451,0.4512936605733521,0.45858414542253734,0.3588014339528772,0.5529857297359875,0.5335263788531813,0.2636432173188613,0.5928091137080411,0.2505226191765356,0.57334021997434,0.5691756815369644,0.4521598126509787,0.6389091480809448,0.5661073091801205,0.47677348716551304,0.4282568929251676,0.5578929063635347,0.5748080685057415,0.6011140183441144,0.5485003858841766,0.3675558276437608,0.2652559331813854,0.581898708635751,0.6069541721614531,0.5756772282808442,0.34651854721452985,0.4588026088610394,0.47634518724674757,0.464360451489616,0.4560574857924544,0.5959848395610207,0.46505585237486513,0.5820766311477252,0.5937565124289678,0.5875412596063654,0.5772169631097508,0.6239657000408626,0.5556608955992604,0.5096195662698042
Live|nk cell,0.45201317010586484,0.5685689153699693,0.5349869111712712,0.5988335872561744,0.5258987931307703,0.0,0.28395666389337854,0.4229634244138793,0.5981187011445672,0.44323766785037877,0.5582130123263542,0.5127455747228761,0.4494818286076842,0.5726781526191572,0.4648612103809435,0.5523631101657048,0.21313042685009298,0.33016802182749805,0.19865032987559683,0.47396465006623406,0.6196325043645716,0.6004361909362703,0.558924654828788,0.6220871867370176,0.6115435380652849,0.21301413457740986,0.5310946148411078,0.33521417923771,0.5238966164518736,0.2723734457437076,0.4769863497173499,0.5059068664654448,0.5079153880846994,0.2420241939213219,0.44826842490249796,0.5179145573110101,0.5068374270234373,0.5480487336614583,0.4787842417038466,0.5374833422964755,0.5202680391102092,0.39975518020182066,0.496978107501885,0.46384641170777263,0.5347001378325568,0.24850944685711385,0.44773220858415874,0.24213225526755006,0.31366852403741524,0.5700316771980944,0.34836625054768466,0.4647646150577814,0.2515799876182881,0.2869998536313483,0.6153334643278054,0.22335233672021826,0.375308040812679,0.4979759073866661,0.34487126722129513,0.470101887011688,0.5078120072941983,0.4849887548936229,0.5248537575906802,0.22277086082685055,0.4412580623242282,0.49181139938013263,0.5189564009803864,0.5708125798449695,0.5373949273519392,0.5100478398693364,0.5823140988394608,0.5264008417416205,0.5908587614552738,0.5722002250572685,0.48748282131423054,0.6205391746157458,0.5848743348605137,0.2166007846573151,0.29142042486408026,0.593732369091855,0.5906282677918846,0.5918801065803639,0.5944456190324973,0.5345492540770016,0.5302514776129833,0.5831226075555429,0.6150884039789476,0.6014280210636354,0.4667117840033985,0.2919965037729665,0.19296080180418823,0.4246213840363139,0.36982336935395643,0.6041924505005666,0.2525844060824106,0.5790180304857053,0.6126347227791573,0.5860958729615903,0.5855429415072633,0.5994699695030461,0.5048841319844127,0.5638506713677427
Live|t cell,0.27514195588499046,0.5082218446621769,0.4856994887140622,0.47882057417526835,0.3733122637426495,0.28395666389337854,0.0,0.44230993397976553,0.4680115515326597,0.3394877050772997,0.4432948659047512,0.45486261402336176,0.34957528178036357,0.5172679900780751,0.5460055324012159,0.5512173708923571,0.4180200564728377,0.41964700405504274,0.43601239649185475,0.39815220252222694,0.6152652121907265,0.5884668695845756,0.46418476466467756,0.6039106165985217,0.601022487791794,0.39547460906115867,0.5430240531414061,0.44111791416138824,0.5303989672721403,0.4095078925922199,0.5844719785573502,0.5107576979016533,0.5938691757348942,0.4174299055632995,0.5234202327837066,0.517651054275265,0.5703341963650455,0.6015756267893676,0.4969134047083808,0.5971855017896817,0.5225546514176227,0.4532264526802189,0.5548970829437923,0.4886666135561471,0.5517730475034899,0.4190008588382903,0.53222331976953,0.4335387193312512,0.42346487450395637,0.5776825634353536,0.4183502877494891,0.5328972368108427,0.4212717553106765,0.40173376461719,0.5927036931925009,0.4330038272963828,0.45285596867121125,0.5010989387535023,0.46096534916527193,0.5225388940322553,0.5774477597209042,0.5493604862280426,0.5394118118646082,0.5675697168359066,0.5125755922540878,0.5394703204570552,0.533045965215247,0.572536728916123,0.5578991321192881,0.5059603168717388,0.592195174275095,0.538882845197988,0.5826518447034872,0.5768811302828766,0.518293807274247,0.6466122994993799,0.5753385019937544,0.4040996144401062,0.3996075514356578,0.587847282736105,0.5899954752036067,0.5840992043774567,0.5491516678266513,0.5411317728179932,0.5265300625159415,0.582475132290428,0.591567650470568,0.5908929607938408,0.47451070555084784,0.3863511039457115,0.45027033890767376,0.470240897056001,0.5226594794985928,0.5963673857794853,0.37520137055581126,0.5806912502598089,0.5985026335962057,0.5984229367081281,0.5474731254629795,0.6129029666122205,0.543731934349949,0.5615883945060616
Live|erythrocyte,0.40801993217662247,0.5478738832442696,0.5476886052250722,0.4510235596300539,0.5001187131798083,0.4229634244138793,0.44230993397976553,0.0,0.4427618271666331,0.43593768286355594,0.4533284519163129,0.5178898181215401,0.4078231387653293,0.538899466866909,0.5433713357827641,0.5311703436905861,0.5203278717495603,0.5390976228720559,0.5680599865454605,0.43014352554368906,0.5773493262774156,0.5891949052774745,0.39659399680107155,0.5709888280917701,0.5812563435257454,0.34598211195644407,0.6108076738085508,0.5167721254947568,0.5678140034065202,0.5515763269983786,0.5167499326199394,0.573658202977068,0.3130902096796362,0.5718527647009508,0.4389277006010289,0.6075431269345992,0.54573063535803,0.40885556529108297,0.5807589520408158,0.5768150921378838,0.6063592731490564,0.28527752617289015,0.5328470316879869,0.5926208163050057,0.5726999036220464,0.5299145336016462,0.5395531818223351,0.5785297447431347,0.5192724442277414,0.5810404125321855,0.5262786163564264,0.5632273420214156,0.5352828951957522,0.569586244168854,0.5769243925224979,0.5369008410768972,0.546153457132555,0.5956012939181389,0.48386091790918173,0.38978226607431565,0.3561307118487443,0.5887195274550611,0.6080231165304236,0.5231930437809214,0.5425652414255817,0.5459834506383752,0.5992365605999403,0.5697356042219575,0.48275054272275575,0.581967602306096,0.552837948366787,0.5687375724164941,0.6113144552654244,0.5188310639601966,0.565410673087386,0.6307105341048146,0.6083346245455532,0.5248612456617803,0.5254405392955135,0.5724217372724538,0.5789515274881414,0.57661805686779,0.5577491663632621,0.5818006035924237,0.586481337275039,0.5992190425069612,0.5999214726968192,0.5878926092291026,0.5841062153719875,0.5410707300295063,0.560587839500801,0.5355394886906955,0.5255980117765797,0.6131244152807745,0.5334170467053944,0.5807761940139126,0.5809855370958572,0.570161259260914,0.5465406244351059,0.6015637920613843,0.6215995175469513,0.5479606267003423
Live|fibroblast,0.4390585241264191,0.5926013037274873,0.5889068725536704,0.3688952739319131,0.5614788103791245,0.5981187011445672,0.4680115515326597,0.4427618271666331,0.0,0.47431777664613417,0.5250926230808205,0.5843381478248273,0.5665727224965147,0.5200315716874516,0.6188003611713411,0.5928194996781169,0.5776288239055651,0.5801685418316002,0.6130261471002887,0.24711454203738764,0.5075958702544471,0.3813508218761014,0.4283209741374744,0.3759937588971956,0.20585964423149183,0.3538700652079863,0.5708262562057356,0.5920275016527041,0.6009743557321066,0.614248885328024,0.5976160168183042,0.5704202873849199,0.5914769781760122,0.6159435030390044,0.5270120767532973,0.5265823167542425,0.6292573445697707,0.5897663328249985,0.5584951056298315,0.6164123104443382,0.5244666890369132,0.3935282140646108,0.6165632788736488,0.5026391170352107,0.6091133869367029,0.6069242170502036,0.5931731739097873,0.6140931700884678,0.5867938079931512,0.5966461376207336,0.6016284026546564,0.6130620364628452,0.614857948270532,0.6006941173143057,0.4594971608556594,0.5968317094899735,0.6080161121293164,0.5817159514771232,0.5690741784783319,0.5023747915947385,0.557538462759525,0.5939989486631181,0.6050926046652425,0.593863938979084,0.5977224578835518,0.5429297711043548,0.5577188694362669,0.5447522022672685,0.48447117728159406,0.5763399282404157,0.546900463395228,0.5890285774485835,0.41077329032950893,0.5737258520876232,0.5778792743985359,0.5785465182408429,0.43123227529502084,0.590010861865714,0.5721284262082937,0.40598060085705995,0.4625557270690719,0.44026079205373503,0.30835621751476205,0.6151024106375664,0.5803057839639922,0.29767038000830764,0.5480197185071771,0.4009159757451962,0.5250770700824849,0.5855213501754271,0.6010683840061982,0.5259050609281444,0.554816619361425,0.2186939686805796,0.5848554288680785,0.24573918833885913,0.4438723113759006,0.4617233513888621,0.23214127419323188,0.5883838293218953,0.5952842430463958,0.518628126542835
Live|neutrophil,0.3504336768781531,0.3205194142089097,0.28284928712275254,0.511725881348292,0.28740681635848464,0.44323766785037877,0.3394877050772997,0.43593768286355594,0.47431777664613417,0.0,0.4765900341283937,0.355890062686088,0.4389761417724267,0.4883680966431186,0.4013147789154409,0.3295962030560482,0.42229916618246466,0.4023613002185736,0.4837169179400568,0.4978864559499589,0.512765739631956,0.5086109993407848,0.45497601233977913,0.47356178247796854,0.5199445729577752,0.3114577255768022,0.2751198337425184,0.40482036801785665,0.3135242163580493,0.41980407213545284,0.4193231043378255,0.4975882299730963,0.5042005541056369,0.45843630077332953,0.39313241495414614,0.19722530694251325,0.4263801075662677,0.4884467114655704,0.30378346354909314,0.429571760530472,0.21411059072670013,0.46651069781604515,0.3835096491048703,0.15828755855449056,0.3085613237229992,0.3903728025027931,0.42611141050603163,0.42961988804669915,0.3701730052526412,0.39391258424272246,0.3841170180576372,0.36803190360750815,0.38804408099870774,0.38450508924787735,0.5361703773766547,0.3829431799587057,0.3991613094524546,0.2678929711919857,0.40742412470071576,0.5250275865606373,0.4573557840701146,0.38608514701751717,0.3297590049755099,0.4846981978625021,0.3562666037314879,0.3762143432464031,0.39775311337507996,0.45344531108448016,0.42539686625864026,0.31585325273530696,0.43945306850757454,0.3388235447504466,0.532044739763068,0.43506888193097026,0.36425585341357747,0.5447265971239412,0.5424874212897057,0.40606433014565446,0.3955065315926006,0.45256327910233374,0.4273157652370417,0.48375645417799296,0.47455832645262574,0.35692378564514116,0.3317465343625242,0.5232646975125039,0.5635436426855058,0.4988939440837559,0.15670434016161217,0.3489674371919653,0.42637582231432614,0.3925608015719077,0.37207133984900914,0.5228614953021443,0.36264109552322255,0.4417261172179495,0.4483439055094429,0.467856018118199,0.38994219870909663,0.5368259160283145,0.43182303055426896,0.3972046588201323
