,Live|hepatocyte,Live|macrophage,Live|monocyte,Live|livEC,Live|EC,Live|nk cell,Live|t cell,Live|erythrocyte,Live|fibroblast,Live|neutrophil,Live|intrahepatic c..,Live|liver dendriti..,Live|plasma cell,Kidn|kidney epi,Kidn|b cell,Kidn|macrophage,"Kidn|cd8-positive, ..",Kidn|cd4-positive h..,Kidn|nk cell,Kidn|EC,Hear|cardio,Hear|cardiac EC,Hear|hepatocyte,Hear|fibroblast of ..,Hear|smooth muscle ..,Hear|macrophage,Bone|cd24 neutrophil,"Bone|cd4-positive, ..",Bone|monocyte,"Bone|cd8-positive, ..",Bone|granulocyte,Bone|plasma cell,Bone|erythroid prog..,Bone|nk cell,Bone|hematopoietic ..,Bone|nampt neutrophil,Bone|memory b cell,Bone|myeloid progen..,Bone|macrophage,Bone|naive b cell,Bone|neutrophil,Bone|erythrocyte,Sple|memory b cell,Sple|neutrophil,Sple|classical mono..,"Sple|cd8-positive, ..",Sple|plasma cell,Sple|nk cell,"Sple|cd4-positive, ..",Sple|macrophage,Sple|naive thymus-d..,Sple|naive b cell,Sple|type i nk t cell,Sple|naive thymus-d..,Sple|EC,Sple|mature nk t cell,Sple|regulatory t c..,Sple|intermediate m..,Sple|innate lymphoi..,Sple|erythrocyte,Sple|hematopoietic ..,Sple|cd1c-positive ..,Sple|cd141-positive..,"Sple|cd8-positive, ..",Sple|plasmacytoid d..,Sple|platelet,Lung|macrophage,Lung|type ii pneumo..,Lung|basal cell,Lung|classical mono..,Lung|club cell,Lung|non-classical ..,Lung|capillary EC,Lung|respiratory go..,Lung|basophil,Lung|lung ciliated ..,Lung|capillary aero..,"Lung|cd8-positive, ..","Lung|cd4-positive, ..",Lung|vein EC,Lung|lung microvasc..,Lung|adventitial cell,Lung|alveolar fibro..,Lung|dendritic cell,Lung|intermediate m..,Lung|pericyte cell,Lung|type i pneumoc..,Lung|EC of artery,Lung|neutrophil,Lung|cd4-positive a..,Lung|nk cell,Lung|plasma cell,Lung|b cell,Lung|vascular assoc..,Lung|cd8-positive a..,Lung|bronchial smoo..,Lung|bronchial vess..,Lung|EC of lymphati..,Lung|smooth muscle ..,Lung|pulmonary iono..,Lung|plasmacytoid d..,Lung|mesothelial cell
Live|hepatocyte,0.0,0.040956710296592744,0.04755005175258814,0.0295990657329708,0.028479497256586186,0.04421303287718524,0.03567461112910566,0.07497496768117301,0.03311501663971125,0.13357921584807314,0.027109438975707487,0.05437143930364561,0.06035404087990656,0.04325488098502724,0.04344657499039328,0.03007721841905718,0.03885505810957588,0.04217671741058758,0.041431966943788534,0.040130990764884494,0.03886735355631034,0.031573152490715094,0.03881913084784964,0.029969755902180182,0.0381345389550114,0.04475128478856825,0.10206907183621583,0.03800602661779243,0.0416864713535392,0.05164255027732635,0.02757649687803066,0.0557039683722417,0.036154312172508835,0.0565887099696443,0.04690988393074751,0.1452831327389824,0.038068511844176825,0.030208958329609945,0.06293892202890923,0.06304771208238556,0.1437572592163875,0.16844056476282204,0.03802688927192844,0.14599319283221482,0.03350804615847444,0.0405733751506636,0.034956278121060946,0.04033043744669035,0.042563754565846115,0.03019130581779777,0.04250802305892672,0.0524456873063833,0.03838022199651654,0.049649432406767086,0.0274775255490744,0.042233084934984344,0.04121038477431393,0.07429182113717145,0.04311209224836364,0.09391634090127048,0.03560238818808306,0.04401831492400025,0.048177988918439246,0.04451374345722892,0.06901403244488892,0.0760671733221355,0.038835553232700486,0.026747434097718792,0.02879558111348749,0.04121930018950221,0.027652717177927257,0.03435748506140074,0.0369098587515803,0.02506013754252325,0.051539482767970615,0.03344666862784525,0.04282516907341127,0.04312086735459638,0.04625452422852526,0.03199691894269563,0.03711391668718306,0.05539780821684076,0.04353648373106564,0.046429933255451625,0.04181977341617689,0.03812192883685761,0.03417467242855664,0.036742522904442305,0.1400490410029904,0.0490706985445285,0.04525927542869806,0.06116863830718442,0.07378245689878894,0.05803402413125579,0.04997547828797223,0.04662574304326182,0.03181969392965317,0.06464850499691413,0.05042963594502779,0.03999941809552527,0.07414944840565393,0.044352570666315275
Live|macrophage,0.040956710296592744,0.0,0.0037301312787163038,0.015535363970042428,0.010538701935170466,0.021843104049060695,0.029652210274749714,0.07327127165597404,0.01917436149844806,0.11429636034067338,0.03707144950300446,0.017400924916287384,0.05093086711625626,0.042164253493809055,0.02933155322740778,0.009422570649626039,0.02820669624764146,0.029894525344015627,0.031418729922835065,0.04093955475809967,0.04007007058673455,0.021358382192266885,0.039046538163496194,0.024131471852611344,0.03039569982324875,0.025806083798845608,0.07167998516623743,0.029514387549002485,0.01636050340636612,0.034653344183151503,0.025597874926349507,0.0630451137866678,0.042981474318879186,0.03961883439194039,0.03803632052353814,0.10439096843084503,0.02982168747654872,0.03693380455935927,0.034768038054312354,0.043997356335105195,0.10429323194004458,0.1586077209033171,0.02917003058836125,0.09764055509211053,0.01302785057652883,0.02791844013083687,0.04219247023223275,0.026792814288928893,0.02848193787435195,0.016048886514999923,0.030248241910842445,0.03154852804619553,0.026104186197731975,0.030401787394586852,0.03039054590384105,0.025828455218759996,0.030582730592449967,0.04028576826721393,0.03038252685630309,0.08910044165852332,0.04050392463043358,0.027701008263114058,0.02185914285459035,0.03431177413350951,0.056140637597951105,0.05677129818570234,0.022890014363702242,0.024927528465172856,0.024584601427623705,0.010651633729357606,0.022158148067141625,0.008862140371482752,0.024199525927096083,0.02339639758387482,0.030815853693703685,0.03437157720288314,0.028848879245255393,0.02686738908200954,0.028406970622778607,0.021187098777535864,0.025150085663916216,0.050562273600553834,0.035358963798364354,0.0203104367945971,0.012219536543641041,0.027366734535627935,0.033951464057781516,0.0249514690729079,0.08942677500525681,0.029819681050461972,0.030180751139270334,0.05477993425420874,0.051049108988616754,0.048041778978534844,0.03361669619663186,0.034518221847697435,0.03029062489362226,0.05207929569626432,0.04648727835676039,0.04291266368775477,0.05596503438213686,0.04012017688607401
Live|monocyte,0.04755005175258814,0.0037301312787163038,0.0,0.020031724177332965,0.013901109964737224,0.022484444145612757,0.03166944776851809,0.0731797704864974,0.023177171611089557,0.11206094266046936,0.04186665207870357,0.018053238328178532,0.054184479145363715,0.04444386372895376,0.03005974255333193,0.010979825197645468,0.02848667817244487,0.03018344378290048,0.031178563491884345,0.04776952770012591,0.04321528109553702,0.025447202132310658,0.042473777688460605,0.028072940459564537,0.03326943225163227,0.026917669581771657,0.06515872594544239,0.03126526656954561,0.014609880204223637,0.03259100839155482,0.030171062293138935,0.06752910121236386,0.04760271299627025,0.036872022198653875,0.03970745034385001,0.09527371853930872,0.03200276677081451,0.042195610952657815,0.03247966798235141,0.043175595547939455,0.09567602461706257,0.15581823422295732,0.031307067903340396,0.08787695016152715,0.014196785427839868,0.029260784542940545,0.04689986819486776,0.02746072606418525,0.02951942630499578,0.02048426501632596,0.031655902000708225,0.030778597979139188,0.027229495817929182,0.028476591398662522,0.03612498715683534,0.02575795163768908,0.03117030715680481,0.03489685327042573,0.032601035682049924,0.08816531766294923,0.04530992245390377,0.028317584377830586,0.021905598298099287,0.034227127299627486,0.0588612420009538,0.05709291953133103,0.024935725514405774,0.028090491978660787,0.027563276662675072,0.009293528010545879,0.025541546560114807,0.010746551197804606,0.026715910696321475,0.027139003593780072,0.030825829543525706,0.03743449326740172,0.030323720099684617,0.025561885031554387,0.027456352358456105,0.0238655296052441,0.027206220502662044,0.05510091932133943,0.03870994567819709,0.02127390052704886,0.011853156669350301,0.02956892783646399,0.03775449837478249,0.027609171040356068,0.08078263331153447,0.02934311777896035,0.02992793091319387,0.057442254932872666,0.0487683217280893,0.050207957869313716,0.033316188964261445,0.03644434470882342,0.034892694850766466,0.053981813153352515,0.04980217206023669,0.04647296485138102,0.05637770186404199,0.04341632548593649
Live|livEC,0.0295990657329708,0.015535363970042428,0.020031724177332965,0.0,0.019506233665540967,0.022493764837480064,0.028911450439435597,0.07499853851611732,0.012961797682781776,0.12469527783002911,0.028672988643302234,0.02858870721076879,0.04815856829587603,0.04009233110031839,0.02826622502015757,0.016426894303511654,0.025360823073273364,0.028550648304377035,0.0291659290828419,0.02885266040893844,0.033665694100105656,0.01232281471458696,0.03124296254714942,0.01771066484061607,0.023510090234807803,0.028713425792694924,0.08412784640474932,0.02709298726897308,0.026051103178306362,0.033535753476562055,0.024618075883209155,0.05704948184044626,0.036121342863857715,0.03922443488053702,0.03502034821839125,0.1219482755067535,0.02733895970424305,0.029380663849591326,0.04514156215620025,0.043817865187886856,0.12072479053739495,0.16184458836502605,0.028233431933698663,0.11790741187871588,0.02209762387535117,0.027798111458939477,0.0360095126046163,0.02727896859528456,0.028989930824361645,0.021950828961505436,0.03014332593788416,0.0328091127383006,0.02579115914331654,0.03074787143628965,0.015861774698749283,0.026103921881959313,0.030104246587723343,0.05256839338426865,0.029723157965126312,0.08845084881897461,0.0345999589088642,0.03199423442867921,0.03168585967296427,0.03343929316978404,0.05855821713936185,0.0622243753962154,0.027941332728896887,0.020497352214424794,0.019370796473010425,0.022022678233723912,0.017973105713083484,0.017506686963220816,0.013818459581013971,0.018258407332744496,0.03485756565099664,0.027863366268634455,0.019759035308868002,0.026238956538149397,0.02852542603657556,0.01208331764284263,0.017385315322671957,0.04501794675874063,0.02852874039852178,0.02865628108490435,0.023035720381915915,0.02083861237877519,0.02608825219685791,0.015538104137758059,0.11176118083440564,0.031843970011057994,0.029151682566573148,0.05288577750008378,0.05264124132827382,0.041972727039887484,0.033819254761402934,0.030410004636972132,0.01999142899741668,0.04517515044435946,0.04191899266401976,0.03454785855835374,0.05708979834388936,0.03686182156762098
Live|EC,0.028479497256586186,0.010538701935170466,0.013901109964737224,0.019506233665540967,0.0,0.025582474154970492,0.02080746587865505,0.06712047316645212,0.02292649058169618,0.11333111403736003,0.026544125069991938,0.028172718496382518,0.05358195155486329,0.040486443831547966,0.025908394936591493,0.006913409309927581,0.02328375251724426,0.026039845573399972,0.025612409082408888,0.03630480894953137,0.03645000748113764,0.019163140290744205,0.034246873077155196,0.02184186548898125,0.02834833274072265,0.023832785894650516,0.0715753265696482,0.023812526899470516,0.014325690494084213,0.03288346960481846,0.01750486658312443,0.056811204439115665,0.0349399196070077,0.0380184353553739,0.03452385516417589,0.10475435196202121,0.02351182435810722,0.028699063081597392,0.033690432194350126,0.04310340009906921,0.10493551624127903,0.15725987379310416,0.02258800516784314,0.0988011292845413,0.007895012640169386,0.022338801447216595,0.03326367689620914,0.02104633663514234,0.023505069429051104,0.00996564470251512,0.02509282473479204,0.029726905139669683,0.02038859295801223,0.027666274328323047,0.025000258896532748,0.023372190852369072,0.02494664644136706,0.042134265429737486,0.025605262401426035,0.08518344698532948,0.03286432481175297,0.023685391311608368,0.020910559137050255,0.02940789177371534,0.050583490154096696,0.05526886899691545,0.019168796699294305,0.022231692807170307,0.02123820483811993,0.011518659599178435,0.01986194022184269,0.00860739665907867,0.023911757880168437,0.019794172001675873,0.028701746231325105,0.03001522367391542,0.02848806769087938,0.023795965296441596,0.026010315682577126,0.019964380486338806,0.02387320192990372,0.048362910788668695,0.03349380248051318,0.019046211334046242,0.01261855985100553,0.02544721446143666,0.029853278606508583,0.02478017386157621,0.0923047269627427,0.026005231867435884,0.026180511456162025,0.052125095517488756,0.047704808372826334,0.04519687706665118,0.028210757577534794,0.03416022834582448,0.023662031363681377,0.05161581418777651,0.03816675759888893,0.038160801099671515,0.05275985283860928,0.0342937242678011
Live|nk cell,0.04421303287718524,0.021843104049060695,0.022484444145612757,0.022493764837480064,0.025582474154970492,0.0,0.022081968910002515,0.07112355446003939,0.020563029900188948,0.1378592461604943,0.03835777789295227,0.02682681810410212,0.04936878935051752,0.042789666447261614,0.024748707690572372,0.02132176513714927,0.01755381715444239,0.021447319318442765,0.01954170098770937,0.050701952727585306,0.0332907948462909,0.02405235838899429,0.028110809427969063,0.028174058500720783,0.03184841219005295,0.024580360351070123,0.09409222352652624,0.02141298559602343,0.023460015368116816,0.01920543351282385,0.02422083761229998,0.061236848480385284,0.03113333590757474,0.02152097953079238,0.02708364131574187,0.13320433078549299,0.02524652260026483,0.026600362138321374,0.0401592958575922,0.0356662735402159,0.13074805993141475,0.16548579128988744,0.023696817125987212,0.12628541544303856,0.025293570672733256,0.01823992363045872,0.031975828824806346,0.015749831852399174,0.02062871294419978,0.026903357152286696,0.02154440141793184,0.023266914525240358,0.01597469680821474,0.017183237922387407,0.03414748035736079,0.0129572182754787,0.021759464271363896,0.052816127478479094,0.024332760984199887,0.0834027628141287,0.029755746287481614,0.023191522936048016,0.024846323734073736,0.015019485794706626,0.05385474052965945,0.059690095405993474,0.029594402884149,0.026999745577596154,0.02241121870934188,0.023258386031976157,0.024529967898218354,0.020463431020049286,0.02695361270140518,0.023141560517175783,0.027456862853323695,0.03217354211811216,0.03100586802486171,0.014368735991590465,0.018829632727739867,0.023381886443839192,0.025292755676068028,0.04885387548205565,0.03478540040085369,0.02174501964806981,0.023929090269190104,0.027023589444478337,0.037189812682437665,0.026258867471761236,0.11910803427438571,0.0214603433322284,0.016880609570666984,0.05082680949668841,0.041200435027191874,0.04577969697361496,0.022714863427589705,0.03383974059224181,0.028105665433052464,0.051035793761564925,0.04006495432265238,0.038256702007963835,0.04904050144264219,0.03950247326658092
Live|t cell,0.03567461112910566,0.029652210274749714,0.03166944776851809,0.028911450439435597,0.02080746587865505,0.022081968910002515,0.0,0.06856633710568627,0.0308124121134109,0.13000467304884888,0.033866777645121825,0.03687456729275386,0.05305464830761307,0.05151044732121922,0.0208010858564947,0.02211036327584716,0.016174921979520945,0.016422390614049296,0.02201204077823537,0.044592784438099914,0.04669380349144288,0.027542368116839272,0.042207864724291236,0.028388445569173117,0.032458987204801865,0.030579950778091027,0.09092539583828459,0.016613948935030126,0.029955882577849334,0.02520026187341491,0.029470464542222755,0.06443280055688341,0.04053613338864799,0.03248250872947976,0.03732587872444197,0.12690281882070073,0.021760272501119747,0.03425206453470946,0.04617949282300057,0.037219489160632425,0.12553974595594836,0.15879894391098648,0.02148511203040031,0.12162993773692292,0.026378152752728368,0.014825044305944661,0.03865331564879301,0.017758462058872458,0.014581688340541101,0.029580680519720157,0.01600984364266765,0.022866510405578362,0.012693944677291631,0.017953345608866432,0.03328583602302493,0.016149448826145656,0.021122660115530253,0.05470276047950573,0.02133040858014342,0.08710427968450538,0.0384262405592163,0.03279980695574415,0.032997010279970325,0.028677619433845766,0.05413055519648515,0.06397126401679384,0.03688274315230193,0.03213417516449878,0.027599903344844155,0.027494573960164075,0.026342257541295974,0.024470910985159043,0.03181366420658774,0.029292969984892094,0.03323317807253634,0.037899551406025335,0.036620404899658496,0.01759395182500138,0.01706146930156972,0.0274387284218422,0.029886357305728375,0.05870537905155661,0.0382293688810969,0.03160410111144327,0.029061269085459814,0.030759182412663132,0.042202868352099174,0.0316064504921836,0.11665672050460713,0.017385110852424866,0.02192267092163555,0.05512999070540178,0.04094158701164576,0.05247943631152059,0.01739142028775016,0.039280657280368114,0.03345683085108997,0.05904928994999585,0.04482189653739108,0.04670207654719895,0.05544516502956338,0.04802412086544697
Live|erythrocyte,0.07497496768117301,0.07327127165597404,0.0731797704864974,0.07499853851611732,0.06712047316645212,0.07112355446003939,0.06856633710568627,0.0,0.07108155501163205,0.17171988701614055,0.0749346161514779,0.08196493456143226,0.10253630960998138,0.0754645478513772,0.07750609011351653,0.06883268807271256,0.0740953257799364,0.07404500487132255,0.07740744953647771,0.09647310269231554,0.0753051251318799,0.06726515655282009,0.0757188417584755,0.06655271414985774,0.0689821476764001,0.07216701121534919,0.1304568823820602,0.0735858270987512,0.06948184159115456,0.07458774893200354,0.076749748453364,0.1045950086304481,0.06341546768417289,0.0796323025420438,0.07688641174711315,0.15972234759767984,0.07780090990623567,0.07463792875220515,0.08248734507692373,0.0880769756844508,0.15854608550798333,0.07334808838995469,0.0748387982290751,0.15314240209880195,0.06965713815143726,0.07109989196070032,0.0809277769356528,0.07238535807994398,0.0710405669617876,0.0709125482853701,0.07247374558997724,0.07670314271988851,0.06871333068350233,0.07229209615695381,0.08070648540618522,0.07040517672095528,0.07124517649708635,0.09507526148759946,0.07292252738754566,0.027551937476427802,0.07198823027676776,0.07439925197744923,0.0752290147564025,0.07005575864408801,0.10056075669950687,0.09127781242357355,0.07266158484628008,0.06977212734376764,0.06712538478140609,0.06854028228687384,0.06751769226372054,0.06750666885495485,0.07126603124262526,0.06858767936496635,0.07221304281585395,0.0709715644560924,0.0717945158284606,0.06855893578918787,0.0708191549886689,0.06845060333828981,0.0698480876456825,0.09057579219452333,0.07818513142329622,0.07170789150417892,0.06898266295994873,0.0720077887808522,0.07629590328049371,0.07108832293587697,0.1450180811352177,0.07082750616397714,0.07535983418842795,0.09494009230122875,0.09004214737411692,0.08235834896006428,0.07456912481255701,0.07401200157410029,0.07351836489495273,0.08672978106522358,0.07963779008149935,0.07815645219758224,0.0978579794390427,0.08298547853646532
Live|fibroblast,0.03311501663971125,0.01917436149844806,0.023177171611089557,0.012961797682781776,0.02292649058169618,0.020563029900188948,0.0308124121134109,0.07108155501163205,0.0,0.13563274011166493,0.028640357385147204,0.029941206802430936,0.04979889823951518,0.030829176628465755,0.03120773159840869,0.019866556675683444,0.028084245065918972,0.02955075864780881,0.032551866314202094,0.041992486955649055,0.023739339354795733,0.015103999934249077,0.022462942799894636,0.015507348921020653,0.017444542750721707,0.02485733264138914,0.09823299484782727,0.027395304790251054,0.023502574290108647,0.030426101878540987,0.02519445337413497,0.05111666563296145,0.03159772173024532,0.03619380466565057,0.028115559442227323,0.13718198396435455,0.029997628240829265,0.02776329751566714,0.039692724296393964,0.04221775985969485,0.13609658764225266,0.1640294086957534,0.027655079828603955,0.12896130633986147,0.02309976394698649,0.02712212792715972,0.03015014133414056,0.026726181867411672,0.027658641181870766,0.02227978482826183,0.027936410832868467,0.03186528884313723,0.0259193722846125,0.030825368183237337,0.02648827862581911,0.026214008081032605,0.028100611741442287,0.05992608520047682,0.028671493818312282,0.0856815875415351,0.030310382889226706,0.027531307924053585,0.027299227930276698,0.028238606315918083,0.05401635754086209,0.05701606927826665,0.023231153281863343,0.016423247164254945,0.014684766528270936,0.02217332291834686,0.01568504133563048,0.017687146113211184,0.018647409105758465,0.013558498332655648,0.026406028547931486,0.023623881837479092,0.021918310778803893,0.023888281893713323,0.026674767547347676,0.014876312454198948,0.017051350755431384,0.03615821783238109,0.023965185624088704,0.022910136302906635,0.022129037769945258,0.016671216669478524,0.02358195946154818,0.017592834480199375,0.12091185340419987,0.029762033484273562,0.02874697006791612,0.04415519929010721,0.049297893551660206,0.03126820566152787,0.031201796915461766,0.02141693267393273,0.018917080192847803,0.04060310538003478,0.029915756992063634,0.0303137768555738,0.05320159535084351,0.028447884451651778
Live|neutrophil,0.13357921584807314,0.11429636034067338,0.11206094266046936,0.12469527783002911,0.11333111403736003,0.1378592461604943,0.13000467304884888,0.17171988701614055,0.13563274011166493,0.0,0.13770900342172915,0.12794851209791608,0.15310711171200292,0.15894225379286336,0.13479444817799774,0.11660326506520965,0.12680812377229592,0.13301448606712096,0.12332291822824135,0.12715892063811501,0.15587343295223705,0.13058442320220354,0.15734744516597515,0.13325257475771438,0.13335606678493955,0.1323069344975295,0.10444291808266017,0.1331765119364469,0.129064478723865,0.14141332714467003,0.13488351907012924,0.16010383023649422,0.15508877071049956,0.13938481629607113,0.1575286860090315,0.10312323273455734,0.1326502572199843,0.15069716490075286,0.14386934855664418,0.15610925872374332,0.10793383202748813,0.2213603483835337,0.1340972870012811,0.09631909135659049,0.11400999877219617,0.12891126019391513,0.1518842934432918,0.12264805127523024,0.13166578585813637,0.12281534626597816,0.13609788550279023,0.1418216317655858,0.12784591353637614,0.13268847055804095,0.12408585382461784,0.128380690057401,0.13116991863820723,0.10636379699102569,0.13352804947054778,0.1788344305742261,0.15503048295180338,0.13873195101611738,0.13327030774510135,0.144292783483686,0.1542637723923163,0.1499235975416166,0.13837147608308475,0.1385012885484127,0.14105155797794303,0.12237309943216255,0.13572564896196432,0.12431000684421314,0.12827465247373587,0.1387721485368404,0.14862931415251293,0.14352739426104305,0.1332870428492298,0.13489893456833038,0.13948377725575709,0.13296822890104365,0.14214196719285815,0.15477016988579528,0.13855593011128925,0.13401626955195223,0.1282223056070662,0.13406563233010416,0.13886216785611166,0.1316704714395212,0.10667182773115294,0.13535395887758564,0.1333943817102868,0.16552137159759112,0.16190318614523141,0.1512740360058319,0.1389043117046542,0.1483262760617011,0.14339565179072525,0.16296191078775102,0.16400562337457378,0.15343459325658115,0.1682025256933744,0.1546172419855348
