,Live|hepatocyte,Live|macrophage,Live|monocyte,Live|livEC,Live|EC,Live|nk cell,Live|t cell,Live|erythrocyte,Live|fibroblast,Live|neutrophil,Live|intrahepatic c..,Live|liver dendriti..,Live|plasma cell,Kidn|kidney epi,Kidn|b cell,Kidn|macrophage,"Kidn|cd8-positive, ..",Kidn|cd4-positive h..,Kidn|nk cell,Kidn|EC,Hear|cardio,Hear|cardiac EC,Hear|hepatocyte,Hear|fibroblast of ..,Hear|smooth muscle ..,Hear|macrophage,Bone|cd24 neutrophil,"Bone|cd4-positive, ..",Bone|monocyte,"Bone|cd8-positive, ..",Bone|granulocyte,Bone|plasma cell,Bone|erythroid prog..,Bone|nk cell,Bone|hematopoietic ..,Bone|nampt neutrophil,Bone|memory b cell,Bone|myeloid progen..,Bone|macrophage,Bone|naive b cell,Bone|neutrophil,Bone|erythrocyte,Sple|memory b cell,Sple|neutrophil,Sple|classical mono..,"Sple|cd8-positive, ..",Sple|plasma cell,Sple|nk cell,"Sple|cd4-positive, ..",Sple|macrophage,Sple|naive thymus-d..,Sple|naive b cell,Sple|type i nk t cell,Sple|naive thymus-d..,Sple|EC,Sple|mature nk t cell,Sple|regulatory t c..,Sple|intermediate m..,Sple|innate lymphoi..,Sple|erythrocyte,Sple|hematopoietic ..,Sple|cd1c-positive ..,Sple|cd141-positive..,"Sple|cd8-positive, ..",Sple|plasmacytoid d..,Sple|platelet,Lung|macrophage,Lung|type ii pneumo..,Lung|basal cell,Lung|classical mono..,Lung|club cell,Lung|non-classical ..,Lung|capillary EC,Lung|respiratory go..,Lung|basophil,Lung|lung ciliated ..,Lung|capillary aero..,"Lung|cd8-positive, ..","Lung|cd4-positive, ..",Lung|vein EC,Lung|lung microvasc..,Lung|adventitial cell,Lung|alveolar fibro..,Lung|dendritic cell,Lung|intermediate m..,Lung|pericyte cell,Lung|type i pneumoc..,Lung|EC of artery,Lung|neutrophil,Lung|cd4-positive a..,Lung|nk cell,Lung|plasma cell,Lung|b cell,Lung|vascular assoc..,Lung|cd8-positive a..,Lung|bronchial smoo..,Lung|bronchial vess..,Lung|EC of lymphati..,Lung|smooth muscle ..,Lung|pulmonary iono..,Lung|plasmacytoid d..,Lung|mesothelial cell
Live|hepatocyte,0.0,15.056797301696763,13.1765219191338,17.00435796933486,14.560637964760573,10.22352778560713,7.71254253870512,5.44208213482272,13.258592888638436,2.623414688080818,16.730864314712402,10.383763334574047,6.2292355318760055,12.400728412740241,14.242480363173101,17.943034178407846,14.66311326388337,14.200038492200669,15.420599986798,9.304590338966701,16.375591279850624,20.73176167786019,8.774556822486598,20.409733249289246,16.961139942476738,9.396892927475568,6.402200477435342,14.877734383101393,15.417887748921698,12.306655945561223,21.195596044014998,11.399175292531561,17.630300912630975,11.614195916551886,12.446723084034627,4.5071675093271635,16.157772001934603,20.056361723755114,10.399170548814885,10.406011882615985,4.576081877844285,3.538781353449644,16.327909338842495,4.392924024991586,19.174880163527188,15.264650501031944,17.940050016325642,16.21774385898122,14.260263860671515,21.051325118623605,14.762969293749158,12.398903189034879,16.36393603220514,13.13595114017494,22.585438006602665,14.840218121780097,15.136321764900744,8.738576986719131,14.621368698493875,6.80062804897434,17.141278080251272,14.97988730764309,13.811767589229547,14.732989021873342,9.471337268245158,8.693379977438973,16.894617061118108,22.876433503707013,17.036991114759854,15.807319483214515,21.797578700911437,18.430492728562324,17.85956957441793,22.321542980308713,12.690786468781571,19.125169555660012,15.416967574669156,14.316584820515516,13.28024402352523,19.922938673031293,17.432516163175336,10.948123136565906,14.317602649930027,13.957566637913315,15.725401276870192,17.03334075315361,18.63548806050882,17.659330261845806,4.604749436593763,13.247934386870375,14.319602719082985,9.702301754523909,8.068647095907618,11.311553499306237,12.989736719436486,13.48341002833309,20.5193534369482,9.892476261710188,12.346290133292987,16.437220288853506,9.008151026492497,14.003398394071528
Live|macrophage,15.056797301696763,0.0,21.521281641713255,36.51550583881634,19.523974345834038,26.029675731660454,17.13942535659651,7.477335534951094,30.90592110592321,2.8042836469469803,16.069914698411075,16.515082871203788,8.115165645555988,14.25038459701273,13.771218366865254,12.30704820941653,14.239492434704543,14.471182642655153,15.976892487567895,7.367888651595659,15.142869105120509,27.587724772245302,12.733163674234005,24.59628323767012,19.396121621437572,3.5326678080826794,6.60369551835995,13.986867320348283,13.840962340378805,13.748294464007012,15.182589732926187,8.80062327589423,12.364880670357957,12.965724160967918,9.56141549865592,4.110792726283524,15.138787813559938,13.4931320491417,7.820088955701309,11.391824276796907,4.221268519802267,2.917247070977417,13.280406738118828,3.736968507355727,11.972295271619553,14.62017206284936,11.014273578631553,18.060829309671306,13.085089007219025,10.058667615386328,13.950591470312066,15.013285312939963,17.424437010474172,14.973760836073948,17.858749098375416,16.70471353865201,14.88275682385362,10.841182344218003,13.161148407127715,5.849413338949836,11.057012281495611,14.762881150318632,11.441434325525545,15.653161039793021,7.102374473631998,7.195607439110156,12.620462602587503,22.43950371513442,18.73246095937091,18.23906311381951,24.350581413977658,13.964037970215216,23.990008059118303,22.07334424073199,12.7406656145821,18.150724543424666,20.17455630872361,14.18644060222943,12.34578843816606,26.00081948774833,22.51168830500153,11.333962731390573,14.7698156068867,11.073089740289971,14.309921843491091,20.66880274541493,17.697278928184097,22.71227710461172,3.8531325228769395,12.97450008769969,14.29919893115935,8.095372716535001,7.504707977422358,12.574555641807164,11.77755303128466,15.766828893597248,19.208421514681078,10.801982624143085,12.170928030035148,14.24444042891711,9.485616986707779,11.617881790178933
Live|monocyte,13.1765219191338,21.521281641713255,0.0,29.027884459045595,15.726897161682714,23.793646296373293,15.336531671287476,7.4841530874454945,25.408918846331392,2.5240666409504557,14.263473940051323,15.33415383912245,7.200895127795676,13.563240428036353,12.623472366202968,10.138037754759798,13.384279674224612,13.290790624926547,15.050438253220024,5.900823324202194,14.016889148643552,23.3468371959965,11.800234191778355,21.308955238791622,17.780253423655914,3.5150826800050377,6.447261128916579,12.458289437242383,11.804116346944868,13.218261622055914,11.41688095161011,7.6331337693958945,10.776340010581192,12.518694422142172,8.831243934169597,3.831657912942023,13.285777430683751,11.64858976791401,6.903207698671692,10.870643537093247,3.9750661374015963,3.0268455715678346,11.778205682642104,3.6708204498887618,8.29369665570818,12.997729990556133,9.437199021842895,16.199650962522618,11.825252975177388,11.592932142040917,13.002255831962467,14.423470274620744,15.507621275543187,15.297761745668888,15.438264924128926,15.234331812319011,13.81068769031059,10.880870642124131,12.147386821059516,5.879064324663375,9.535907784124305,13.134283489316665,9.965400376814333,15.387827834474292,6.397114410632155,6.851963090025493,12.984897983435884,19.687496474356976,16.533536720456237,16.96955695545367,21.075206300653715,15.470541126431048,22.23054365314838,18.88196858003345,13.08528086168184,16.947102115832113,19.425911786498023,14.732875613156686,12.497652417271839,22.96068069616666,20.607688660388042,10.630995959968317,13.627694089596522,11.84270897838001,13.336401408102978,19.004451554749124,15.857824575674872,20.78934583445161,3.718454390857422,12.942881040821113,13.576592966760458,7.538419818771507,7.225022636683933,11.88461097414862,11.178554911983028,14.99509945795843,17.16239345034957,10.4972195523062,11.380260757819089,12.772262923108451,9.152748953894545,10.47286395318413
Live|livEC,17.00435796933486,36.51550583881634,29.027884459045595,0.0,25.943573295252143,26.622203600989575,16.561624093482035,6.013764648668829,28.460193791016128,4.10381122888888,18.65405592043041,18.91788675979443,10.64207102245443,13.814987376038873,20.866997089416984,34.37940503439541,22.691290415436725,20.192289117159692,20.863017716508498,6.590974449324306,16.997630041116455,21.763689407522758,14.0947332232656,27.154412853777597,19.98172173502827,9.41254994663253,6.8187663529453895,21.284589660415676,22.28548914001177,18.16226290825527,23.641068870748946,9.991129488532804,16.392332896041335,15.29365862691154,14.114576185737876,4.374087342592844,22.57009937892566,20.03699161665714,11.346795694372126,14.284762195977358,4.4507920443805435,2.477082667571217,21.42388370956018,4.421629801020229,26.50447770564485,21.146072010291945,16.276205404435604,23.072440196922734,19.1575502115452,26.34654886583967,18.971741608678645,17.426397640275333,23.196553804619725,19.53624139387737,24.630263581447185,22.186898653804175,20.600503444068238,10.808396706368551,18.31983220817623,5.637775207262224,15.572694193246397,18.61442788256422,19.00396521927249,17.82231189497667,10.203099071401029,8.717224647097222,19.913805000637716,26.29997179591902,22.081621426354886,24.36226573998076,27.931935310116693,30.98893476416096,21.08003457865872,27.952184294056405,15.828340358266374,20.98286986548696,14.915163257438769,21.268140495170528,18.668816986888565,21.501114293876373,15.35993228978906,11.734018133953994,17.182283968532886,20.593959277775163,23.779305310634697,21.120122557158876,21.36729547201255,16.83832983090061,4.581114051237392,16.84767504371607,19.95731421329247,8.727597573748456,9.135455555072143,11.831778432981778,16.359206657574806,14.048958420739384,11.878741560733474,6.88633876622801,10.715877794100376,16.540190888351823,10.657234624203191,14.990428239165936
Live|EC,14.560637964760573,19.523974345834038,15.726897161682714,25.943573295252143,0.0,20.556994993722757,17.94126521315625,7.451060601726741,24.490395003036017,2.535992157138241,20.9702302697245,12.439278811079765,7.997202075351986,14.035732262428972,18.392126527780142,31.722172913464046,20.742775956714624,19.1012888976026,21.349073725813334,10.274166876882292,17.149832033522383,29.765763381101383,14.545781665512408,27.606032266619795,21.193720141290708,6.499723960631914,6.227516039159089,20.825291060125917,20.9081938229265,15.480704829961418,26.510107881602544,9.690131900692991,16.47059315058059,14.347698979479851,12.919022552039904,3.814508744492783,22.42371508186133,20.217595739757733,9.157636489388853,12.711984319574535,3.9582028933240943,2.826149674050628,20.45156081106251,3.7704897679774314,31.89553622065592,22.354643813378484,15.806471172653998,24.533377953513348,19.056171663292982,26.884976607111707,19.7546587769261,17.876195731575343,24.559486899060524,17.99279096690655,22.436210907510606,20.87047987877758,20.970350031274847,10.492549890853956,18.750224729498623,6.14281495302859,15.829012614979199,19.41937247670734,16.1397309518721,19.59435641229733,8.921758051857209,8.29733182070599,18.7179946441858,24.873757231731584,25.12106757231986,22.888359105400216,29.846485644746505,29.10550414942204,23.97733461703575,28.75471030002039,15.753738779750313,21.286169812427072,19.871734205453432,20.03589605321911,16.464886399361667,27.944413639345772,24.07754394209406,12.429235720959827,16.376175449272928,19.29810717718609,21.02109403239452,22.866892151106548,20.331240000859587,23.2313635689813,3.754071526092011,17.642704022014833,18.194647879372567,8.908577468866529,9.55998989091914,13.186416368594017,16.485053657162517,17.039600123717392,25.09321804637276,11.382969906643552,15.123552521174975,16.350959153376728,10.531888655925735,14.860432255481035
Live|nk cell,10.22352778560713,26.029675731660454,23.793646296373293,26.622203600989575,20.556994993722757,0.0,12.859209477681771,5.94688254299102,29.087089988575627,3.2151464642013643,14.552798493285984,19.11317148135699,9.104574661865238,13.383561971089087,18.78325188502772,25.90606859294746,12.141543060117584,15.39437245864024,10.165457449202437,9.348055145189015,18.612727849410543,24.963713795775373,19.882908610688443,22.080141088693438,19.201696286017206,8.666029770720433,5.644404977754436,15.654714646609676,22.331469448390557,14.18210349492181,19.69322272633229,8.261477835971448,16.314197411820672,11.24596552749989,16.551261319575598,3.8881210112082565,20.075534165569426,20.603055357352485,11.922127404864131,15.06979252235113,3.979164504491472,2.415646546364546,20.97235695661726,3.673000639705636,21.13976491302469,13.62447847326124,14.002208075270127,15.373640654497908,15.20543355690109,21.188124365722278,16.169688068369002,19.975343724824217,15.748654928393819,16.702315065860013,18.019879003903284,17.237676480522712,17.248036814334423,9.42848200276659,14.17312517248791,5.6365265507973215,17.066014825776264,20.912328881160924,21.12400060500325,14.832123008189969,8.193485995558996,8.239413859786692,17.535626686299647,21.14140587749161,23.978835525260024,21.929631710820825,23.73888548308109,25.723977627499178,21.921319713274297,24.72608641204549,17.75449817112737,19.287250758330774,18.863343364279906,15.074449470300257,15.476691929033692,25.392834342854975,23.35167726902673,12.115315330464732,17.088939962810045,24.58260616584224,22.15928276620313,21.57828103308056,16.539163808948516,22.903806560218584,3.9183904498687987,13.606329556454776,11.430914327850543,8.354279724443058,8.976200593752875,13.197825465048222,11.119785372586437,17.110593058696573,21.797552676290472,11.484016016284228,14.614841110057185,15.66967192776459,10.295248154730343,14.273806795909161
Live|t cell,7.71254253870512,17.13942535659651,15.336531671287476,16.561624093482035,17.94126521315625,12.859209477681771,0.0,6.450832181657905,15.18905919504305,2.6113500162393253,13.089372438969063,12.335402078406105,6.588966149648405,10.042001515777784,26.248895666700843,24.930272018393023,25.84371392963085,25.553344450109247,19.807904268602233,8.928623936343547,13.176592313870517,21.36587773020105,10.997589375743344,21.273113215269014,18.51636602213149,12.932480236184553,5.972193446451438,26.551057541250856,17.706003683708524,16.25014432981871,19.832465746169998,7.926982739959277,14.65036563899815,12.850913365089244,14.02298487459204,4.0791139163476515,26.20988300287586,17.56319319612862,10.760477743074814,16.044967710662004,4.162463827200877,2.8540898416444853,25.827050943864844,4.017650774541207,20.917804695266934,28.263042604889627,13.769150481302868,24.41307799594319,29.040867190022684,19.52904913902294,26.13081658302699,23.304703138299608,33.186827737188366,22.376540471587088,17.80648359808382,26.812297556270632,21.43934363353472,9.160395825750657,21.610713523527476,5.999003676109931,15.027433111262479,16.74889388737193,16.347293505922238,19.791381852499658,9.469246904886184,8.43301017649788,14.452449022408967,17.817066284889446,20.213807459710086,18.402187922780946,22.480805729984542,22.021364285326612,18.314515452226214,19.693500883672915,15.595673881775433,17.06121248170184,15.710872219196016,22.96809826805778,23.421637631109085,21.423998725398576,19.74129764856024,9.949670946924392,14.36465429326477,17.12220103681605,18.117930809132474,18.936625963459647,14.017238011765222,18.695328060959294,4.0675813917819506,22.223102701230314,20.5390274076185,8.529674883655032,12.765979964331214,11.363829867367826,21.573934983337068,14.78313476567078,17.888802327394004,10.13429521701082,12.21441232425918,13.123676973823569,9.80666094257328,11.693881832413108
Live|erythrocyte,5.44208213482272,7.477335534951094,7.4841530874454945,6.013764648668829,7.451060601726741,5.94688254299102,6.450832181657905,0.0,6.22892714001794,2.538655775044743,6.049653353797451,6.318431423054264,3.9773533913651775,7.141094490200067,7.010692127379083,7.716832780516656,7.022411552584808,7.280675094949546,7.33856999483966,4.458688624492137,7.666799905933612,8.759288396434611,5.237718744643624,8.579497250947062,8.426185079833381,4.7941865144452205,4.682065542695708,7.022712740610438,8.172120807442822,7.394998976322671,6.732920211900575,5.484565759766795,4.937126873193063,7.1811657637179,5.708781182879292,3.8037452871962705,7.014450550973443,5.477852509123968,7.040582425088696,6.548988400832607,3.824498543791068,3.889365523150567,7.119930360947113,3.869736978023031,8.221697285021602,7.453098999004816,6.667095059973587,7.992358677071041,7.309519988868554,8.193760153618108,7.261645056043689,7.342950002430281,7.790088034901073,7.878955991706504,7.148426667558533,7.625871648683681,7.665830642652567,6.264524384146157,6.635273560085352,14.147181714817545,4.947068576065215,7.9129764319875795,8.08229535504686,7.468237499774381,5.39539736208292,5.98155714013769,8.246951423749717,8.16566193280688,7.191773191242532,8.490884234621086,8.1880456785672,8.424909450627558,8.577921972169376,7.564493634482237,7.829758323980408,8.886806130573786,8.473274281827509,7.655621249368253,7.419469201229303,8.362552108467002,8.288724101151937,6.366138709882079,7.133698648450105,8.113480837161669,8.501865716833077,8.321586492964235,7.863088932721226,8.269889975592658,4.027816468122726,7.639274052327073,7.438814662186231,5.640814915067913,5.8372443028570595,7.444593329306295,7.153323148772828,7.847054283925068,7.902590569390421,6.57399629352384,6.862830119667932,7.696917850628762,6.35205755432704,6.603090520946487
Live|fibroblast,13.258592888638436,30.90592110592321,25.408918846331392,28.460193791016128,24.490395003036017,29.087089988575627,15.18905919504305,6.22892714001794,0.0,3.497074351337543,18.334010851175055,19.516185559273605,11.377214005247652,16.86816284309347,19.82843127255344,29.84007291025549,20.56771768476462,19.632949148485555,18.83228879054565,5.884732245041382,21.3820554425793,25.248333126072737,19.067892303918587,24.24616617657486,11.800804823214705,14.236043356428707,5.810942210303193,21.61054626643118,25.57057572986948,20.18822154017841,23.720142205261194,11.159184197982917,18.718975476318942,17.017926375216376,18.744499032153964,3.8385675839990037,20.976903224412226,21.242661556761647,14.070465444987613,14.60078205221933,3.8536358487954243,2.3991320653635873,22.29475679314187,3.8975963511921,26.36881434522908,22.377455732093875,19.67397656070377,22.97721287443818,21.215568911526038,26.77970825211427,21.53563699553033,19.23918027169803,23.721945945255527,19.48700543473021,17.347188443108962,22.767663290750903,21.637113018170524,9.707224316940607,19.84808263163701,5.863275950054109,18.394306162252153,21.575398826009003,22.1651911259422,21.03021418037629,11.065582447527843,9.522399175828637,24.007369013043373,33.1695794880879,32.991411633878954,25.992492436193906,34.86764565630293,33.30263535328722,22.028437730937053,42.314852132688195,21.884369069342842,24.48990061078716,19.674521437666815,24.698756674542892,21.448300353237066,27.29040561005889,27.127219051648066,12.175953861848368,12.866840355487025,26.84848324361683,26.22372423043805,17.855348287403597,23.23893904578865,22.78859476546685,4.342643465460653,19.673432276891297,20.908929970224506,11.910376793293542,11.25436766948312,6.994132347979877,18.744286761838985,11.474060832154391,23.464102644324598,11.37162655583233,7.7598328618198344,19.409782955293775,11.189217900717663,18.23081527992925
Live|neutrophil,2.623414688080818,2.8042836469469803,2.5240666409504557,4.10381122888888,2.535992157138241,3.2151464642013643,2.6113500162393253,2.538655775044743,3.497074351337543,0.0,3.4608487628717555,2.7815099749947345,2.867117907613255,3.0726133862400706,2.9772352225182135,2.8266464311417314,3.330221705202182,3.024943463793383,3.9223602951465355,3.915466201281366,3.2896288348834815,3.894882612095516,2.891537335479809,3.5538659071993104,3.8989195279452757,2.354054432291437,2.634164563697636,3.039727968029684,2.42920607945768,2.968631603625172,3.108779391497112,3.107909593656152,3.2510448809141432,3.2889974170468634,2.4956242885921545,1.9125205999910593,3.214317985521643,3.2412468528339926,2.1115231743020484,2.7517378792417304,1.983720828814559,2.1074718269224926,2.8599359292123965,1.6433664014591014,2.7064409003243375,3.0282288910648587,2.805500166250742,3.5028676247175268,2.811459354000173,3.2073563786534924,2.82235845647846,2.5950336279857567,3.0352482161136667,2.8978033104970193,4.320962953073399,2.982872110965332,3.043085744022004,2.5186480623156844,3.0512250146406963,2.935830560562677,2.9501022983479936,2.7829576690135585,2.4743621482905365,3.359129861940067,2.3094638372089564,2.509373770476469,2.8745311146081165,3.273942905780113,3.0158962606082085,2.5810676872689653,3.2378041429054183,2.725633706826712,4.147699716995949,3.135131123342598,2.4507672358617207,3.7952796393224406,4.070068700551417,3.010137414687813,2.835502015889639,3.403544462031874,3.0062603865419977,3.1256440083703225,3.425030787722017,2.663286978800566,2.5872763150832156,3.9030487412619763,4.05829500854003,3.7889584401838157,1.469032109926504,2.5781841926586875,3.1963551751403774,2.3716623284531844,2.29811005396306,3.456386231950518,2.6107259815972417,2.978070568118351,3.1266213438868133,2.870953193028989,2.3776148078685355,3.498728054960897,2.567280299592307,2.568954495109237
